iter	RMSE
0	11.52983059
1	11.42494886
2	11.33512222
3	11.22064199
4	11.12463751
5	11.02157057
6	10.93845643
7	10.8653327
8	10.78097314
9	10.66590083
10	10.57739998
11	10.5114828
12	10.41494806
13	10.32532538
14	10.25407324
15	10.14185085
16	10.04996675
17	9.963138454
18	9.884900062
19	9.80429197
20	9.716550749
21	9.621083016
22	9.552836438
23	9.462735031
24	9.37269838
25	9.281630907
26	9.196222977
27	9.122303038
28	9.060649966
29	8.974237562
30	8.908925394
31	8.82362228
32	8.749604419
33	8.690139224
34	8.597420114
35	8.534230686
36	8.462087091
37	8.392366618
38	8.316697054
39	8.250017495
40	8.181298883
41	8.111455562
42	8.057250675
43	7.985043372
44	7.91363498
45	7.840867615
46	7.781042042
47	7.716984214
48	7.657189678
49	7.604348817
50	7.541330995
51	7.475401856
52	7.414854416
53	7.349710612
54	7.306034442
55	7.258660558
56	7.188836038
57	7.123797009
58	7.066782455
59	7.009406569
60	6.949398397
61	6.906172185
62	6.847299792
63	6.790510766
64	6.729371317
65	6.683324521
66	6.616536637
67	6.558622889
68	6.504290757
69	6.462160338
70	6.414012604
71	6.368512187
72	6.333793203
73	6.284505102
74	6.23614327
75	6.194554349
76	6.161575181
77	6.115536053
78	6.072489771
79	6.030580415
80	6.001003427
81	5.961484178
82	5.921338527
83	5.885534459
84	5.842800495
85	5.81120703
86	5.773711868
87	5.729013039
88	5.688510506
89	5.649062244
90	5.614544681
91	5.580575629
92	5.543746422
93	5.511218167
94	5.470900011
95	5.428220723
96	5.391941598
97	5.351969899
98	5.320804439
99	5.285744248
100	5.248771603
101	5.211360436
102	5.17695129
103	5.131704266
104	5.115297561
105	5.08424587
106	5.050183726
107	5.019632803
108	4.985093223
109	4.950297206
110	4.918158572
111	4.887792587
112	4.860355946
113	4.841074652
114	4.805768174
115	4.771479365
116	4.741076723
117	4.707356082
118	4.67829973
119	4.641253252
120	4.611915549
121	4.578698833
122	4.55122993
123	4.517019807
124	4.488896044
125	4.462081873
