iter	Passed	Remaining
0	53	53026
1	53	26686
2	53	17941
3	54	13546
4	54	10911
5	55	9155
6	55	7904
7	56	6953
8	56	6208
9	56	5619
10	57	5140
11	57	4742
12	57	4398
13	58	4101
14	58	3842
15	58	3615
16	59	3423
17	59	3251
18	59	3093
19	60	2954
20	60	2825
21	60	2709
22	61	2606
23	61	2505
24	61	2414
25	62	2329
26	62	2255
27	63	2189
28	63	2116
29	63	2055
30	63	1997
31	64	1943
32	64	1895
33	65	1847
34	65	1800
35	65	1756
36	65	1714
37	66	1676
38	66	1642
39	66	1606
40	67	1573
41	67	1543
42	68	1513
43	68	1486
44	68	1459
45	69	1432
46	69	1407
47	69	1382
48	69	1358
49	70	1337
50	70	1316
51	71	1296
52	71	1275
53	71	1256
54	72	1239
55	72	1223
56	72	1205
57	73	1190
58	73	1173
59	73	1157
60	74	1142
61	74	1128
62	75	1116
63	75	1101
64	75	1087
65	75	1074
66	76	1061
67	76	1049
68	76	1036
69	77	1025
70	77	1014
71	77	1004
72	78	993
73	78	982
74	78	973
75	79	962
76	79	953
77	79	943
78	80	936
79	80	927
80	80	918
81	81	910
82	81	904
83	82	896
84	82	889
85	82	881
86	83	874
87	83	867
88	84	860
89	84	853
90	84	846
91	84	838
92	85	832
93	85	826
94	86	820
95	86	813
96	86	807
97	87	801
98	87	795
99	87	789
100	88	783
101	88	777
102	88	771
103	89	767
104	89	760
105	89	755
106	89	750
107	90	744
108	90	739
109	90	734
110	91	729
111	91	725
112	91	720
113	91	714
114	92	711
115	92	707
116	93	703
117	93	699
118	93	695
119	94	691
120	94	687
121	94	683
122	95	679
123	95	675
124	96	672
125	96	667
126	96	664
127	97	661
128	97	658
129	97	654
130	98	651
131	98	647
132	98	644
133	99	640
134	99	637
135	99	634
136	100	630
137	100	627
138	100	624
139	101	621
140	101	618
141	101	615
142	102	612
143	102	610
144	102	607
145	103	603
146	103	600
147	103	597
148	104	595
149	104	592
150	104	589
151	105	586
152	105	584
153	105	581
154	106	579
155	106	576
156	106	573
157	107	571
158	107	569
159	107	566
160	108	563
161	108	561
162	108	558
163	108	555
164	109	553
165	109	551
166	110	549
167	110	547
168	110	545
169	111	543
170	111	541
171	111	538
172	112	536
173	112	533
174	112	532
175	113	530
176	113	528
177	113	526
178	114	524
179	114	522
180	115	520
181	115	518
182	115	516
183	116	514
184	116	512
185	116	510
186	116	508
187	117	506
188	117	504
189	118	503
190	118	501
191	118	499
192	118	497
193	119	495
194	119	493
195	119	491
196	120	490
197	120	488
198	120	486
199	121	485
200	121	483
201	121	481
202	122	480
203	122	478
204	123	477
205	123	475
206	123	473
207	123	472
208	124	470
209	124	468
210	125	467
211	125	466
212	125	464
213	126	462
214	126	461
215	126	460
216	127	458
217	127	457
218	127	455
219	128	454
220	128	453
221	129	452
222	129	450
223	129	449
224	130	448
225	130	446
226	130	445
227	131	443
228	131	442
229	131	441
230	132	439
231	132	438
232	132	437
233	133	435
234	133	434
235	133	433
236	134	432
237	134	430
238	134	429
239	135	428
240	135	427
241	135	425
242	136	424
243	136	423
244	136	421
245	137	420
246	137	419
247	137	418
248	138	417
249	138	416
250	139	415
251	139	413
252	139	412
253	139	410
254	140	409
255	140	408
256	141	407
257	141	406
258	141	405
259	142	404
260	142	403
261	142	402
262	143	401
263	143	400
264	143	399
265	144	398
266	144	397
267	144	395
268	145	394
269	145	393
270	145	392
271	146	392
272	146	391
273	147	389
274	147	388
275	147	387
276	148	386
277	148	385
278	149	385
279	149	384
280	150	383
281	150	383
282	151	383
283	151	382
284	151	381
285	152	380
286	152	379
287	153	378
288	153	378
289	154	377
290	154	376
291	155	375
292	155	374
293	155	374
294	156	373
295	156	372
296	156	371
297	157	370
298	157	369
299	157	368
300	158	367
301	158	366
302	159	365
303	159	364
304	159	364
305	160	363
306	160	362
307	160	361
308	161	360
309	161	360
310	162	359
311	162	358
312	163	357
313	163	357
314	163	356
315	164	355
316	164	354
317	164	353
318	165	352
319	165	351
320	165	351
321	166	350
322	166	350
323	167	349
324	167	348
325	168	347
326	168	346
327	169	346
328	169	345
329	169	344
330	170	343
331	170	342
332	170	342
333	171	341
334	171	340
335	171	339
336	172	339
337	172	338
338	173	337
339	173	336
340	173	335
341	174	334
342	174	334
343	174	333
344	175	332
345	175	332
346	176	331
347	176	330
348	176	329
349	177	328
350	177	328
351	177	327
352	178	326
353	178	326
354	179	325
355	179	324
356	179	323
357	180	322
358	180	322
359	180	321
360	181	320
361	181	320
362	182	319
363	182	319
364	182	318
365	183	317
366	183	316
367	184	316
368	184	315
369	184	314
370	185	313
371	185	313
372	185	312
373	186	311
374	186	311
375	187	310
376	187	309
377	187	309
378	188	308
379	188	307
380	189	307
381	189	306
382	189	305
383	190	304
384	190	304
385	190	303
386	191	302
387	191	302
388	192	301
389	192	300
390	192	300
391	193	299
392	193	299
393	194	298
394	194	297
395	194	297
396	195	296
397	195	295
398	196	295
399	196	294
400	196	293
401	197	293
402	197	292
403	198	292
404	198	291
405	199	291
406	199	290
407	199	289
408	200	289
409	200	288
410	200	287
411	201	287
412	201	286
413	201	285
414	202	285
415	202	284
416	203	283
417	203	283
418	203	282
419	204	281
420	204	281
421	204	280
422	205	280
423	205	279
424	206	279
425	206	278
426	206	277
427	207	277
428	207	276
429	208	275
430	208	275
431	208	274
432	209	273
433	209	273
434	209	272
435	210	272
436	210	271
437	210	270
438	211	270
439	212	269
440	212	269
441	212	268
442	213	267
443	213	267
444	213	266
445	214	266
446	214	265
447	215	265
448	215	264
449	216	264
450	216	263
451	217	263
452	217	262
453	218	262
454	218	261
455	219	261
456	219	261
457	220	260
458	220	259
459	220	258
460	220	258
461	221	257
462	221	257
463	221	256
464	222	255
465	222	255
466	223	254
467	223	254
468	224	253
469	224	253
470	224	252
471	225	252
472	225	251
473	226	250
474	226	250
475	226	249
476	227	248
477	227	248
478	228	248
479	229	248
480	229	247
481	229	247
482	230	246
483	230	245
484	231	245
485	231	244
486	231	244
487	232	243
488	232	243
489	233	242
490	233	241
491	233	241
492	234	240
493	234	240
494	234	239
495	235	238
496	235	238
497	236	237
498	236	237
499	236	236
500	237	236
501	237	235
502	237	234
503	238	234
504	238	233
505	239	233
506	239	233
507	239	232
508	240	231
509	240	231
510	241	230
511	241	230
512	241	229
513	242	229
514	242	228
515	242	227
516	243	227
517	243	226
518	243	225
519	244	225
520	244	224
521	244	224
522	245	223
523	245	222
524	245	222
525	246	221
526	246	221
527	246	220
528	247	220
529	247	219
530	247	218
531	248	218
532	248	217
533	248	217
534	249	216
535	249	216
536	249	215
537	250	214
538	250	214
539	250	213
540	251	213
541	251	212
542	252	212
543	252	211
544	252	211
545	253	210
546	253	210
547	254	209
548	254	209
549	254	208
550	255	207
551	255	207
552	255	206
553	255	206
554	256	205
555	256	204
556	256	204
557	257	203
558	257	203
559	257	202
560	258	202
561	258	201
562	258	200
563	259	200
564	259	199
565	259	199
566	260	198
567	260	198
568	260	197
569	261	196
570	261	196
571	262	196
572	262	195
573	262	195
574	263	194
575	263	194
576	263	193
577	264	192
578	264	192
579	264	191
580	265	191
581	265	190
582	265	190
583	266	189
584	266	189
585	266	188
586	267	188
587	267	187
588	268	187
589	268	186
590	268	186
591	269	185
592	269	184
593	269	184
594	270	183
595	270	183
596	270	182
597	271	182
598	271	181
599	272	181
600	272	180
601	272	180
602	272	179
603	273	179
604	273	178
605	274	178
606	274	177
607	274	177
