Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,4:25PM ET,boxscore,W,,1-0,,New York Giants,35,17,23,494,405,89,,25,470,319,151,2,26.91,-10.91,0.11
2,Sun,September 15,1:00PM ET,boxscore,W,,2-0,@,Washington Redskins,31,21,25,474,261,213,1,19,255,208,47,,23.50,-7.06,-3.71
3,Sun,September 22,1:00PM ET,boxscore,W,,3-0,,Miami Dolphins,31,6,28,476,241,235,1,17,283,211,72,1,19.62,14.00,-6.19
4,Sun,September 29,8:20PM ET,boxscore,L,,3-1,@,New Orleans Saints,10,12,15,257,212,45,3,18,266,149,117,1,1.46,1.84,-0.65
5,Sun,October 6,4:25PM ET,boxscore,L,,3-2,,Green Bay Packers,24,34,32,563,441,122,3,24,335,215,120,,12.80,-9.21,-10.99
6,Sun,October 13,4:25PM ET,boxscore,L,,3-3,@,New York Jets,22,24,26,399,270,129,,20,382,326,56,1,12.13,-10.83,-3.11
7,Sun,October 20,8:20PM ET,boxscore,W,,4-3,,Philadelphia Eagles,37,10,23,402,213,189,1,16,283,168,115,4,15.32,10.92,-0.53
9,Mon,November 4,8:15PM ET,boxscore,W,,5-3,@,New York Giants,37,18,24,429,257,172,2,20,271,171,100,3,10.68,12.66,-3.07
10,Sun,November 10,8:20PM ET,boxscore,L,,5-4,,Minnesota Vikings,24,28,24,443,393,50,1,27,364,211,153,,18.62,-19.73,-2.89
11,Sun,November 17,1:00PM ET,boxscore,W,,6-4,@,Detroit Lions,35,27,26,509,434,75,1,19,312,191,121,,23.23,-8.70,-6.35
12,Sun,November 24,4:25PM ET,boxscore,L,,6-5,@,New England Patriots,9,13,16,321,212,109,1,17,282,181,101,,-7.56,7.59,-4.62
13,Thu,November 28,4:30PM ET,boxscore,L,,6-6,,Buffalo Bills,15,26,32,426,323,103,2,22,356,232,124,,8.13,-17.02,-5.01
