Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
1,Sun,4:25PM ET,1,0,1-0,1,San Francisco 49ers,23.0,3.0,20.0,287.0,171.0,116.0,2.0,13.0,217.0,166.0,51.0,2.0,-0.04,22.9,-3.05,2017,1.0,car,2017-09-10
2,Sun,1:00PM ET,1,0,2-0,0,Buffalo Bills,9.0,3.0,19.0,255.0,178.0,77.0,0.0,10.0,176.0,107.0,69.0,0.0,-5.88,16.06,-3.19,2017,1.0,car,2017-09-17
3,Sun,1:00PM ET,0,0,2-1,0,New Orleans Saints,13.0,34.0,18.0,288.0,156.0,132.0,3.0,21.0,362.0,213.0,149.0,0.0,-5.22,-15.41,1.34,2017,0.6666666666666666,car,2017-09-24
4,Sun,1:00PM ET,1,0,3-1,1,New England Patriots,33.0,30.0,28.0,444.0,304.0,140.0,2.0,24.0,373.0,293.0,80.0,0.0,24.18,-18.56,-2.62,2017,0.75,car,2017-10-01
5,Sun,1:00PM ET,1,0,4-1,1,Detroit Lions,27.0,24.0,16.0,362.0,334.0,28.0,0.0,19.0,242.0,192.0,50.0,1.0,5.73,2.13,-3.66,2017,0.8,car,2017-10-08
6,Thu,8:25PM ET,0,0,4-2,0,Philadelphia Eagles,23.0,28.0,23.0,305.0,225.0,80.0,3.0,15.0,310.0,209.0,101.0,1.0,-6.23,0.91,-1.91,2017,0.6666666666666666,car,2017-10-12
7,Sun,1:00PM ET,0,0,4-3,1,Chicago Bears,3.0,17.0,20.0,293.0,185.0,108.0,3.0,5.0,153.0,85.0,68.0,0.0,-25.2,10.91,3.91,2017,0.5714285714285714,car,2017-10-22
8,Sun,1:00PM ET,1,0,5-3,1,Tampa Bay Buccaneers,17.0,3.0,14.0,254.0,154.0,100.0,1.0,16.0,279.0,194.0,85.0,3.0,-5.03,17.39,2.23,2017,0.625,car,2017-10-29
9,Sun,1:00PM ET,1,0,6-3,0,Atlanta Falcons,20.0,17.0,20.0,330.0,129.0,201.0,2.0,17.0,355.0,302.0,53.0,1.0,-3.16,7.37,-0.79,2017,0.6666666666666666,car,2017-11-05
10,Mon,8:30PM ET,1,0,7-3,0,Miami Dolphins,45.0,21.0,30.0,548.0,254.0,294.0,0.0,17.0,313.0,213.0,100.0,1.0,37.09,-6.13,-4.23,2017,0.7,car,2017-11-13
12,Sun,1:00PM ET,1,0,8-3,1,New York Jets,35.0,27.0,17.0,299.0,154.0,145.0,0.0,21.0,391.0,282.0,109.0,1.0,0.41,-2.82,7.0,2017,0.7272727272727273,car,2017-11-26
13,Sun,4:25PM ET,0,0,8-4,1,New Orleans Saints,21.0,31.0,16.0,279.0,167.0,112.0,1.0,19.0,400.0,252.0,148.0,1.0,-0.22,-7.77,1.64,2017,0.6666666666666666,car,2017-12-03
