Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
1,Sun,September 9,4:25PM ET,boxscore,1,0,1-0,0,Dallas Cowboys,16.0,8.0,20.0,293.0,146.0,147.0,1.0,17.0,232.0,138.0,94.0,1.0,-2.28,9.14,3.01,2018,car,September,9,2018/September/9,2018-09-09
2,Sun,September 16,1:00PM ET,boxscore,0,0,1-1,1,Atlanta Falcons,24.0,31.0,27.0,439.0,318.0,121.0,1.0,23.0,442.0,272.0,170.0,1.0,12.68,-22.04,4.66,2018,car,September,16,2018/September/16,2018-09-16
3,Sun,September 23,1:00PM ET,boxscore,1,0,2-1,0,Cincinnati Bengals,31.0,21.0,23.0,377.0,147.0,230.0,0.0,25.0,396.0,330.0,66.0,4.0,12.82,-8.4,3.09,2018,car,September,23,2018/September/23,2018-09-23
5,Sun,October 7,1:00PM ET,boxscore,1,0,3-1,0,New York Giants,33.0,31.0,21.0,350.0,232.0,118.0,2.0,18.0,432.0,382.0,50.0,3.0,1.96,-9.09,7.79,2018,car,October,7,2018/October/7,2018-10-07
6,Sun,October 14,1:00PM ET,boxscore,0,0,3-2,1,Washington Redskins,17.0,23.0,22.0,350.0,269.0,81.0,3.0,18.0,288.0,156.0,132.0,0.0,7.02,-1.15,-11.87,2018,car,October,14,2018/October/14,2018-10-14
7,Sun,October 21,1:00PM ET,boxscore,1,0,4-2,1,Philadelphia Eagles,21.0,17.0,19.0,371.0,250.0,121.0,0.0,21.0,342.0,284.0,58.0,1.0,16.68,-8.65,-2.41,2018,car,October,21,2018/October/21,2018-10-21
8,Sun,October 28,1:00PM ET,boxscore,1,0,5-2,0,Baltimore Ravens,36.0,21.0,22.0,386.0,232.0,154.0,0.0,20.0,325.0,224.0,101.0,3.0,18.22,-1.24,-7.88,2018,car,October,28,2018/October/28,2018-10-28
9,Sun,November 4,1:00PM ET,boxscore,1,0,6-2,0,Tampa Bay Buccaneers,42.0,28.0,22.0,407.0,228.0,179.0,0.0,23.0,301.0,219.0,82.0,2.0,18.42,-7.24,2.03,2018,car,November,4,2018/November/4,2018-11-04
10,Thu,November 8,8:20PM ET,boxscore,0,0,6-3,1,Pittsburgh Steelers,21.0,52.0,18.0,242.0,147.0,95.0,2.0,25.0,457.0,319.0,138.0,0.0,1.09,-31.73,-3.55,2018,car,November,8,2018/November/8,2018-11-08
11,Sun,November 18,1:00PM ET,boxscore,0,0,6-4,1,Detroit Lions,19.0,20.0,20.0,387.0,331.0,56.0,1.0,20.0,309.0,215.0,94.0,0.0,11.72,-3.68,-12.13,2018,car,November,18,2018/November/18,2018-11-18
12,Sun,November 25,1:00PM ET,boxscore,0,0,6-5,0,Seattle Seahawks,27.0,30.0,26.0,476.0,256.0,220.0,1.0,21.0,397.0,322.0,75.0,0.0,18.96,-17.77,-10.19,2018,car,November,25,2018/November/25,2018-11-25
13,Sun,December 2,1:00PM ET,boxscore,0,0,6-6,1,Tampa Bay Buccaneers,17.0,24.0,27.0,444.0,276.0,168.0,4.0,18.0,315.0,220.0,95.0,1.0,0.03,-4.28,-1.17,2018,car,December,2,2018/December/2,2018-12-02
14,Sun,December 9,1:00PM ET,boxscore,0,0,6-7,1,Cleveland Browns,20.0,26.0,22.0,393.0,297.0,96.0,1.0,12.0,348.0,232.0,116.0,2.0,0.14,-4.41,-2.47,2018,car,December,9,2018/December/9,2018-12-09
15,Mon,December 17,8:15PM ET,boxscore,0,0,6-8,0,New Orleans Saints,9.0,12.0,13.0,247.0,149.0,98.0,2.0,21.0,346.0,191.0,155.0,2.0,-9.06,4.68,-4.46,2018,car,December,17,2018/December/17,2018-12-17
16,Sun,December 23,1:00PM ET,boxscore,0,0,6-9,0,Atlanta Falcons,10.0,24.0,29.0,436.0,295.0,141.0,4.0,16.0,427.0,233.0,194.0,2.0,-10.77,-9.76,2.58,2018,car,December,23,2018/December/23,2018-12-23
17,Sun,December 30,1:00PM ET,boxscore,1,0,7-9,1,New Orleans Saints,33.0,14.0,25.0,374.0,263.0,111.0,0.0,17.0,294.0,110.0,184.0,1.0,19.43,-1.59,-0.9,2018,car,December,30,2018/December/30,2018-12-30
1,Sun,September 8,1:00PM ET,boxscore,0,0,0-1,0,Los Angeles Rams,27.0,30.0,21.0,343.0,216.0,127.0,3.0,22.0,349.0,183.0,166.0,1.0,-3.24,-4.57,3.39,2019,car,September,8,2019/September/8,2019-09-08
2,Thu,September 12,8:20PM ET,boxscore,0,0,0-2,0,Tampa Bay Buccaneers,14.0,20.0,20.0,352.0,313.0,39.0,1.0,16.0,289.0,189.0,100.0,0.0,-14.8,2.31,8.98,2019,car,September,12,2019/September/12,2019-09-12
3,Sun,September 22,4:05PM ET,boxscore,1,0,1-2,1,Arizona Cardinals,38.0,20.0,21.0,413.0,240.0,173.0,1.0,21.0,248.0,127.0,121.0,2.0,19.08,3.15,-3.46,2019,car,September,22,2019/September/22,2019-09-22
4,Sun,September 29,1:00PM ET,boxscore,1,0,2-2,1,Houston Texans,16.0,10.0,19.0,297.0,203.0,94.0,3.0,18.0,264.0,128.0,136.0,2.0,-5.69,9.25,-1.44,2019,car,September,29,2019/September/29,2019-09-29
5,Sun,October 6,1:00PM ET,boxscore,1,0,3-2,0,Jacksonville Jaguars,34.0,27.0,22.0,445.0,160.0,285.0,0.0,28.0,507.0,358.0,149.0,3.0,16.1,-5.62,-6.41,2019,car,October,6,2019/October/6,2019-10-06
6,Sun,October 13,9:30AM ET,boxscore,1,0,4-2,1,Tampa Bay Buccaneers,37.0,26.0,17.0,268.0,209.0,59.0,1.0,23.0,407.0,365.0,42.0,7.0,-2.76,14.39,-0.09,2019,car,October,13,2019/October/13,2019-10-13
8,Sun,October 27,4:05PM ET,boxscore,0,0,4-3,1,San Francisco 49ers,13.0,51.0,12.0,230.0,100.0,130.0,3.0,24.0,388.0,156.0,232.0,1.0,-30.05,-15.84,7.14,2019,car,October,27,2019/October/27,2019-10-27
9,Sun,November 3,1:00PM ET,boxscore,1,0,5-3,0,Tennessee Titans,30.0,20.0,22.0,370.0,214.0,156.0,1.0,24.0,431.0,310.0,121.0,3.0,9.15,-5.05,4.67,2019,car,November,3,2019/November/3,2019-11-03
10,Sun,November 10,4:25PM ET,boxscore,0,0,5-4,1,Green Bay Packers,16.0,24.0,26.0,401.0,281.0,120.0,2.0,23.0,388.0,225.0,163.0,0.0,8.55,-17.83,0.11,2019,car,November,10,2019/November/10,2019-11-10
11,Sun,November 17,1:00PM ET,boxscore,0,0,5-5,0,Atlanta Falcons,3.0,29.0,17.0,347.0,270.0,77.0,4.0,20.0,349.0,295.0,54.0,0.0,-19.3,-6.14,1.12,2019,car,November,17,2019/November/17,2019-11-17
12,Sun,November 24,1:00PM ET,boxscore,0,0,5-6,1,New Orleans Saints,31.0,34.0,26.0,351.0,230.0,121.0,1.0,23.0,418.0,300.0,118.0,1.0,16.55,-15.06,-5.89,2019,car,November,24,2019/November/24,2019-11-24
13,Sun,December 1,1:00PM ET,boxscore,0,0,5-7,0,Washington Redskins,21.0,29.0,22.0,278.0,213.0,65.0,2.0,20.0,362.0,114.0,248.0,0.0,-4.35,-2.59,-0.75,2019,car,December,1,2019/December/1,2019-12-01
14,Sun,December 8,1:00PM ET,boxscore,0,0,5-8,1,Atlanta Falcons,20.0,40.0,27.0,345.0,245.0,100.0,4.0,22.0,461.0,302.0,159.0,0.0,2.41,-19.83,-5.06,2019,car,December,8,2019/December/8,2019-12-08
15,Sun,December 15,1:00PM ET,boxscore,0,0,5-9,0,Seattle Seahawks,24.0,30.0,28.0,414.0,269.0,145.0,3.0,21.0,428.0,274.0,154.0,1.0,6.32,-16.22,3.89,2019,car,December,15,2019/December/15,2019-12-15
16,Sun,December 22,1:00PM ET,boxscore,0,0,5-10,1,Indianapolis Colts,6.0,38.0,19.0,286.0,199.0,87.0,3.0,25.0,324.0,106.0,218.0,0.0,-11.07,-12.71,-6.22,2019,car,December,22,2019/December/22,2019-12-22
17,Sun,December 29,1:00PM ET,boxscore,0,0,5-11,0,New Orleans Saints,10.0,42.0,16.0,329.0,288.0,41.0,3.0,25.0,379.0,264.0,115.0,0.0,-14.97,-17.52,2.88,2019,car,December,29,2019/December/29,2019-12-29
1,Sun,September 13,1:00PM ET,boxscore,0,0,0-1,0,Las Vegas Raiders,30.0,34.0,22.0,388.0,259.0,129.0,0.0,23.0,372.0,239.0,133.0,0.0,16.44,-19.49,0.04,2020,car,September,13,2020/September/13,2020-09-13
2,Sun,September 20,1:00PM ET,boxscore,0,0,0-2,1,Tampa Bay Buccaneers,17.0,31.0,24.0,427.0,340.0,87.0,4.0,20.0,339.0,217.0,122.0,2.0,0.25,-7.61,-4.83,2020,car,September,20,2020/September/20,2020-09-20
3,Sun,September 27,4:05PM ET,boxscore,1,0,1-2,1,Los Angeles Chargers,21.0,16.0,14.0,302.0,221.0,81.0,0.0,26.0,436.0,319.0,117.0,4.0,1.18,5.44,-0.62,2020,car,September,27,2020/September/27,2020-09-27
4,Sun,October 4,1:00PM ET,boxscore,1,0,2-2,0,Arizona Cardinals,31.0,21.0,30.0,444.0,276.0,168.0,1.0,21.0,262.0,133.0,129.0,1.0,23.36,-8.53,-3.47,2020,car,October,4,2020/October/4,2020-10-04
5,Sun,October 11,1:00PM ET,boxscore,1,0,3-2,1,Atlanta Falcons,23.0,16.0,24.0,437.0,313.0,124.0,0.0,21.0,373.0,207.0,166.0,1.0,18.13,-6.82,-2.46,2020,car,October,11,2020/October/11,2020-10-11
6,Sun,October 18,1:00PM ET,boxscore,0,0,3-3,0,Chicago Bears,16.0,23.0,23.0,303.0,191.0,112.0,3.0,22.0,261.0,198.0,63.0,1.0,-3.15,-1.01,-2.23,2020,car,October,18,2020/October/18,2020-10-18
7,Sun,October 25,1:00PM ET,boxscore,0,0,3-4,1,New Orleans Saints,24.0,27.0,18.0,283.0,246.0,37.0,0.0,26.0,415.0,277.0,138.0,1.0,17.99,-21.29,-1.07,2020,car,October,25,2020/October/25,2020-10-25
8,Thu,October 29,8:20PM ET,boxscore,0,0,3-5,0,Atlanta Falcons,17.0,25.0,18.0,304.0,157.0,147.0,1.0,28.0,401.0,270.0,131.0,1.0,2.21,-15.4,6.84,2020,car,October,29,2020/October/29,2020-10-29
9,Sun,November 8,1:00PM ET,boxscore,0,0,3-6,1,Kansas City Chiefs,31.0,33.0,30.0,435.0,331.0,104.0,0.0,24.0,397.0,361.0,36.0,1.0,19.28,-20.48,1.85,2020,car,November,8,2020/November/8,2020-11-08
10,Sun,November 15,1:00PM ET,boxscore,0,0,3-7,0,Tampa Bay Buccaneers,23.0,46.0,13.0,187.0,122.0,65.0,1.0,30.0,544.0,334.0,210.0,1.0,-6.81,-27.3,11.18,2020,car,November,15,2020/November/15,2020-11-15
11,Sun,November 22,1:00PM ET,boxscore,1,0,4-7,0,Detroit Lions,20.0,0.0,20.0,374.0,258.0,116.0,2.0,10.0,185.0,145.0,40.0,1.0,-1.61,18.63,3.12,2020,car,November,22,2020/November/22,2020-11-22
12,Sun,November 29,1:00PM ET,boxscore,0,0,4-8,1,Minnesota Vikings,27.0,28.0,21.0,374.0,267.0,107.0,1.0,26.0,387.0,291.0,96.0,3.0,7.73,-0.99,-7.86,2020,car,November,29,2020/November/29,2020-11-29
14,Sun,December 13,1:00PM ET,boxscore,0,0,4-9,0,Denver Broncos,27.0,32.0,22.0,370.0,245.0,125.0,0.0,23.0,365.0,269.0,96.0,1.0,7.47,-8.51,-5.3,2020,car,December,13,2020/December/13,2020-12-13
15,Sat,December 19,8:15PM ET,boxscore,0,0,4-10,1,Green Bay Packers,16.0,24.0,20.0,364.0,249.0,115.0,1.0,20.0,291.0,96.0,195.0,0.0,-1.0,-6.96,-4.27,2020,car,December,19,2020/December/19,2020-12-19
16,Sun,December 27,4:05PM ET,boxscore,1,0,5-10,1,Washington Football Team,20.0,13.0,19.0,280.0,167.0,113.0,2.0,20.0,386.0,278.0,108.0,4.0,-5.85,5.49,7.24,2020,car,December,27,2020/December/27,2020-12-27
17,Sun,January 3,4:25PM ET,boxscore,0,0,5-11,0,New Orleans Saints,7.0,33.0,17.0,320.0,246.0,74.0,5.0,20.0,347.0,191.0,156.0,0.0,-14.42,-10.71,-0.09,2020,car,January,3,2020/January/3,2020-01-03
1,Sun,September 12,1:00PM ET,boxscore,1,0,1-0,0,New York Jets,19.0,14.0,17.0,381.0,270.0,111.0,1.0,16.0,252.0,207.0,45.0,1.0,1.31,10.0,-3.49,2021,car,September,12,2021/September/12,2021-09-12
2,Sun,September 19,1:00PM ET,boxscore,1,0,2-0,0,New Orleans Saints,26.0,7.0,28.0,383.0,294.0,89.0,1.0,6.0,128.0,80.0,48.0,2.0,12.61,21.2,-12.63,2021,car,September,19,2021/September/19,2021-09-19
3,Thu,September 23,8:20PM ET,boxscore,1,0,3-0,1,Houston Texans,24.0,9.0,28.0,407.0,290.0,117.0,0.0,14.0,193.0,151.0,42.0,0.0,14.35,5.6,-5.17,2021,car,September,23,2021/September/23,2021-09-23
4,Sun,October 3,1:00PM ET,boxscore,0,0,3-1,1,Dallas Cowboys,28.0,36.0,24.0,379.0,266.0,113.0,2.0,24.0,433.0,188.0,245.0,0.0,10.49,-19.39,-1.46,2021,car,October,3,2021/October/3,2021-10-03
5,Sun,October 10,1:00PM ET,boxscore,0,0,3-2,0,Philadelphia Eagles,18.0,21.0,17.0,267.0,158.0,109.0,3.0,15.0,273.0,182.0,91.0,2.0,-16.27,15.13,-3.99,2021,car,October,10,2021/October/10,2021-10-10
6,Sun,October 17,1:00PM ET,boxscore,0,1,3-3,0,Minnesota Vikings,28.0,34.0,20.0,306.0,188.0,118.0,3.0,26.0,571.0,373.0,198.0,1.0,-9.64,-8.77,12.64,2021,car,October,17,2021/October/17,2021-10-17
7,Sun,October 24,1:00PM ET,boxscore,0,0,3-4,1,New York Giants,3.0,25.0,11.0,173.0,117.0,56.0,1.0,21.0,302.0,199.0,103.0,0.0,-22.46,3.21,-2.91,2021,car,October,24,2021/October/24,2021-10-24
8,Sun,October 31,1:00PM ET,boxscore,1,0,4-4,1,Atlanta Falcons,19.0,13.0,21.0,332.0,129.0,203.0,1.0,17.0,213.0,131.0,82.0,2.0,0.86,2.84,4.14,2021,car,October,31,2021/October/31,2021-10-31
9,Sun,November 7,1:00PM ET,boxscore,0,0,4-5,0,New England Patriots,6.0,24.0,13.0,240.0,162.0,78.0,3.0,17.0,273.0,122.0,151.0,2.0,-26.35,3.56,5.26,2021,car,November,7,2021/November/7,2021-11-07
10,Sun,November 14,4:05PM ET,boxscore,1,0,5-5,1,Arizona Cardinals,34.0,10.0,24.0,341.0,175.0,166.0,2.0,11.0,169.0,104.0,65.0,2.0,2.27,19.35,1.02,2021,car,November,14,2021/November/14,2021-11-14
