Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
1,Sun,1:05PM ET,0,0,0-1,0,Tampa Bay Buccaneers,24.0,31.0,19.0,374.0,322.0,52.0,0.0,20.0,371.0,281.0,90.0,1.0,4.71,-12.93,-0.8,2016,0.0,atl,2016-09-11
2,Sun,4:25PM ET,1,0,1-1,1,Oakland Raiders,35.0,28.0,27.0,528.0,389.0,139.0,1.0,29.0,454.0,299.0,155.0,0.0,24.77,-20.41,3.37,2016,0.5,atl,2016-09-18
3,Mon,8:30PM ET,1,0,2-1,1,New Orleans Saints,45.0,32.0,26.0,442.0,225.0,217.0,0.0,32.0,474.0,359.0,115.0,2.0,29.68,-12.19,-1.52,2016,0.6666666666666666,atl,2016-09-26
4,Sun,1:04PM ET,1,0,3-1,0,Carolina Panthers,48.0,33.0,25.0,571.0,481.0,90.0,1.0,20.0,378.0,329.0,49.0,2.0,22.38,-3.16,-3.49,2016,0.75,atl,2016-10-02
5,Sun,4:05PM ET,1,0,4-1,1,Denver Broncos,23.0,16.0,19.0,372.0,250.0,122.0,1.0,18.0,267.0,183.0,84.0,1.0,1.87,1.15,5.74,2016,0.8,atl,2016-10-09
6,Sun,4:26PM ET,0,0,4-2,1,Seattle Seahawks,24.0,26.0,22.0,362.0,310.0,52.0,2.0,22.0,333.0,261.0,72.0,0.0,2.71,-8.88,2.31,2016,0.6666666666666666,atl,2016-10-16
7,Sun,4:05PM ET,0,1,4-3,0,San Diego Chargers,30.0,33.0,21.0,386.0,256.0,130.0,1.0,26.0,426.0,348.0,78.0,2.0,5.36,-7.16,-3.95,2016,0.5714285714285714,atl,2016-10-23
8,Sun,4:25PM ET,1,0,5-3,0,Green Bay Packers,33.0,32.0,25.0,367.0,277.0,90.0,0.0,24.0,331.0,223.0,108.0,0.0,21.53,-18.3,0.6,2016,0.625,atl,2016-10-30
9,Thu,8:25PM ET,1,0,6-3,1,Tampa Bay Buccaneers,43.0,28.0,31.0,461.0,325.0,136.0,1.0,23.0,396.0,326.0,70.0,2.0,22.07,-7.8,1.04,2016,0.6666666666666666,atl,2016-11-03
10,Sun,1:00PM ET,0,0,6-4,1,Philadelphia Eagles,15.0,24.0,11.0,303.0,255.0,48.0,1.0,25.0,429.0,221.0,208.0,1.0,-5.49,-2.75,2.21,2016,0.6,atl,2016-11-13
12,Sun,1:00PM ET,1,0,7-4,0,Arizona Cardinals,38.0,19.0,28.0,360.0,244.0,116.0,1.0,23.0,332.0,274.0,58.0,1.0,17.09,-1.72,5.32,2016,0.6363636363636364,atl,2016-11-27
13,Sun,1:00PM ET,0,0,7-5,0,Kansas City Chiefs,28.0,29.0,32.0,418.0,290.0,128.0,1.0,17.0,389.0,266.0,123.0,1.0,15.48,-14.69,1.39,2016,0.5833333333333334,atl,2016-12-04
14,Sun,4:25PM ET,1,0,8-5,1,Los Angeles Rams,42.0,14.0,18.0,286.0,220.0,66.0,0.0,21.0,312.0,208.0,104.0,5.0,5.86,17.65,3.65,2016,0.6153846153846154,atl,2016-12-11
15,Sun,4:05PM ET,1,0,9-5,0,San Francisco 49ers,41.0,13.0,29.0,550.0,302.0,248.0,1.0,15.0,272.0,165.0,107.0,1.0,28.85,-0.33,-1.86,2016,0.6428571428571429,atl,2016-12-18
