PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Timestamp,Week,Day,Time,W/L,OT,Record,@,Opp,TmScore,OppScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,Team,Year,month,year,Avg3Game,Avg6Game,Win%
21.0,43.0,225.0,0.0,1.0,4.0,26.0,5.8,48.8,54.9,18.0,74.0,4.1,1.0,2.0,2.0,0.0,1.0,6.0,286.0,4.0,15.0,0.0,1.0,27:50,2018-09-06,1,Thu,8:20PM ET,0,0,0-1,1,Philadelphia Eagles,12.0,18.0,16.0,299.0,225.0,74.0,1.0,18.0,232.0,119.0,113.0,2.0,-7.26,3.11,2.58,atl,2018,9,2018,,,0.0
23.0,28.0,272.0,2.0,1.0,0.0,0.0,9.7,82.1,116.1,32.0,170.0,5.3,2.0,1.0,1.0,4.0,4.0,4.0,179.0,6.0,11.0,0.0,0.0,29:42,2018-09-16,2,Sun,1:00PM ET,1,0,1-1,0,Carolina Panthers,31.0,24.0,23.0,442.0,272.0,170.0,1.0,27.0,439.0,318.0,121.0,1.0,22.04,-12.68,-4.66,atl,2018,9,2018,,,0.5
26.0,35.0,359.0,5.0,0.0,3.0,15.0,10.7,74.3,146.3,22.0,48.0,2.2,0.0,0.0,0.0,3.0,3.0,6.0,216.0,4.0,11.0,0.0,0.0,29:20,2018-09-23,3,Sun,1:00PM ET,0,1,1-2,0,New Orleans Saints,37.0,43.0,24.0,407.0,359.0,48.0,0.0,32.0,534.0,391.0,143.0,0.0,20.31,-26.85,0.47,atl,2018,9,2018,26.666666666666668,,0.3333333333333333
29.0,39.0,403.0,3.0,0.0,3.0,16.0,10.7,74.4,132.7,24.0,92.0,3.8,1.0,3.0,3.0,3.0,3.0,1.0,41.0,11.0,15.0,0.0,1.0,29:22,2018-09-30,4,Sun,1:00PM ET,0,0,1-3,0,Cincinnati Bengals,36.0,37.0,25.0,495.0,403.0,92.0,0.0,30.0,407.0,308.0,99.0,1.0,24.63,-22.54,1.75,atl,2018,9,2018,34.666666666666664,,0.25
31.0,45.0,262.0,1.0,0.0,6.0,43.0,6.8,68.9,91.2,19.0,62.0,3.3,1.0,1.0,1.0,2.0,2.0,4.0,117.0,6.0,14.0,1.0,3.0,30:52,2018-10-07,5,Sun,1:00PM ET,0,0,1-4,1,Pittsburgh Steelers,17.0,41.0,22.0,324.0,262.0,62.0,1.0,22.0,381.0,250.0,131.0,1.0,-1.13,-20.96,-0.44,atl,2018,10,2018,30.0,,0.2
31.0,41.0,347.0,3.0,0.0,1.0,8.0,8.7,75.6,124.7,22.0,70.0,3.2,1.0,2.0,2.0,4.0,4.0,4.0,180.0,8.0,13.0,0.0,0.0,31:39,2018-10-14,6,Sun,1:00PM ET,1,0,2-4,0,Tampa Bay Buccaneers,34.0,29.0,26.0,417.0,347.0,70.0,0.0,30.0,510.0,389.0,121.0,2.0,21.03,-22.99,2.24,atl,2018,10,2018,29.0,27.833333333333332,0.3333333333333333
31.0,39.0,356.0,1.0,0.0,3.0,23.0,9.7,79.5,113.2,20.0,67.0,3.4,1.0,3.0,3.0,2.0,2.0,3.0,133.0,7.0,13.0,0.0,0.0,32:17,2018-10-22,7,Mon,8:15PM ET,1,0,3-4,0,New York Giants,23.0,20.0,22.0,423.0,356.0,67.0,1.0,21.0,433.0,372.0,61.0,0.0,12.04,-12.61,2.1,atl,2018,10,2018,24.666666666666668,29.666666666666668,0.42857142857142855
26.0,38.0,337.0,4.0,1.0,2.0,13.0,9.2,68.4,120.2,24.0,154.0,6.4,1.0,1.0,1.0,5.0,5.0,2.0,103.0,10.0,13.0,0.0,0.0,32:56,2018-11-04,9,Sun,1:00PM ET,1,0,4-4,1,Washington Redskins,38.0,14.0,25.0,491.0,337.0,154.0,1.0,20.0,366.0,287.0,79.0,1.0,30.07,-6.19,-4.39,atl,2018,11,2018,31.666666666666668,30.833333333333332,0.5
38.0,52.0,311.0,2.0,0.0,2.0,19.0,6.3,73.1,100.7,19.0,71.0,3.7,0.0,1.0,1.0,1.0,1.0,3.0,118.0,5.0,14.0,2.0,4.0,31:23,2018-11-11,10,Sun,1:00PM ET,0,0,4-5,1,Cleveland Browns,16.0,28.0,25.0,382.0,311.0,71.0,2.0,19.0,427.0,216.0,211.0,1.0,1.81,-15.47,0.18,atl,2018,11,2018,25.666666666666668,27.333333333333332,0.4444444444444444
24.0,34.0,274.0,1.0,1.0,3.0,17.0,8.6,70.6,92.0,18.0,80.0,4.4,0.0,4.0,4.0,1.0,1.0,2.0,62.0,6.0,12.0,0.0,0.0,28:03,2018-11-18,11,Sun,1:00PM ET,0,0,4-6,0,Dallas Cowboys,19.0,22.0,19.0,354.0,274.0,80.0,1.0,20.0,323.0,191.0,132.0,0.0,5.2,-10.89,0.89,atl,2018,11,2018,24.333333333333332,24.5,0.4
35.0,47.0,340.0,2.0,1.0,6.0,37.0,8.0,74.5,99.6,16.0,26.0,1.6,0.0,1.0,1.0,2.0,2.0,2.0,96.0,5.0,15.0,4.0,6.0,30:59,2018-11-22,12,Thu,8:20PM ET,0,0,4-7,1,New Orleans Saints,17.0,31.0,21.0,366.0,340.0,26.0,4.0,19.0,312.0,162.0,150.0,1.0,-2.35,-11.04,0.37,atl,2018,11,2018,17.333333333333332,24.5,0.36363636363636365
16.0,27.0,97.0,1.0,0.0,3.0,34.0,4.9,59.3,78.8,15.0,34.0,2.3,0.0,1.0,1.0,1.0,1.0,5.0,252.0,2.0,9.0,0.0,1.0,20:21,2018-12-02,13,Sun,1:00PM ET,0,0,4-8,0,Baltimore Ravens,16.0,26.0,16.0,131.0,97.0,34.0,1.0,25.0,366.0,159.0,207.0,1.0,-13.31,1.63,1.11,atl,2018,12,2018,17.333333333333332,21.5,0.3333333333333333
28.0,42.0,237.0,3.0,1.0,2.0,25.0,6.2,66.7,95.0,24.0,107.0,4.5,0.0,0.0,1.0,2.0,3.0,4.0,200.0,3.0,12.0,3.0,3.0,30:49,2018-12-09,14,Sun,1:00PM ET,0,0,4-9,1,Green Bay Packers,20.0,34.0,22.0,344.0,237.0,107.0,2.0,23.0,300.0,162.0,138.0,0.0,1.55,-11.83,0.57,atl,2018,12,2018,17.666666666666668,21.0,0.3076923076923077
22.0,36.0,220.0,2.0,0.0,2.0,11.0,6.4,61.1,97.0,27.0,215.0,8.0,2.0,2.0,2.0,4.0,4.0,6.0,266.0,5.0,13.0,0.0,0.0,30:40,2018-12-16,15,Sun,1:00PM ET,1,0,5-9,0,Arizona Cardinals,40.0,14.0,23.0,435.0,220.0,215.0,0.0,18.0,253.0,193.0,60.0,3.0,15.22,16.06,-7.62,atl,2018,12,2018,25.333333333333332,21.333333333333332,0.35714285714285715
15.0,26.0,233.0,3.0,0.0,1.0,6.0,9.2,57.7,126.0,21.0,194.0,9.2,0.0,1.0,1.0,3.0,3.0,5.0,235.0,4.0,10.0,0.0,0.0,22:31,2018-12-23,16,Sun,1:00PM ET,1,0,6-9,1,Carolina Panthers,24.0,10.0,16.0,427.0,233.0,194.0,2.0,29.0,436.0,295.0,141.0,4.0,9.76,10.77,-2.58,atl,2018,12,2018,28.0,22.666666666666668,0.4
32.0,45.0,380.0,3.0,1.0,1.0,3.0,8.5,71.1,109.5,30.0,109.0,3.6,1.0,2.0,2.0,4.0,4.0,5.0,245.0,6.0,13.0,0.0,0.0,34:46,2018-12-30,17,Sun,1:00PM ET,1,0,7-9,1,Tampa Bay Buccaneers,34.0,32.0,27.0,489.0,380.0,109.0,1.0,22.0,433.0,341.0,92.0,1.0,14.62,-14.51,-0.09,atl,2018,12,2018,32.666666666666664,25.166666666666668,0.4375
33.0,46.0,272.0,2.0,2.0,4.0,32.0,6.6,71.7,82.9,17.0,73.0,4.3,0.0,0.0,0.0,0.0,0.0,4.0,130.0,2.0,8.0,2.0,2.0,30:13,2019-09-08,1,Sun,1:00PM ET,0,0,0-1,1,Minnesota Vikings,12.0,28.0,27.0,345.0,272.0,73.0,3.0,18.0,269.0,97.0,172.0,0.0,-1.83,-11.05,-4.34,atl,2019,9,2019,,,0.0
27.0,43.0,310.0,3.0,3.0,1.0,10.0,7.4,62.8,78.6,17.0,57.0,3.4,0.0,1.0,2.0,3.0,3.0,3.0,118.0,3.0,10.0,1.0,1.0,27:06,2019-09-15,2,Sun,8:20PM ET,1,0,1-1,0,Philadelphia Eagles,24.0,20.0,19.0,367.0,310.0,57.0,3.0,18.0,286.0,237.0,49.0,3.0,3.96,5.22,-4.03,atl,2019,9,2019,,,0.5
