PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Timestamp,Week,Day,Time,W/L,OT,Record,@,Opp,TmScore,OppScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,Team,Year,month,year,Avg3Game,Avg6Game,Win%
17.0,26.0,146.0,0.0,0.0,3.0,15.0,6.2,65.4,80.0,32.0,147.0,4.6,2.0,1.0,1.0,1.0,1.0,6.0,287.0,4.0,12.0,0.0,0.0,30:36,2018-09-09,1,Sun,4:25PM ET,1,0,1-0,0,Dallas Cowboys,16.0,8.0,20.0,293.0,146.0,147.0,1.0,17.0,232.0,138.0,94.0,1.0,-2.28,9.14,3.01,car,2018,9,2018,,,1.0
32.0,45.0,318.0,3.0,1.0,2.0,17.0,7.4,71.1,103.7,18.0,121.0,6.7,0.0,1.0,1.0,3.0,3.0,4.0,191.0,5.0,11.0,1.0,1.0,30:18,2018-09-16,2,Sun,1:00PM ET,0,0,1-1,1,Atlanta Falcons,24.0,31.0,27.0,439.0,318.0,121.0,1.0,23.0,442.0,272.0,170.0,1.0,12.68,-22.04,4.66,car,2018,9,2018,,,0.5
15.0,24.0,147.0,2.0,0.0,1.0,3.0,6.3,62.5,107.5,41.0,230.0,5.6,2.0,1.0,1.0,4.0,4.0,4.0,165.0,6.0,13.0,0.0,1.0,33:55,2018-09-23,3,Sun,1:00PM ET,1,0,2-1,0,Cincinnati Bengals,31.0,21.0,23.0,377.0,147.0,230.0,0.0,25.0,396.0,330.0,66.0,4.0,12.82,-8.4,3.09,car,2018,9,2018,23.666666666666668,,0.6666666666666666
21.0,35.0,232.0,2.0,2.0,1.0,5.0,6.8,60.0,74.9,31.0,118.0,3.8,0.0,4.0,4.0,3.0,3.0,3.0,153.0,4.0,13.0,1.0,1.0,35:27,2018-10-07,5,Sun,1:00PM ET,1,0,3-1,0,New York Giants,33.0,31.0,21.0,350.0,232.0,118.0,2.0,18.0,432.0,382.0,50.0,3.0,1.96,-9.09,7.79,car,2018,10,2018,29.333333333333332,,0.75
27.0,40.0,269.0,2.0,1.0,1.0,6.0,6.9,67.5,92.6,18.0,81.0,4.5,0.0,1.0,1.0,0.0,1.0,3.0,133.0,3.0,9.0,0.0,1.0,24:36,2018-10-14,6,Sun,1:00PM ET,0,0,3-2,1,Washington Redskins,17.0,23.0,22.0,350.0,269.0,81.0,3.0,18.0,288.0,156.0,132.0,0.0,7.02,-1.15,-11.87,car,2018,10,2018,27.0,,0.6
25.0,39.0,250.0,2.0,0.0,2.0,19.0,6.9,64.1,99.3,17.0,121.0,7.1,1.0,0.0,0.0,1.0,2.0,5.0,209.0,5.0,11.0,1.0,1.0,24:43,2018-10-21,7,Sun,1:00PM ET,1,0,4-2,1,Philadelphia Eagles,21.0,17.0,19.0,371.0,250.0,121.0,0.0,21.0,342.0,284.0,58.0,1.0,16.68,-8.65,-2.41,car,2018,10,2018,23.666666666666668,23.666666666666668,0.6666666666666666
22.0,30.0,232.0,2.0,0.0,0.0,0.0,7.7,73.3,117.6,33.0,154.0,4.7,2.0,3.0,3.0,3.0,3.0,3.0,137.0,6.0,12.0,1.0,1.0,34:01,2018-10-28,8,Sun,1:00PM ET,1,0,5-2,0,Baltimore Ravens,36.0,21.0,22.0,386.0,232.0,154.0,0.0,20.0,325.0,224.0,101.0,3.0,18.22,-1.24,-7.88,car,2018,10,2018,24.666666666666668,27.0,0.7142857142857143
19.0,25.0,228.0,2.0,0.0,2.0,19.0,9.9,76.0,130.1,32.0,179.0,5.6,4.0,0.0,0.0,6.0,6.0,4.0,200.0,4.0,10.0,0.0,1.0,31:00,2018-11-04,9,Sun,1:00PM ET,1,0,6-2,0,Tampa Bay Buccaneers,42.0,28.0,22.0,407.0,228.0,179.0,0.0,23.0,301.0,219.0,82.0,2.0,18.42,-7.24,2.03,car,2018,11,2018,33.0,30.0,0.75
23.0,29.0,147.0,2.0,1.0,5.0,46.0,6.7,79.3,96.4,22.0,95.0,4.3,1.0,0.0,0.0,3.0,3.0,5.0,205.0,4.0,11.0,1.0,1.0,29:25,2018-11-08,10,Thu,8:20PM ET,0,0,6-3,1,Pittsburgh Steelers,21.0,52.0,18.0,242.0,147.0,95.0,2.0,25.0,457.0,319.0,138.0,0.0,1.09,-31.73,-3.55,car,2018,11,2018,33.0,28.333333333333332,0.6666666666666666
25.0,38.0,331.0,3.0,1.0,3.0,26.0,9.4,65.8,108.6,16.0,56.0,3.5,0.0,0.0,1.0,1.0,2.0,5.0,222.0,5.0,11.0,0.0,0.0,28:20,2018-11-18,11,Sun,1:00PM ET,0,0,6-4,1,Detroit Lions,19.0,20.0,20.0,387.0,331.0,56.0,1.0,20.0,309.0,215.0,94.0,0.0,11.72,-3.68,-12.13,car,2018,11,2018,27.333333333333332,26.0,0.6
