Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
1,Sun,1:00PM ET,0,0,0-1,0,Atlanta Falcons,17.0,23.0,20.0,301.0,176.0,125.0,0.0,18.0,372.0,308.0,64.0,0.0,4.93,-12.91,2.9,2017,0.0,chi,2017-09-10
2,Sun,1:00PM ET,0,0,0-2,1,Tampa Bay Buccaneers,7.0,29.0,19.0,310.0,290.0,20.0,4.0,22.0,311.0,194.0,117.0,1.0,-12.8,-4.54,-3.35,2017,0.0,chi,2017-09-17
3,Sun,1:00PM ET,1,1,1-2,0,Pittsburgh Steelers,23.0,17.0,18.0,306.0,84.0,222.0,2.0,19.0,282.0,212.0,70.0,2.0,-2.54,-1.44,10.53,2017,0.3333333333333333,chi,2017-09-24
4,Thu,8:25PM ET,0,0,1-3,1,Green Bay Packers,14.0,35.0,20.0,308.0,205.0,103.0,4.0,17.0,260.0,169.0,91.0,0.0,-7.46,-11.46,-1.68,2017,0.25,chi,2017-09-28
5,Mon,8:30PM ET,0,0,1-4,0,Minnesota Vikings,17.0,20.0,16.0,274.0,159.0,115.0,2.0,17.0,300.0,141.0,159.0,0.0,-3.39,-2.14,2.08,2017,0.2,chi,2017-10-09
6,Sun,1:00PM ET,1,1,2-4,1,Baltimore Ravens,27.0,24.0,18.0,342.0,111.0,231.0,2.0,16.0,291.0,166.0,125.0,3.0,-9.26,24.12,-14.85,2017,0.3333333333333333,chi,2017-10-15
7,Sun,1:00PM ET,1,0,3-4,0,Carolina Panthers,17.0,3.0,5.0,153.0,85.0,68.0,0.0,20.0,293.0,185.0,108.0,3.0,-10.91,25.2,-3.91,2017,0.42857142857142855,chi,2017-10-22
8,Sun,1:00PM ET,0,0,3-5,1,New Orleans Saints,12.0,20.0,17.0,307.0,150.0,157.0,1.0,19.0,387.0,286.0,101.0,2.0,-7.73,0.21,-2.47,2017,0.375,chi,2017-10-29
10,Sun,1:00PM ET,0,0,3-6,0,Green Bay Packers,16.0,23.0,14.0,323.0,268.0,55.0,1.0,18.0,342.0,182.0,160.0,0.0,-6.15,-8.98,6.09,2017,0.3333333333333333,chi,2017-11-12
11,Sun,1:00PM ET,0,0,3-7,0,Detroit Lions,24.0,27.0,24.0,398.0,176.0,222.0,1.0,20.0,352.0,287.0,65.0,1.0,11.16,-8.12,-6.16,2017,0.3,chi,2017-11-19
