PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Timestamp,Week,Day,Time,W/L,OT,Record,@,Opp,TmScore,OppScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,Team,Year,month,year,Avg3Game,Avg6Game,Win%
23.0,35.0,155.0,0.0,0.0,4.0,16.0,4.9,65.7,75.3,27.0,139.0,5.1,1.0,3.0,3.0,2.0,2.0,4.0,201.0,7.0,17.0,0.0,2.0,33:22,2018-09-09,1,Sun,8:20PM ET,0,0,0-1,1,Green Bay Packers,23.0,24.0,18.0,294.0,155.0,139.0,1.0,16.0,370.0,301.0,69.0,2.0,-1.75,-1.65,-0.54,chi,2018,9,2018,,,0.0
25.0,34.0,185.0,2.0,2.0,2.0,15.0,5.9,73.5,81.1,27.0,86.0,3.2,0.0,1.0,1.0,3.0,3.0,5.0,206.0,5.0,12.0,1.0,1.0,34:24,2018-09-17,2,Mon,8:15PM ET,1,0,1-1,0,Seattle Seahawks,24.0,17.0,20.0,271.0,185.0,86.0,2.0,17.0,276.0,202.0,74.0,2.0,-0.24,11.46,-2.71,chi,2018,9,2018,,,0.5
24.0,35.0,194.0,0.0,1.0,3.0,26.0,6.3,68.6,70.4,31.0,122.0,3.9,1.0,3.0,4.0,1.0,1.0,3.0,158.0,5.0,14.0,1.0,1.0,36:21,2018-09-23,3,Sun,4:25PM ET,1,0,2-1,1,Arizona Cardinals,16.0,14.0,21.0,316.0,194.0,122.0,2.0,13.0,221.0,168.0,53.0,4.0,-2.63,6.07,-1.68,chi,2018,9,2018,21.0,,0.6666666666666666
19.0,26.0,344.0,6.0,0.0,1.0,10.0,13.6,73.1,154.6,31.0,139.0,4.5,0.0,2.0,2.0,6.0,6.0,2.0,96.0,4.0,8.0,0.0,0.0,28:06,2018-09-30,4,Sun,1:00PM ET,1,0,3-1,0,Tampa Bay Buccaneers,48.0,10.0,28.0,483.0,344.0,139.0,0.0,16.0,311.0,251.0,60.0,3.0,33.53,5.14,-0.24,chi,2018,9,2018,29.333333333333332,,0.75
22.0,31.0,303.0,3.0,1.0,2.0,13.0,10.2,71.0,120.8,31.0,164.0,5.3,1.0,0.0,1.0,4.0,4.0,2.0,79.0,8.0,12.0,0.0,1.0,33:25,2018-10-14,6,Sun,1:00PM ET,0,1,3-2,1,Miami Dolphins,28.0,31.0,23.0,467.0,303.0,164.0,3.0,23.0,541.0,380.0,161.0,3.0,12.66,-10.81,-5.41,chi,2018,10,2018,30.666666666666668,,0.6
26.0,50.0,319.0,2.0,2.0,2.0,14.0,6.7,52.0,68.7,25.0,134.0,5.4,2.0,1.0,1.0,4.0,4.0,5.0,173.0,8.0,16.0,1.0,1.0,30:09,2018-10-21,7,Sun,1:00PM ET,0,0,3-3,0,New England Patriots,31.0,38.0,29.0,453.0,319.0,134.0,2.0,21.0,381.0,273.0,108.0,3.0,16.6,-9.37,-5.66,chi,2018,10,2018,35.666666666666664,28.333333333333332,0.5
16.0,29.0,216.0,2.0,0.0,2.0,4.0,7.6,55.2,102.1,34.0,179.0,5.3,1.0,1.0,2.0,3.0,3.0,5.0,225.0,4.0,12.0,1.0,1.0,32:44,2018-10-28,8,Sun,1:00PM ET,1,0,4-3,0,New York Jets,24.0,10.0,22.0,395.0,216.0,179.0,0.0,12.0,207.0,150.0,57.0,0.0,15.66,6.25,-9.71,chi,2018,10,2018,27.666666666666668,28.5,0.5714285714285714
12.0,20.0,126.0,1.0,1.0,1.0,9.0,6.8,60.0,74.2,25.0,64.0,2.6,2.0,2.0,2.0,5.0,5.0,5.0,200.0,3.0,11.0,0.0,0.0,25:57,2018-11-04,9,Sun,1:00PM ET,1,0,5-3,1,Buffalo Bills,41.0,9.0,11.0,190.0,126.0,64.0,1.0,22.0,264.0,166.0,98.0,4.0,-2.58,29.93,2.21,chi,2018,11,2018,32.0,31.333333333333332,0.625
23.0,30.0,348.0,3.0,0.0,1.0,7.0,11.8,76.7,147.6,22.0,54.0,2.5,2.0,0.0,2.0,2.0,4.0,3.0,144.0,4.0,10.0,0.0,0.0,28:00,2018-11-11,10,Sun,1:00PM ET,1,0,6-3,0,Detroit Lions,34.0,22.0,20.0,402.0,348.0,54.0,0.0,24.0,305.0,229.0,76.0,3.0,21.9,0.42,-15.4,chi,2018,11,2018,33.0,34.333333333333336,0.6666666666666666
20.0,31.0,160.0,1.0,2.0,1.0,5.0,5.3,64.5,61.2,39.0,148.0,3.8,0.0,3.0,3.0,0.0,0.0,2.0,71.0,6.0,12.0,0.0,0.0,34:29,2018-11-18,11,Sun,8:20PM ET,1,0,7-3,0,Minnesota Vikings,25.0,20.0,24.0,308.0,160.0,148.0,3.0,19.0,268.0,246.0,22.0,3.0,-0.26,6.9,-0.96,chi,2018,11,2018,33.333333333333336,30.5,0.7
