Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
1,Sun,1:05PM ET,0,0,0-1,1,Philadelphia Eagles,10.0,29.0,14.0,288.0,168.0,120.0,1.0,23.0,403.0,270.0,133.0,0.0,-8.11,-8.45,3.33,2016,0.0,cle,2016-09-11
2,Sun,1:02PM ET,0,0,0-2,0,Baltimore Ravens,20.0,25.0,17.0,387.0,242.0,145.0,2.0,22.0,382.0,302.0,80.0,2.0,8.28,-1.83,-7.74,2016,0.0,cle,2016-09-18
3,Sun,1:02PM ET,0,1,0-3,1,Miami Dolphins,24.0,30.0,21.0,430.0,261.0,169.0,1.0,23.0,426.0,311.0,115.0,3.0,1.58,3.28,-12.54,2016,0.0,cle,2016-09-25
4,Sun,1:05PM ET,0,0,0-4,1,Washington Redskins,20.0,31.0,26.0,380.0,217.0,163.0,3.0,24.0,301.0,156.0,145.0,1.0,4.68,-13.4,0.33,2016,0.0,cle,2016-10-02
5,Sun,1:02PM ET,0,0,0-5,0,New England Patriots,13.0,33.0,17.0,262.0,235.0,27.0,1.0,24.0,501.0,403.0,98.0,0.0,-4.26,-17.05,3.15,2016,0.0,cle,2016-10-09
6,Sun,1:02PM ET,0,0,0-6,1,Tennessee Titans,26.0,28.0,16.0,341.0,301.0,40.0,0.0,19.0,407.0,270.0,137.0,1.0,6.06,-14.1,6.45,2016,0.0,cle,2016-10-16
7,Sun,1:02PM ET,0,0,0-7,1,Cincinnati Bengals,17.0,31.0,22.0,352.0,172.0,180.0,2.0,23.0,559.0,288.0,271.0,1.0,4.02,-31.04,11.95,2016,0.0,cle,2016-10-23
8,Sun,1:02PM ET,0,0,0-8,0,New York Jets,28.0,31.0,22.0,407.0,339.0,68.0,2.0,21.0,393.0,222.0,171.0,0.0,10.82,-14.63,-0.51,2016,0.0,cle,2016-10-30
9,Sun,1:00PM ET,0,0,0-9,0,Dallas Cowboys,10.0,35.0,13.0,222.0,177.0,45.0,0.0,29.0,423.0,255.0,168.0,0.0,0.76,-27.99,-0.64,2016,0.0,cle,2016-11-06
10,Thu,8:25PM ET,0,0,0-10,1,Baltimore Ravens,7.0,28.0,11.0,144.0,111.0,33.0,3.0,29.0,396.0,277.0,119.0,2.0,-14.46,-10.87,2.25,2016,0.0,cle,2016-11-10
11,Sun,1:00PM ET,0,0,0-11,0,Pittsburgh Steelers,9.0,24.0,17.0,209.0,176.0,33.0,2.0,24.0,313.0,167.0,146.0,0.0,-1.22,-8.07,-1.71,2016,0.0,cle,2016-11-20
12,Sun,1:00PM ET,0,0,0-12,0,New York Giants,13.0,27.0,21.0,343.0,285.0,58.0,3.0,13.0,296.0,192.0,104.0,1.0,-17.45,-0.78,2.08,2016,0.0,cle,2016-11-27
14,Sun,1:00PM ET,0,0,0-13,0,Cincinnati Bengals,10.0,23.0,13.0,254.0,85.0,169.0,1.0,21.0,360.0,147.0,213.0,0.0,-4.29,-10.65,2.55,2016,0.0,cle,2016-12-11
15,Sun,1:00PM ET,0,0,0-14,1,Buffalo Bills,13.0,33.0,16.0,269.0,162.0,107.0,0.0,29.0,451.0,171.0,280.0,0.0,-0.76,-21.65,3.78,2016,0.0,cle,2016-12-18
16,Sat,1:00PM ET,1,0,1-14,0,San Diego Chargers,20.0,17.0,23.0,251.0,127.0,124.0,0.0,19.0,356.0,322.0,34.0,1.0,3.69,-4.92,4.4,2016,0.06666666666666667,cle,2016-12-24
