PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Timestamp,Week,Day,Time,W/L,OT,Record,@,Opp,TmScore,OppScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,Team,Year,month,year,Avg3Game,Avg6Game,Win%
15.0,40.0,150.0,1.0,1.0,7.0,47.0,4.9,37.5,46.9,38.0,177.0,4.7,2.0,0.0,1.0,3.0,3.0,12.0,522.0,5.0,18.0,0.0,1.0,34:48,2018-09-09,1,Sun,1:00PM ET,0,1,0-0-1,0,Pittsburgh Steelers,21.0,21.0,22.0,327.0,150.0,177.0,1.0,25.0,472.0,313.0,159.0,6.0,-11.02,12.04,-1.51,cle,2018,9,2018,,,0.0
22.0,30.0,234.0,1.0,1.0,3.0,12.0,8.2,73.3,92.9,27.0,93.0,3.4,1.0,2.0,4.0,0.0,2.0,3.0,118.0,4.0,12.0,1.0,2.0,27:19,2018-09-16,2,Sun,1:00PM ET,0,0,0-1-1,1,New Orleans Saints,18.0,21.0,16.0,327.0,234.0,93.0,1.0,18.0,275.0,213.0,62.0,2.0,2.85,2.16,-10.01,cle,2018,9,2018,,,0.0
21.0,37.0,190.0,0.0,0.0,4.0,30.0,5.9,56.8,70.8,33.0,133.0,4.0,2.0,2.0,2.0,1.0,1.0,8.0,273.0,7.0,18.0,0.0,0.0,30:52,2018-09-20,3,Thu,8:20PM ET,1,0,1-1-1,0,New York Jets,21.0,17.0,20.0,323.0,190.0,133.0,0.0,14.0,268.0,161.0,107.0,3.0,0.16,10.59,-6.79,cle,2018,9,2018,20.0,,0.3333333333333333
21.0,41.0,279.0,2.0,2.0,2.0,16.0,7.2,51.2,69.1,31.0,208.0,6.7,3.0,2.0,2.0,2.0,2.0,7.0,350.0,5.0,15.0,1.0,1.0,31:23,2018-09-30,4,Sun,4:05PM ET,0,1,1-2-1,1,Oakland Raiders,42.0,45.0,21.0,487.0,279.0,208.0,4.0,27.0,565.0,426.0,139.0,2.0,1.25,-7.23,2.16,cle,2018,9,2018,27.0,,0.25
25.0,43.0,304.0,1.0,1.0,5.0,38.0,8.0,58.1,78.1,28.0,112.0,4.0,0.0,2.0,3.0,0.0,1.0,9.0,452.0,6.0,19.0,0.0,1.0,36:16,2018-10-07,5,Sun,1:00PM ET,1,1,2-2-1,0,Baltimore Ravens,12.0,9.0,20.0,416.0,304.0,112.0,1.0,25.0,410.0,294.0,116.0,2.0,-7.48,11.13,-2.05,cle,2018,10,2018,25.0,,0.4
22.0,46.0,214.0,1.0,2.0,5.0,24.0,5.2,47.8,50.5,21.0,103.0,4.9,0.0,2.0,2.0,0.0,0.0,6.0,242.0,6.0,16.0,1.0,3.0,28:23,2018-10-14,6,Sun,1:00PM ET,0,0,2-3-1,0,Los Angeles Chargers,14.0,38.0,18.0,317.0,214.0,103.0,2.0,24.0,449.0,203.0,246.0,1.0,-14.57,-13.33,4.29,cle,2018,10,2018,22.666666666666668,21.333333333333332,0.3333333333333333
23.0,34.0,186.0,2.0,0.0,5.0,29.0,6.3,67.6,100.9,23.0,119.0,5.2,1.0,0.0,0.0,3.0,3.0,9.0,465.0,3.0,14.0,0.0,2.0,30:27,2018-10-21,7,Sun,1:00PM ET,0,1,2-4-1,1,Tampa Bay Buccaneers,23.0,26.0,17.0,305.0,186.0,119.0,1.0,34.0,456.0,342.0,114.0,4.0,-7.86,-4.49,6.2,cle,2018,10,2018,16.333333333333332,21.666666666666668,0.2857142857142857
22.0,36.0,163.0,2.0,1.0,2.0,17.0,5.0,61.1,78.8,21.0,74.0,3.5,0.0,2.0,3.0,0.0,1.0,5.0,235.0,3.0,13.0,1.0,1.0,27:48,2018-10-28,8,Sun,1:00PM ET,0,0,2-5-1,1,Pittsburgh Steelers,18.0,33.0,17.0,237.0,163.0,74.0,1.0,25.0,421.0,253.0,168.0,2.0,-0.68,-12.48,3.07,cle,2018,10,2018,18.333333333333332,21.666666666666668,0.25
30.0,43.0,286.0,2.0,1.0,2.0,22.0,7.2,69.8,93.8,25.0,102.0,4.1,1.0,1.0,1.0,0.0,0.0,2.0,39.0,5.0,13.0,2.0,3.0,30:51,2018-11-04,9,Sun,1:00PM ET,0,0,2-6-1,0,Kansas City Chiefs,21.0,37.0,26.0,388.0,286.0,102.0,1.0,27.0,499.0,360.0,139.0,1.0,11.8,-31.68,-0.72,cle,2018,11,2018,20.666666666666668,21.666666666666668,0.2222222222222222
17.0,21.0,216.0,3.0,1.0,0.0,0.0,10.3,81.0,129.3,29.0,211.0,7.3,1.0,0.0,0.0,4.0,4.0,4.0,187.0,4.0,8.0,0.0,0.0,28:37,2018-11-11,10,Sun,1:00PM ET,1,0,3-6-1,0,Atlanta Falcons,28.0,16.0,19.0,427.0,216.0,211.0,1.0,25.0,382.0,311.0,71.0,2.0,15.47,-1.81,-0.18,cle,2018,11,2018,22.333333333333332,19.333333333333332,0.3
