Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
1,Sun,8:30PM ET,0,0,0-1,0,New England Patriots,21.0,23.0,21.0,344.0,252.0,92.0,0.0,19.0,363.0,257.0,106.0,2.0,11.42,-5.61,-9.08,2016,0.0,crd,2016-09-11
2,Sun,1:05PM ET,1,0,1-1,0,Tampa Bay Buccaneers,40.0,7.0,20.0,416.0,311.0,105.0,0.0,21.0,306.0,221.0,85.0,5.0,14.72,21.55,-0.4,2016,0.5,crd,2016-09-18
3,Sun,1:02PM ET,0,0,1-2,1,Buffalo Bills,18.0,33.0,25.0,348.0,260.0,88.0,5.0,16.0,297.0,89.0,208.0,1.0,-20.9,2.34,5.33,2016,0.3333333333333333,crd,2016-09-25
4,Sun,4:25PM ET,0,0,1-3,0,Los Angeles Rams,13.0,17.0,26.0,420.0,302.0,118.0,5.0,12.0,288.0,247.0,41.0,1.0,-3.21,4.82,-5.82,2016,0.25,crd,2016-10-02
5,Thu,8:27PM ET,1,0,2-3,1,San Francisco 49ers,33.0,21.0,17.0,288.0,116.0,172.0,0.0,25.0,286.0,135.0,151.0,3.0,-3.49,2.05,11.2,2016,0.4,crd,2016-10-06
6,Mon,8:30PM ET,1,0,3-3,0,New York Jets,28.0,3.0,28.0,396.0,225.0,171.0,0.0,11.0,230.0,197.0,33.0,2.0,20.59,12.37,-5.45,2016,0.5,crd,2016-10-17
7,Sun,8:30PM ET,0,1,3-3-1,0,Seattle Seahawks,6.0,6.0,23.0,443.0,311.0,132.0,0.0,11.0,257.0,205.0,52.0,0.0,-1.88,15.0,-9.26,2016,0.42857142857142855,crd,2016-10-23
8,Sun,12:47PM ET,0,0,3-4-1,1,Carolina Panthers,20.0,30.0,22.0,340.0,316.0,24.0,2.0,19.0,349.0,208.0,141.0,1.0,-6.19,-1.07,-3.45,2016,0.375,crd,2016-10-30
10,Sun,4:25PM ET,1,0,4-4-1,0,San Francisco 49ers,23.0,20.0,26.0,443.0,363.0,80.0,4.0,15.0,281.0,198.0,83.0,1.0,6.62,0.69,-4.31,2016,0.4444444444444444,crd,2016-11-13
11,Sun,1:00PM ET,0,0,4-5-1,1,Minnesota Vikings,24.0,30.0,24.0,290.0,155.0,135.0,2.0,16.0,217.0,145.0,72.0,1.0,-6.42,2.66,-4.9,2016,0.4,crd,2016-11-20
12,Sun,1:00PM ET,0,0,4-6-1,1,Atlanta Falcons,19.0,38.0,23.0,332.0,274.0,58.0,1.0,28.0,360.0,244.0,116.0,1.0,1.72,-17.09,-5.32,2016,0.36363636363636365,crd,2016-11-27
13,Sun,4:25PM ET,1,0,5-6-1,0,Washington Redskins,31.0,23.0,24.0,369.0,281.0,88.0,0.0,19.0,333.0,246.0,87.0,2.0,17.3,-3.39,-5.81,2016,0.4166666666666667,crd,2016-12-04
14,Sun,1:00PM ET,0,0,5-7-1,1,Miami Dolphins,23.0,26.0,21.0,300.0,125.0,175.0,4.0,15.0,314.0,231.0,83.0,3.0,-9.49,5.71,2.93,2016,0.38461538461538464,crd,2016-12-11
15,Sun,4:05PM ET,0,0,5-8-1,0,New Orleans Saints,41.0,48.0,26.0,425.0,309.0,116.0,2.0,33.0,488.0,358.0,130.0,1.0,20.85,-19.35,-9.15,2016,0.35714285714285715,crd,2016-12-18
