PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Timestamp,Week,Day,Time,W/L,OT,Record,@,Opp,TmScore,OppScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,Team,Year,month,year,Avg3Game,Avg6Game,Win%
20.0,34.0,145.0,0.0,1.0,2.0,8.0,4.5,58.8,56.6,15.0,68.0,4.5,1.0,0.0,0.0,0.0,0.0,5.0,263.0,1.0,8.0,0.0,1.0,21:52,2018-09-09,1,Sun,4:25PM ET,0,0,0-1,0,Washington Redskins,6.0,24.0,14.0,213.0,145.0,68.0,2.0,30.0,429.0,247.0,182.0,1.0,-9.94,-16.72,7.08,crd,2018,9,2018,,,0.0
17.0,27.0,83.0,0.0,1.0,1.0,7.0,3.3,63.0,51.9,15.0,54.0,3.6,0.0,0.0,0.0,0.0,0.0,8.0,403.0,3.0,12.0,1.0,1.0,25:52,2018-09-16,2,Sun,4:05PM ET,0,0,0-2,1,Los Angeles Rams,0.0,34.0,5.0,137.0,83.0,54.0,1.0,24.0,432.0,342.0,90.0,1.0,-17.5,-18.11,3.56,crd,2018,9,2018,,,0.0
17.0,26.0,168.0,2.0,3.0,4.0,25.0,7.4,65.4,69.6,18.0,53.0,2.9,0.0,0.0,0.0,2.0,2.0,4.0,203.0,3.0,10.0,0.0,1.0,23:39,2018-09-23,3,Sun,4:25PM ET,0,0,0-3,0,Chicago Bears,14.0,16.0,13.0,221.0,168.0,53.0,4.0,21.0,316.0,194.0,122.0,2.0,-6.07,2.63,1.68,crd,2018,9,2018,6.666666666666667,,0.0
15.0,27.0,171.0,1.0,0.0,1.0,9.0,6.7,55.6,87.1,28.0,92.0,3.3,1.0,1.0,3.0,2.0,2.0,5.0,253.0,5.0,12.0,0.0,0.0,28:14,2018-09-30,4,Sun,4:05PM ET,0,0,0-4,0,Seattle Seahawks,17.0,20.0,18.0,263.0,171.0,92.0,1.0,19.0,331.0,160.0,171.0,0.0,1.27,-1.31,-1.43,crd,2018,9,2018,10.333333333333334,,0.0
10.0,25.0,164.0,1.0,0.0,1.0,6.0,6.8,40.0,76.1,23.0,56.0,2.4,2.0,0.0,0.0,4.0,4.0,8.0,317.0,2.0,12.0,0.0,0.0,19:48,2018-10-07,5,Sun,4:25PM ET,1,0,1-4,1,San Francisco 49ers,28.0,18.0,10.0,220.0,164.0,56.0,0.0,33.0,447.0,300.0,147.0,5.0,-3.94,10.35,4.12,crd,2018,10,2018,19.666666666666668,,0.2
21.0,31.0,208.0,0.0,1.0,4.0,32.0,7.7,67.7,73.1,20.0,60.0,3.0,1.0,1.0,1.0,2.0,2.0,6.0,288.0,0.0,10.0,0.0,2.0,25:38,2018-10-14,6,Sun,1:00PM ET,0,0,1-5,1,Minnesota Vikings,17.0,27.0,16.0,268.0,208.0,60.0,2.0,20.0,411.0,216.0,195.0,2.0,-14.2,3.32,-0.88,crd,2018,10,2018,20.666666666666668,13.666666666666666,0.16666666666666666
21.0,39.0,154.0,1.0,3.0,6.0,40.0,5.0,53.8,39.9,21.0,69.0,3.3,0.0,1.0,1.0,1.0,1.0,6.0,304.0,4.0,14.0,0.0,1.0,29:11,2018-10-18,7,Thu,8:20PM ET,0,0,1-6,0,Denver Broncos,10.0,45.0,14.0,223.0,154.0,69.0,5.0,15.0,309.0,178.0,131.0,1.0,-33.3,-4.56,2.09,crd,2018,10,2018,18.333333333333332,14.333333333333334,0.14285714285714285
23.0,40.0,233.0,2.0,1.0,3.0,19.0,6.3,57.5,80.5,21.0,88.0,4.2,0.0,1.0,1.0,1.0,1.0,5.0,229.0,6.0,14.0,0.0,0.0,27:41,2018-10-28,8,Sun,4:25PM ET,1,0,2-6,0,San Francisco 49ers,18.0,15.0,20.0,321.0,233.0,88.0,2.0,16.0,267.0,160.0,107.0,0.0,6.06,3.16,-2.98,crd,2018,10,2018,15.0,17.333333333333332,0.25
22.0,39.0,166.0,1.0,2.0,5.0,42.0,5.3,56.4,54.0,25.0,94.0,3.8,1.0,0.0,0.0,2.0,2.0,5.0,247.0,7.0,14.0,1.0,2.0,31:47,2018-11-11,10,Sun,1:00PM ET,0,0,2-7,1,Kansas City Chiefs,14.0,26.0,21.0,260.0,166.0,94.0,2.0,20.0,330.0,212.0,118.0,0.0,-8.96,-7.53,0.25,crd,2018,11,2018,14.0,17.333333333333332,0.2222222222222222
9.0,20.0,128.0,3.0,2.0,1.0,8.0,6.8,45.0,66.2,31.0,154.0,5.0,0.0,0.0,0.0,3.0,3.0,8.0,418.0,3.0,11.0,0.0,0.0,23:59,2018-11-18,11,Sun,4:05PM ET,0,0,2-8,0,Oakland Raiders,21.0,23.0,13.0,282.0,128.0,154.0,2.0,19.0,325.0,173.0,152.0,0.0,-6.58,-0.79,4.96,crd,2018,11,2018,17.666666666666668,18.0,0.2
12.0,19.0,87.0,1.0,1.0,2.0,18.0,5.5,63.2,69.4,24.0,62.0,2.6,0.0,1.0,2.0,1.0,1.0,5.0,246.0,4.0,12.0,0.0,1.0,24:42,2018-11-25,12,Sun,4:05PM ET,0,0,2-9,1,Los Angeles Chargers,10.0,45.0,10.0,149.0,87.0,62.0,1.0,30.0,414.0,236.0,178.0,1.0,-13.0,-24.25,1.28,crd,2018,11,2018,15.0,15.0,0.18181818181818182
11.0,26.0,133.0,0.0,0.0,2.0,16.0,5.7,42.3,58.7,29.0,182.0,6.3,2.0,2.0,2.0,2.0,2.0,6.0,269.0,5.0,13.0,0.0,0.0,27:34,2018-12-02,13,Sun,1:00PM ET,1,0,3-9,1,Green Bay Packers,20.0,17.0,18.0,315.0,133.0,182.0,0.0,22.0,325.0,227.0,98.0,0.0,3.9,-3.18,0.74,crd,2018,12,2018,17.0,15.5,0.25
26.0,41.0,218.0,0.0,1.0,3.0,22.0,5.9,63.4,66.9,21.0,61.0,2.9,0.0,1.0,2.0,0.0,0.0,6.0,299.0,6.0,16.0,0.0,1.0,31:44,2018-12-09,14,Sun,4:25PM ET,0,0,3-10,0,Detroit Lions,3.0,17.0,22.0,279.0,218.0,61.0,1.0,16.0,218.0,96.0,122.0,1.0,-13.32,6.04,-3.13,crd,2018,12,2018,11.0,14.333333333333334,0.23076923076923078
23.0,36.0,193.0,1.0,2.0,7.0,50.0,6.8,63.9,63.8,22.0,60.0,2.7,1.0,0.0,0.0,2.0,2.0,7.0,336.0,3.0,13.0,2.0,2.0,29:20,2018-12-16,15,Sun,1:00PM ET,0,0,3-11,1,Atlanta Falcons,14.0,40.0,18.0,253.0,193.0,60.0,3.0,23.0,435.0,220.0,215.0,0.0,-16.06,-15.22,7.62,crd,2018,12,2018,12.333333333333334,13.666666666666666,0.21428571428571427
18.0,31.0,159.0,1.0,0.0,4.0,23.0,5.9,58.1,82.6,18.0,104.0,5.8,0.0,1.0,2.0,0.0,1.0,5.0,246.0,2.0,11.0,1.0,2.0,22:56,2018-12-23,16,Sun,4:05PM ET,0,0,3-12,0,Los Angeles Rams,9.0,31.0,15.0,263.0,159.0,104.0,0.0,33.0,461.0,192.0,269.0,1.0,-4.01,-24.42,5.46,crd,2018,12,2018,8.666666666666666,12.833333333333334,0.2
18.0,34.0,113.0,1.0,0.0,6.0,36.0,4.4,52.9,69.9,24.0,85.0,3.5,0.0,3.0,3.0,1.0,1.0,5.0,247.0,4.0,17.0,1.0,2.0,30:51,2018-12-30,17,Sun,4:25PM ET,0,0,3-13,1,Seattle Seahawks,24.0,27.0,12.0,198.0,113.0,85.0,2.0,16.0,291.0,109.0,182.0,1.0,-20.5,4.06,13.59,crd,2018,12,2018,15.666666666666666,13.333333333333334,0.1875
29.0,54.0,275.0,2.0,1.0,5.0,33.0,5.7,53.7,72.7,23.0,112.0,4.9,0.0,4.0,4.0,1.0,1.0,8.0,380.0,9.0,22.0,0.0,0.0,30:37,2019-09-08,1,Sun,4:25PM ET,0,1,0-0-1,0,Detroit Lions,27.0,27.0,21.0,387.0,275.0,112.0,1.0,23.0,477.0,361.0,116.0,2.0,-3.5,-7.02,9.8,crd,2019,9,2019,,,0.0
