PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Timestamp,Week,Day,Time,W/L,OT,Record,@,Opp,TmScore,OppScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,Team,Year,month,year,Avg3Game,Avg6Game,Win%
19.0,29.0,138.0,0.0,0.0,6.0,32.0,5.9,65.5,76.5,22.0,94.0,4.3,1.0,0.0,1.0,0.0,0.0,6.0,293.0,2.0,11.0,0.0,1.0,29:24,2018-09-09,1,Sun,4:25PM ET,0,0,0-1,1,Carolina Panthers,8.0,16.0,17.0,232.0,138.0,94.0,1.0,20.0,293.0,146.0,147.0,1.0,-9.14,2.28,-3.01,dal,2018,9,2018,,,0.0
16.0,25.0,160.0,1.0,0.0,0.0,0.0,6.4,64.0,95.4,25.0,138.0,5.5,1.0,2.0,2.0,2.0,2.0,4.0,173.0,3.0,10.0,1.0,1.0,27:48,2018-09-16,2,Sun,8:20PM ET,1,0,1-1,0,New York Giants,20.0,13.0,16.0,298.0,160.0,138.0,0.0,17.0,255.0,220.0,35.0,1.0,7.1,3.49,-3.49,dal,2018,9,2018,,,0.5
19.0,34.0,137.0,1.0,2.0,5.0,31.0,4.9,55.9,50.7,19.0,166.0,8.7,0.0,2.0,2.0,1.0,1.0,5.0,240.0,3.0,13.0,1.0,2.0,27:16,2018-09-23,3,Sun,4:25PM ET,0,0,1-2,1,Seattle Seahawks,13.0,24.0,17.0,303.0,137.0,166.0,3.0,18.0,295.0,182.0,113.0,0.0,-11.41,-5.56,11.31,dal,2018,9,2018,13.666666666666666,,0.3333333333333333
17.0,27.0,231.0,2.0,0.0,3.0,24.0,9.4,63.0,114.9,35.0,183.0,5.2,0.0,4.0,4.0,2.0,2.0,2.0,78.0,5.0,12.0,1.0,1.0,30:05,2018-09-30,4,Sun,1:00PM ET,1,0,2-2,0,Detroit Lions,26.0,24.0,26.0,414.0,231.0,183.0,0.0,18.0,382.0,286.0,96.0,0.0,18.17,-17.1,0.37,dal,2018,9,2018,19.666666666666668,,0.5
18.0,29.0,194.0,1.0,2.0,2.0,14.0,7.2,62.1,64.4,29.0,98.0,3.4,0.0,3.0,3.0,1.0,1.0,5.0,220.0,4.0,14.0,1.0,1.0,31:32,2018-10-07,5,Sun,8:20PM ET,0,1,2-3,1,Houston Texans,16.0,19.0,14.0,292.0,194.0,98.0,2.0,25.0,462.0,374.0,88.0,2.0,-8.15,-1.63,5.93,dal,2018,10,2018,18.333333333333332,,0.4
17.0,27.0,172.0,2.0,0.0,3.0,11.0,6.8,63.0,105.8,42.0,206.0,4.9,2.0,4.0,4.0,4.0,4.0,3.0,123.0,7.0,17.0,2.0,2.0,38:50,2018-10-14,6,Sun,4:25PM ET,1,0,3-3,0,Jacksonville Jaguars,40.0,7.0,23.0,378.0,172.0,206.0,0.0,10.0,204.0,139.0,65.0,2.0,11.83,15.11,4.14,dal,2018,10,2018,27.333333333333332,20.5,0.5
22.0,35.0,250.0,1.0,0.0,4.0,23.0,7.8,62.9,93.7,22.0,73.0,3.3,1.0,1.0,2.0,2.0,2.0,5.0,208.0,5.0,14.0,1.0,2.0,29:05,2018-10-21,7,Sun,4:25PM ET,0,0,3-4,1,Washington Redskins,17.0,20.0,17.0,323.0,250.0,73.0,2.0,15.0,305.0,175.0,130.0,0.0,-1.71,-0.89,-0.27,dal,2018,10,2018,24.333333333333332,22.0,0.42857142857142855
21.0,32.0,225.0,2.0,1.0,5.0,18.0,7.6,65.6,93.9,19.0,72.0,3.8,0.0,0.0,1.0,2.0,2.0,3.0,134.0,5.0,11.0,0.0,1.0,25:34,2018-11-05,9,Mon,8:15PM ET,0,0,3-5,0,Tennessee Titans,14.0,28.0,18.0,297.0,225.0,72.0,2.0,24.0,340.0,215.0,125.0,2.0,-2.26,-12.17,2.87,dal,2018,11,2018,23.666666666666668,21.0,0.375
26.0,36.0,239.0,1.0,0.0,4.0,31.0,7.5,72.2,99.2,28.0,171.0,6.1,2.0,2.0,3.0,3.0,3.0,4.0,163.0,8.0,16.0,1.0,1.0,33:22,2018-11-11,10,Sun,8:20PM ET,1,0,4-5,1,Philadelphia Eagles,27.0,20.0,23.0,410.0,239.0,171.0,0.0,23.0,421.0,350.0,71.0,1.0,11.95,-3.87,-5.2,dal,2018,11,2018,19.333333333333332,23.333333333333332,0.4444444444444444
22.0,32.0,191.0,0.0,0.0,2.0,17.0,6.5,68.8,84.2,29.0,132.0,4.6,2.0,3.0,3.0,1.0,2.0,3.0,133.0,7.0,13.0,0.0,0.0,31:57,2018-11-18,11,Sun,1:00PM ET,1,0,5-5,1,Atlanta Falcons,22.0,19.0,20.0,323.0,191.0,132.0,0.0,19.0,354.0,274.0,80.0,1.0,10.89,-5.2,-0.89,dal,2018,11,2018,21.0,22.666666666666668,0.5
22.0,31.0,258.0,2.0,0.0,4.0,31.0,9.3,71.0,117.4,34.0,146.0,4.3,2.0,1.0,1.0,4.0,4.0,6.0,287.0,6.0,14.0,0.0,1.0,33:23,2018-11-22,12,Thu,4:30PM ET,1,0,6-5,0,Washington Redskins,31.0,23.0,20.0,404.0,258.0,146.0,0.0,18.0,331.0,251.0,80.0,3.0,10.45,0.72,-1.62,dal,2018,11,2018,26.666666666666668,25.166666666666668,0.5454545454545454
24.0,28.0,209.0,1.0,0.0,7.0,40.0,8.9,85.7,109.7,31.0,99.0,3.2,0.0,2.0,2.0,1.0,1.0,3.0,153.0,7.0,14.0,0.0,0.0,36:53,2018-11-29,13,Thu,8:20PM ET,1,0,7-5,0,New Orleans Saints,13.0,10.0,21.0,308.0,209.0,99.0,2.0,14.0,176.0,111.0,65.0,1.0,-0.16,9.57,-1.7,dal,2018,11,2018,22.0,20.666666666666668,0.5833333333333334
42.0,54.0,434.0,3.0,2.0,3.0,21.0,8.4,77.8,103.2,36.0,142.0,3.9,0.0,3.0,4.0,2.0,2.0,2.0,102.0,9.0,18.0,1.0,1.0,45:33,2018-12-09,14,Sun,4:25PM ET,1,1,8-5,0,Philadelphia Eagles,29.0,23.0,32.0,576.0,434.0,142.0,3.0,16.0,256.0,222.0,34.0,1.0,9.25,-0.29,-2.96,dal,2018,12,2018,24.333333333333332,22.666666666666668,0.6153846153846154
24.0,39.0,180.0,0.0,1.0,3.0,26.0,5.3,61.5,61.9,22.0,112.0,5.1,0.0,0.0,1.0,0.0,0.0,2.0,81.0,4.0,12.0,1.0,5.0,28:12,2018-12-16,15,Sun,1:00PM ET,0,0,8-6,1,Indianapolis Colts,0.0,23.0,19.0,292.0,180.0,112.0,1.0,25.0,370.0,192.0,178.0,1.0,-8.08,-10.54,2.01,dal,2018,12,2018,14.0,20.333333333333332,0.5714285714285714
20.0,25.0,152.0,1.0,0.0,1.0,9.0,6.4,80.0,105.3,24.0,80.0,3.3,1.0,2.0,2.0,3.0,3.0,4.0,166.0,3.0,9.0,0.0,0.0,24:41,2018-12-23,16,Sun,1:00PM ET,1,0,9-6,0,Tampa Bay Buccaneers,27.0,20.0,16.0,232.0,152.0,80.0,0.0,27.0,383.0,320.0,63.0,2.0,-0.41,5.08,4.32,dal,2018,12,2018,18.666666666666668,20.333333333333332,0.6
27.0,44.0,368.0,4.0,0.0,4.0,19.0,8.8,61.4,118.4,22.0,51.0,2.3,1.0,0.0,1.0,4.0,4.0,3.0,116.0,11.0,17.0,2.0,2.0,30:52,2018-12-30,17,Sun,1:00PM ET,1,0,10-6,1,New York Giants,36.0,35.0,23.0,419.0,368.0,51.0,1.0,20.0,441.0,298.0,143.0,2.0,21.03,-10.28,-8.93,dal,2018,12,2018,21.0,22.666666666666668,0.625
25.0,32.0,405.0,4.0,0.0,0.0,0.0,12.7,78.1,158.3,30.0,89.0,3.0,1.0,0.0,0.0,5.0,5.0,4.0,165.0,6.0,10.0,0.0,0.0,32:18,2019-09-08,1,Sun,4:25PM ET,1,0,1-0,0,New York Giants,35.0,17.0,23.0,494.0,405.0,89.0,0.0,25.0,470.0,319.0,151.0,2.0,26.91,-10.91,0.11,dal,2019,9,2019,,,1.0
26.0,30.0,261.0,3.0,1.0,1.0,8.0,9.0,86.7,122.4,34.0,213.0,6.3,1.0,1.0,1.0,4.0,4.0,2.0,101.0,7.0,11.0,0.0,0.0,33:22,2019-09-15,2,Sun,1:00PM ET,1,0,2-0,1,Washington Redskins,31.0,21.0,25.0,474.0,261.0,213.0,1.0,19.0,255.0,208.0,47.0,0.0,23.5,-7.06,-3.71,dal,2019,9,2019,,,1.0
19.0,32.0,241.0,2.0,1.0,1.0,5.0,7.7,59.4,90.8,34.0,235.0,6.9,2.0,1.0,2.0,4.0,4.0,3.0,133.0,5.0,10.0,0.0,0.0,30:56,2019-09-22,3,Sun,1:00PM ET,1,0,3-0,0,Miami Dolphins,31.0,6.0,28.0,476.0,241.0,235.0,1.0,17.0,283.0,211.0,72.0,1.0,19.62,14.0,-6.19,dal,2019,9,2019,32.333333333333336,,1.0
