Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
1,Mon,10:20PM ET,1,0,1-0,0,Los Angeles Chargers,24.0,21.0,22.0,321.0,181.0,140.0,2.0,17.0,249.0,185.0,64.0,1.0,2.11,-2.88,2.79,2017,1.0,den,2017-09-11
2,Sun,4:25PM ET,1,0,2-0,0,Dallas Cowboys,42.0,17.0,26.0,380.0,202.0,178.0,2.0,16.0,268.0,228.0,40.0,2.0,9.11,21.83,-6.44,2017,1.0,den,2017-09-17
3,Sun,1:00PM ET,0,0,2-1,1,Buffalo Bills,16.0,26.0,21.0,366.0,255.0,111.0,2.0,16.0,272.0,197.0,75.0,0.0,-5.95,0.95,-5.49,2017,0.6666666666666666,den,2017-09-24
4,Sun,4:25PM ET,1,0,3-1,0,Oakland Raiders,16.0,10.0,16.0,298.0,155.0,143.0,0.0,11.0,254.0,230.0,24.0,1.0,-3.11,12.83,-6.17,2017,0.75,den,2017-10-01
6,Sun,8:30PM ET,0,0,3-2,0,New York Giants,10.0,23.0,20.0,412.0,366.0,46.0,3.0,12.0,266.0,118.0,148.0,0.0,-8.8,5.11,-7.37,2017,0.6,den,2017-10-15
7,Sun,4:25PM ET,0,0,3-3,1,Los Angeles Chargers,0.0,21.0,12.0,251.0,182.0,69.0,3.0,14.0,242.0,162.0,80.0,0.0,-21.0,6.7,-3.87,2017,0.5,den,2017-10-22
8,Mon,8:30PM ET,0,0,3-4,1,Kansas City Chiefs,19.0,29.0,23.0,364.0,187.0,177.0,5.0,16.0,276.0,197.0,79.0,2.0,-9.17,11.74,-9.53,2017,0.42857142857142855,den,2017-10-30
9,Sun,1:00PM ET,0,0,3-5,1,Philadelphia Eagles,23.0,51.0,14.0,226.0,191.0,35.0,2.0,25.0,419.0,222.0,197.0,1.0,-17.51,-16.4,8.3,2017,0.375,den,2017-11-05
10,Sun,8:30PM ET,0,0,3-6,0,New England Patriots,16.0,41.0,17.0,339.0,221.0,118.0,2.0,28.0,396.0,297.0,99.0,0.0,3.58,-14.71,-13.56,2017,0.3333333333333333,den,2017-11-12
11,Sun,4:25PM ET,0,0,3-7,0,Cincinnati Bengals,17.0,20.0,20.0,341.0,229.0,112.0,2.0,12.0,190.0,141.0,49.0,0.0,-10.02,3.5,-1.02,2017,0.3,den,2017-11-19
12,Sun,4:25PM ET,0,0,3-8,1,Oakland Raiders,14.0,21.0,12.0,216.0,160.0,56.0,1.0,21.0,348.0,244.0,104.0,1.0,-7.4,-5.41,4.87,2017,0.2727272727272727,den,2017-11-26
13,Sun,1:00PM ET,0,0,3-9,1,Miami Dolphins,9.0,35.0,14.0,270.0,167.0,103.0,3.0,15.0,367.0,222.0,145.0,3.0,-28.53,12.73,-9.92,2017,0.25,den,2017-12-03
14,Sun,4:05PM ET,1,0,4-9,0,New York Jets,23.0,0.0,17.0,273.0,189.0,84.0,0.0,6.0,100.0,41.0,59.0,2.0,0.54,25.71,-2.13,2017,0.3076923076923077,den,2017-12-10
15,Thu,8:25PM ET,1,0,5-9,1,Indianapolis Colts,25.0,13.0,23.0,462.0,251.0,211.0,1.0,15.0,228.0,158.0,70.0,0.0,15.29,1.3,-4.94,2017,0.35714285714285715,den,2017-12-14
16,Sun,1:00PM ET,0,0,5-10,1,Washington Redskins,11.0,27.0,18.0,330.0,171.0,159.0,3.0,19.0,386.0,299.0,87.0,2.0,-11.39,-1.1,-2.62,2017,0.3333333333333333,den,2017-12-24
17,Sun,4:25PM ET,0,0,5-11,0,Kansas City Chiefs,24.0,27.0,22.0,336.0,226.0,110.0,3.0,23.0,379.0,269.0,110.0,2.0,-2.63,-2.46,2.37,2017,0.3125,den,2017-12-31
