Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
1,Sun,1:00PM ET,1,0,1-0,0,Arizona Cardinals,35.0,23.0,19.0,367.0,285.0,82.0,1.0,24.0,308.0,263.0,45.0,4.0,-6.69,18.14,1.34,2017,1.0,det,2017-09-10
2,Mon,8:30PM ET,1,0,2-0,1,New York Giants,24.0,10.0,12.0,257.0,119.0,138.0,1.0,14.0,270.0,208.0,62.0,1.0,-5.01,9.08,7.78,2017,1.0,det,2017-09-18
3,Sun,1:00PM ET,0,0,2-1,0,Atlanta Falcons,26.0,30.0,21.0,324.0,253.0,71.0,0.0,26.0,428.0,277.0,151.0,3.0,-0.21,-2.82,2.52,2017,0.6666666666666666,det,2017-09-24
4,Sun,1:00PM ET,1,0,3-1,1,Minnesota Vikings,14.0,7.0,19.0,251.0,154.0,97.0,0.0,15.0,284.0,197.0,87.0,3.0,-5.23,10.05,-0.21,2017,0.75,det,2017-10-01
5,Sun,1:00PM ET,0,0,3-2,0,Carolina Panthers,24.0,27.0,19.0,242.0,192.0,50.0,1.0,16.0,362.0,334.0,28.0,0.0,-2.13,-5.73,3.66,2017,0.6,det,2017-10-08
6,Sun,1:00PM ET,0,0,3-3,1,New Orleans Saints,38.0,52.0,18.0,347.0,281.0,66.0,5.0,19.0,379.0,186.0,193.0,3.0,-23.24,3.8,5.33,2017,0.5,det,2017-10-15
8,Sun,8:30PM ET,0,0,3-4,0,Pittsburgh Steelers,15.0,20.0,21.0,482.0,411.0,71.0,1.0,17.0,392.0,317.0,75.0,2.0,0.88,-7.88,0.42,2017,0.42857142857142855,det,2017-10-29
9,Mon,8:30PM ET,1,0,4-4,1,Green Bay Packers,30.0,17.0,24.0,417.0,353.0,64.0,1.0,21.0,311.0,233.0,78.0,0.0,20.08,-4.31,-2.77,2017,0.5,det,2017-11-06
10,Sun,1:00PM ET,1,0,5-4,0,Cleveland Browns,38.0,24.0,16.0,345.0,241.0,104.0,1.0,26.0,413.0,212.0,201.0,2.0,10.64,-4.03,1.11,2017,0.5555555555555556,det,2017-11-12
11,Sun,1:00PM ET,1,0,6-4,1,Chicago Bears,27.0,24.0,20.0,352.0,287.0,65.0,1.0,24.0,398.0,176.0,222.0,1.0,8.12,-11.16,6.16,2017,0.6,det,2017-11-19
12,Thu,12:30PM ET,0,0,6-5,0,Minnesota Vikings,23.0,30.0,17.0,289.0,236.0,53.0,2.0,28.0,408.0,272.0,136.0,0.0,-1.95,-14.39,5.37,2017,0.5454545454545454,det,2017-11-23
13,Sun,1:00PM ET,0,0,6-6,1,Baltimore Ravens,20.0,44.0,18.0,372.0,294.0,78.0,3.0,24.0,370.0,269.0,101.0,0.0,-5.85,-13.12,-5.09,2017,0.5,det,2017-12-03
14,Sun,1:00PM ET,1,0,7-6,1,Tampa Bay Buccaneers,24.0,21.0,21.0,434.0,381.0,53.0,3.0,28.0,400.0,267.0,133.0,5.0,7.76,-3.71,-0.42,2017,0.5384615384615384,det,2017-12-10
15,Sat,4:30PM ET,1,0,8-6,0,Chicago Bears,20.0,10.0,18.0,293.0,202.0,91.0,1.0,22.0,349.0,306.0,43.0,3.0,3.59,3.76,0.98,2017,0.5714285714285714,det,2017-12-16
16,Sun,1:00PM ET,0,0,8-7,1,Cincinnati Bengals,17.0,26.0,15.0,276.0,189.0,87.0,1.0,28.0,364.0,222.0,142.0,1.0,-2.71,-7.59,-0.91,2017,0.5333333333333333,det,2017-12-24
17,Sun,1:00PM ET,1,0,9-7,0,Green Bay Packers,35.0,11.0,18.0,356.0,305.0,51.0,0.0,17.0,256.0,153.0,103.0,4.0,12.64,11.12,1.82,2017,0.5625,det,2017-12-31
1,Mon,7:10PM ET,0,0,0-1,0,New York Jets,17.0,48.0,20.0,339.0,300.0,39.0,5.0,18.0,349.0,180.0,169.0,2.0,-16.54,-4.69,-10.55,2018,0.0,det,2018-09-10
2,Sun,4:05PM ET,0,0,0-2,1,San Francisco 49ers,27.0,30.0,25.0,427.0,329.0,98.0,1.0,23.0,346.0,156.0,190.0,0.0,8.22,-10.3,-4.49,2018,0.0,det,2018-09-16
3,Sun,8:20PM ET,1,0,1-2,0,New England Patriots,26.0,10.0,25.0,414.0,255.0,159.0,1.0,12.0,209.0,120.0,89.0,1.0,13.69,5.39,-2.81,2018,0.3333333333333333,det,2018-09-23
4,Sun,1:00PM ET,0,0,1-3,1,Dallas Cowboys,24.0,26.0,18.0,382.0,286.0,96.0,0.0,26.0,414.0,231.0,183.0,0.0,17.1,-18.17,-0.37,2018,0.25,det,2018-09-30
5,Sun,1:00PM ET,1,0,2-3,0,Green Bay Packers,31.0,23.0,18.0,264.0,170.0,94.0,0.0,30.0,521.0,423.0,98.0,3.0,4.76,-20.46,25.94,2018,0.4,det,2018-10-07
7,Sun,1:00PM ET,1,0,3-3,1,Miami Dolphins,32.0,21.0,24.0,457.0,209.0,248.0,0.0,19.0,322.0,215.0,107.0,0.0,22.39,-15.19,4.4,2018,0.5,det,2018-10-21
8,Sun,1:00PM ET,0,0,3-4,0,Seattle Seahawks,14.0,28.0,21.0,331.0,297.0,34.0,3.0,20.0,413.0,237.0,176.0,0.0,11.09,-14.29,-8.88,2018,0.42857142857142855,det,2018-10-28
9,Sun,1:00PM ET,0,0,3-5,1,Minnesota Vikings,9.0,24.0,18.0,209.0,143.0,66.0,1.0,17.0,283.0,155.0,128.0,2.0,-16.2,-1.94,2.99,2018,0.375,det,2018-11-04
10,Sun,1:00PM ET,0,0,3-6,1,Chicago Bears,22.0,34.0,24.0,305.0,229.0,76.0,3.0,20.0,402.0,348.0,54.0,0.0,-0.42,-21.9,15.4,2018,0.3333333333333333,det,2018-11-11
11,Sun,1:00PM ET,1,0,4-6,0,Carolina Panthers,20.0,19.0,20.0,309.0,215.0,94.0,0.0,20.0,387.0,331.0,56.0,1.0,3.68,-11.72,12.13,2018,0.4,det,2018-11-18
12,Thu,12:30PM ET,0,0,4-7,0,Chicago Bears,16.0,23.0,17.0,333.0,222.0,111.0,2.0,19.0,264.0,226.0,38.0,1.0,-2.71,-1.31,-0.91,2018,0.36363636363636365,det,2018-11-22
13,Sun,1:00PM ET,0,0,4-8,0,Los Angeles Rams,16.0,30.0,23.0,310.0,208.0,102.0,2.0,24.0,344.0,195.0,149.0,2.0,-5.26,-6.09,-1.34,2018,0.3333333333333333,det,2018-12-02
14,Sun,4:25PM ET,1,0,5-8,1,Arizona Cardinals,17.0,3.0,16.0,218.0,96.0,122.0,1.0,22.0,279.0,218.0,61.0,1.0,-6.04,13.32,3.13,2018,0.38461538461538464,det,2018-12-09
15,Sun,1:00PM ET,0,0,5-9,1,Buffalo Bills,13.0,14.0,14.0,313.0,208.0,105.0,0.0,20.0,312.0,195.0,117.0,0.0,4.83,-6.53,0.58,2018,0.35714285714285715,det,2018-12-16
16,Sun,1:00PM ET,0,0,5-10,0,Minnesota Vikings,9.0,27.0,17.0,223.0,137.0,86.0,0.0,16.0,340.0,240.0,100.0,0.0,-15.37,-1.34,-0.27,2018,0.3333333333333333,det,2018-12-23
17,Sun,1:00PM ET,1,0,6-10,1,Green Bay Packers,31.0,0.0,25.0,402.0,272.0,130.0,0.0,9.0,175.0,129.0,46.0,1.0,15.11,17.16,-1.18,2018,0.375,det,2018-12-30
1,Sun,4:25PM ET,0,1,0-0-1,1,Arizona Cardinals,27.0,27.0,23.0,477.0,361.0,116.0,2.0,21.0,387.0,275.0,112.0,1.0,7.02,3.5,-9.8,2019,0.0,det,2019-09-08
2,Sun,1:00PM ET,1,0,1-0-1,0,Los Angeles Chargers,13.0,10.0,19.0,339.0,245.0,94.0,2.0,21.0,424.0,287.0,137.0,2.0,8.62,-5.86,0.56,2019,0.5,det,2019-09-15
3,Sun,1:00PM ET,1,0,2-0-1,1,Philadelphia Eagles,27.0,24.0,16.0,287.0,201.0,86.0,0.0,22.0,373.0,246.0,127.0,2.0,1.07,0.31,3.8,2019,0.6666666666666666,det,2019-09-22
4,Sun,1:00PM ET,0,0,2-1-1,0,Kansas City Chiefs,30.0,34.0,29.0,447.0,261.0,186.0,2.0,29.0,438.0,315.0,123.0,3.0,1.27,-17.08,13.41,2019,0.5,det,2019-09-29
6,Mon,8:15PM ET,0,0,2-2-1,1,Green Bay Packers,22.0,23.0,13.0,299.0,243.0,56.0,0.0,22.0,447.0,277.0,170.0,3.0,-0.7,-4.03,4.66,2019,0.4,det,2019-10-14
7,Sun,1:00PM ET,0,0,2-3-1,0,Minnesota Vikings,30.0,42.0,26.0,433.0,352.0,81.0,1.0,32.0,504.0,338.0,166.0,0.0,18.28,-35.6,2.59,2019,0.3333333333333333,det,2019-10-20
8,Sun,1:00PM ET,1,0,3-3-1,0,New York Giants,31.0,26.0,17.0,375.0,316.0,59.0,2.0,24.0,370.0,290.0,80.0,1.0,7.67,-6.34,5.39,2019,0.42857142857142855,det,2019-10-27
9,Sun,4:05PM ET,0,0,3-4-1,1,Oakland Raiders,24.0,31.0,26.0,473.0,383.0,90.0,2.0,25.0,450.0,279.0,171.0,0.0,13.92,-16.79,-4.07,2019,0.375,det,2019-11-03
10,Sun,1:00PM ET,0,0,3-5-1,1,Chicago Bears,13.0,20.0,21.0,357.0,259.0,98.0,1.0,13.0,226.0,145.0,81.0,0.0,-6.77,0.41,2.1,2019,0.3333333333333333,det,2019-11-10
11,Sun,1:00PM ET,0,0,3-6-1,0,Dallas Cowboys,27.0,35.0,19.0,312.0,191.0,121.0,0.0,26.0,509.0,434.0,75.0,1.0,7.7,-22.23,6.35,2019,0.3,det,2019-11-17
12,Sun,1:00PM ET,0,0,3-7-1,1,Washington Redskins,16.0,19.0,21.0,364.0,189.0,175.0,4.0,13.0,230.0,144.0,86.0,2.0,-8.85,13.57,-10.88,2019,0.2727272727272727,det,2019-11-24
13,Thu,12:30PM ET,0,0,3-8-1,0,Chicago Bears,20.0,24.0,19.0,364.0,259.0,105.0,1.0,22.0,419.0,331.0,88.0,1.0,6.28,-8.33,-0.13,2019,0.25,det,2019-11-28
14,Sun,1:00PM ET,0,0,3-9-1,1,Minnesota Vikings,7.0,20.0,18.0,231.0,161.0,70.0,2.0,22.0,354.0,234.0,120.0,0.0,-7.27,-3.77,0.3,2019,0.23076923076923078,det,2019-12-08
15,Sun,1:00PM ET,0,0,3-10-1,0,Tampa Bay Buccaneers,17.0,38.0,16.0,295.0,250.0,45.0,3.0,23.0,495.0,446.0,49.0,1.0,-14.38,-13.82,7.29,2019,0.21428571428571427,det,2019-12-15
16,Sun,4:05PM ET,0,0,3-11-1,1,Denver Broncos,17.0,27.0,13.0,191.0,95.0,96.0,0.0,25.0,348.0,198.0,150.0,0.0,-4.32,-12.95,4.08,2019,0.2,det,2019-12-22
17,Sun,1:00PM ET,0,0,3-12-1,0,Green Bay Packers,20.0,23.0,17.0,305.0,134.0,171.0,1.0,25.0,432.0,312.0,120.0,1.0,1.53,-8.54,4.01,2019,0.1875,det,2019-12-29
1,Sun,1:00PM ET,0,0,0-1,0,Chicago Bears,23.0,27.0,25.0,426.0,288.0,138.0,1.0,26.0,363.0,214.0,149.0,0.0,7.96,-10.67,-0.12,2020,0.0,det,2020-09-13
2,Sun,1:00PM ET,0,0,0-2,1,Green Bay Packers,21.0,42.0,19.0,307.0,218.0,89.0,1.0,26.0,488.0,229.0,259.0,0.0,2.93,-26.08,2.86,2020,0.0,det,2020-09-20
3,Sun,4:25PM ET,1,0,1-2,1,Arizona Cardinals,26.0,23.0,22.0,322.0,232.0,90.0,0.0,28.0,377.0,268.0,109.0,3.0,8.15,-8.07,2.46,2020,0.3333333333333333,det,2020-09-27
4,Sun,1:00PM ET,0,0,1-3,0,New Orleans Saints,29.0,35.0,18.0,281.0,191.0,90.0,1.0,29.0,392.0,228.0,164.0,1.0,11.85,-23.24,5.65,2020,0.25,det,2020-10-04
6,Sun,1:00PM ET,1,0,2-3,1,Jacksonville Jaguars,34.0,16.0,25.0,403.0,223.0,180.0,1.0,16.0,275.0,231.0,44.0,2.0,15.35,3.97,1.46,2020,0.4,det,2020-10-18
7,Sun,1:00PM ET,1,0,3-3,1,Atlanta Falcons,23.0,22.0,21.0,386.0,322.0,64.0,0.0,26.0,388.0,322.0,66.0,1.0,10.28,-10.84,2.56,2020,0.5,det,2020-10-25
8,Sun,1:00PM ET,0,0,3-4,0,Indianapolis Colts,21.0,41.0,20.0,326.0,297.0,29.0,2.0,26.0,366.0,247.0,119.0,0.0,-3.03,-21.92,6.52,2020,0.42857142857142855,det,2020-11-01
9,Sun,1:00PM ET,0,0,3-5,1,Minnesota Vikings,20.0,34.0,30.0,421.0,292.0,129.0,3.0,22.0,487.0,212.0,275.0,0.0,4.68,-22.76,9.45,2020,0.375,det,2020-11-08
10,Sun,1:00PM ET,1,0,4-5,0,Washington Football Team,30.0,27.0,21.0,372.0,267.0,105.0,0.0,34.0,464.0,375.0,89.0,1.0,15.43,-19.77,6.95,2020,0.4444444444444444,det,2020-11-15
11,Sun,1:00PM ET,0,0,4-6,1,Carolina Panthers,0.0,20.0,10.0,185.0,145.0,40.0,1.0,20.0,374.0,258.0,116.0,2.0,-18.63,1.61,-3.12,2020,0.4,det,2020-11-22
12,Thu,12:30PM ET,0,0,4-7,0,Houston Texans,25.0,41.0,28.0,388.0,279.0,109.0,3.0,21.0,384.0,307.0,77.0,1.0,-3.34,-11.31,0.56,2020,0.36363636363636365,det,2020-11-26
13,Sun,1:00PM ET,1,0,5-7,1,Chicago Bears,34.0,30.0,24.0,460.0,400.0,60.0,1.0,26.0,389.0,249.0,140.0,1.0,17.66,-12.1,-0.8,2020,0.4166666666666667,det,2020-12-06
14,Sun,4:25PM ET,0,0,5-8,0,Green Bay Packers,24.0,31.0,27.0,293.0,242.0,51.0,0.0,26.0,410.0,290.0,120.0,0.0,13.36,-23.25,0.61,2020,0.38461538461538464,det,2020-12-13
15,Sun,1:00PM ET,0,0,5-9,1,Tennessee Titans,25.0,46.0,27.0,430.0,307.0,123.0,3.0,28.0,463.0,268.0,195.0,0.0,12.36,-33.75,2.3,2020,0.35714285714285715,det,2020-12-20
16,Sat,1:00PM ET,0,0,5-10,0,Tampa Bay Buccaneers,7.0,47.0,12.0,186.0,113.0,73.0,2.0,30.0,588.0,477.0,111.0,0.0,-18.39,-37.71,16.78,2020,0.3333333333333333,det,2020-12-26
17,Sun,1:00PM ET,0,0,5-11,0,Minnesota Vikings,35.0,37.0,21.0,417.0,288.0,129.0,2.0,31.0,508.0,383.0,125.0,0.0,18.16,-27.15,3.69,2020,0.3125,det,2020-01-03
1,Sun,1:00PM ET,0,0,0-1,0,San Francisco 49ers,33.0,41.0,31.0,430.0,314.0,116.0,1.0,21.0,442.0,311.0,131.0,2.0,5.16,-15.48,1.73,2021,0.0,det,2021-09-12
2,Mon,8:15PM ET,0,0,0-2,1,Green Bay Packers,17.0,35.0,19.0,344.0,236.0,108.0,2.0,25.0,323.0,227.0,96.0,0.0,-0.27,-19.91,3.69,2021,0.0,det,2021-09-20
3,Sun,1:00PM ET,0,0,0-3,0,Baltimore Ravens,17.0,19.0,22.0,285.0,192.0,93.0,0.0,15.0,387.0,271.0,116.0,1.0,5.76,-5.18,-1.42,2021,0.0,det,2021-09-26
4,Sun,1:00PM ET,0,0,0-4,1,Chicago Bears,14.0,24.0,23.0,351.0,261.0,90.0,2.0,20.0,373.0,185.0,188.0,1.0,1.56,-12.01,-0.02,2021,0.0,det,2021-10-03
5,Sun,1:00PM ET,0,0,0-5,1,Minnesota Vikings,17.0,19.0,22.0,288.0,180.0,108.0,2.0,18.0,384.0,264.0,120.0,2.0,-7.67,0.5,4.46,2021,0.0,det,2021-10-10
6,Sun,1:00PM ET,0,0,0-6,0,Cincinnati Bengals,11.0,34.0,15.0,228.0,192.0,36.0,1.0,20.0,398.0,256.0,142.0,1.0,-8.89,-16.6,0.46,2021,0.0,det,2021-10-17
7,Sun,4:05PM ET,0,0,0-7,1,Los Angeles Rams,19.0,28.0,19.0,415.0,278.0,137.0,2.0,22.0,374.0,327.0,47.0,0.0,3.32,-20.08,6.99,2021,0.0,det,2021-10-24
8,Sun,1:00PM ET,0,0,0-8,0,Philadelphia Eagles,6.0,44.0,15.0,228.0,171.0,57.0,1.0,27.0,350.0,114.0,236.0,0.0,-17.4,-18.7,-1.69,2021,0.0,det,2021-10-31
10,Sun,1:00PM ET,0,1,0-8-1,1,Pittsburgh Steelers,16.0,16.0,17.0,306.0,77.0,229.0,0.0,22.0,387.0,242.0,145.0,3.0,-5.57,6.61,-1.04,2021,0.0,det,2021-11-14
