W/L,OT,@,Opp,TmScore,OppScore,PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,PassNY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Year,Team,Timestamp,Win%
1,0,1,Jacksonville Jaguars,27.0,23.0,20.0,34.0,199.0,2.0,0.0,1.0,0.0,5.9,5.7,58.8,95.1,25.0,95.0,3.8,1.0,2.0,2.0,3.0,3.0,4.0,184.0,7.0,14.0,1.0,1.0,28:37,2016,gnb,2016-09-11,1.0
0,0,1,Minnesota Vikings,14.0,17.0,20.0,36.0,180.0,1.0,1.0,5.0,33.0,5.9,4.4,55.6,66.9,23.0,83.0,3.6,1.0,0.0,0.0,2.0,2.0,5.0,193.0,6.0,13.0,0.0,1.0,29:42,2016,gnb,2016-09-18,0.5
1,0,0,Detroit Lions,34.0,27.0,15.0,24.0,201.0,4.0,0.0,2.0,4.0,8.5,7.7,62.5,128.6,24.0,123.0,5.1,0.0,2.0,2.0,4.0,4.0,2.0,83.0,5.0,10.0,0.0,0.0,24:53,2016,gnb,2016-09-25,0.6666666666666666
1,0,0,New York Giants,23.0,16.0,23.0,45.0,259.0,2.0,2.0,0.0,0.0,5.8,5.8,51.1,65.0,32.0,147.0,4.6,0.0,3.0,3.0,2.0,2.0,4.0,146.0,9.0,19.0,0.0,0.0,36:38,2016,gnb,2016-10-09,0.75
0,0,0,Dallas Cowboys,16.0,30.0,31.0,42.0,294.0,1.0,1.0,1.0,0.0,7.0,6.8,73.8,90.8,24.0,78.0,3.3,0.0,3.0,3.0,1.0,1.0,1.0,47.0,7.0,13.0,0.0,1.0,30:10,2016,gnb,2016-10-16,0.6
1,0,0,Chicago Bears,26.0,10.0,39.0,56.0,303.0,3.0,0.0,2.0,23.0,5.8,5.2,69.6,100.5,23.0,103.0,4.5,0.0,2.0,3.0,2.0,3.0,1.0,46.0,9.0,16.0,1.0,2.0,39:36,2016,gnb,2016-10-20,0.6666666666666666
0,0,1,Atlanta Falcons,32.0,33.0,28.0,38.0,223.0,4.0,0.0,3.0,23.0,6.5,5.4,73.7,123.0,19.0,108.0,5.7,0.0,1.0,1.0,3.0,3.0,3.0,163.0,6.0,10.0,0.0,1.0,31:17,2016,gnb,2016-10-30,0.5714285714285714
0,0,0,Indianapolis Colts,26.0,31.0,26.0,43.0,289.0,3.0,1.0,3.0,8.0,6.9,6.3,60.5,94.0,19.0,116.0,6.1,0.0,2.0,3.0,2.0,2.0,4.0,193.0,4.0,12.0,0.0,0.0,29:57,2016,gnb,2016-11-06,0.5
0,0,1,Tennessee Titans,25.0,47.0,32.0,55.0,333.0,2.0,2.0,5.0,46.0,6.9,5.6,58.2,72.8,13.0,69.0,5.3,1.0,2.0,2.0,1.0,2.0,4.0,202.0,4.0,15.0,2.0,4.0,30:29,2016,gnb,2016-11-13,0.4444444444444444
0,0,1,Washington Redskins,24.0,42.0,27.0,44.0,340.0,3.0,1.0,2.0,20.0,8.2,7.4,61.4,98.7,19.0,84.0,4.4,0.0,1.0,2.0,3.0,3.0,3.0,138.0,7.0,15.0,1.0,2.0,30:23,2016,gnb,2016-11-20,0.4
