PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Timestamp,Week,Day,Time,W/L,OT,Record,@,Opp,TmScore,OppScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,Team,Year,month,year,Avg3Game,Avg6Game,Win%
24.0,37.0,301.0,3.0,1.0,4.0,40.0,9.2,64.9,105.8,18.0,69.0,3.8,0.0,1.0,1.0,3.0,3.0,4.0,192.0,5.0,13.0,0.0,1.0,26:38,2018-09-09,1,Sun,8:20PM ET,1,0,1-0,0,Chicago Bears,24.0,23.0,16.0,370.0,301.0,69.0,2.0,18.0,294.0,155.0,139.0,1.0,1.65,1.75,0.54,gnb,2018,9,2018,,,1.0
30.0,42.0,253.0,1.0,0.0,4.0,28.0,6.7,71.4,94.6,24.0,98.0,4.1,0.0,5.0,6.0,2.0,2.0,5.0,259.0,4.0,13.0,0.0,0.0,38:08,2018-09-16,2,Sun,1:00PM ET,0,1,1-0-1,0,Minnesota Vikings,29.0,29.0,24.0,351.0,253.0,98.0,0.0,24.0,480.0,412.0,68.0,1.0,4.92,-16.42,11.5,gnb,2018,9,2018,,,0.5
27.0,45.0,240.0,2.0,0.0,4.0,25.0,5.9,60.0,89.1,17.0,100.0,5.9,0.0,1.0,1.0,2.0,2.0,5.0,232.0,6.0,14.0,0.0,2.0,30:55,2018-09-23,3,Sun,1:00PM ET,0,0,1-1-1,1,Washington Redskins,17.0,31.0,19.0,340.0,240.0,100.0,1.0,20.0,386.0,220.0,166.0,1.0,-3.32,-12.37,0.92,gnb,2018,9,2018,23.333333333333332,,0.3333333333333333
22.0,40.0,282.0,1.0,1.0,2.0,16.0,7.5,55.0,75.2,32.0,141.0,4.4,1.0,3.0,3.0,1.0,2.0,4.0,171.0,11.0,19.0,0.0,1.0,34:37,2018-09-30,4,Sun,1:00PM ET,1,0,2-1-1,0,Buffalo Bills,22.0,0.0,22.0,423.0,282.0,141.0,2.0,11.0,145.0,87.0,58.0,3.0,2.71,21.05,-7.7,gnb,2018,9,2018,22.666666666666668,,0.5
32.0,52.0,423.0,3.0,0.0,4.0,19.0,8.5,61.5,106.5,20.0,98.0,4.9,0.0,1.0,5.0,0.0,1.0,0.0,0.0,3.0,10.0,2.0,2.0,33:20,2018-10-07,5,Sun,1:00PM ET,0,0,2-2-1,1,Detroit Lions,23.0,31.0,30.0,521.0,423.0,98.0,3.0,18.0,264.0,170.0,94.0,0.0,20.46,-4.76,-25.94,gnb,2018,10,2018,20.666666666666668,,0.4
25.0,46.0,405.0,2.0,0.0,3.0,20.0,9.2,54.3,98.6,21.0,116.0,5.5,1.0,4.0,4.0,3.0,3.0,4.0,155.0,4.0,13.0,1.0,2.0,31:08,2018-10-15,6,Mon,8:15PM ET,1,0,3-2-1,0,San Francisco 49ers,33.0,30.0,26.0,521.0,405.0,116.0,0.0,18.0,401.0,227.0,174.0,3.0,16.33,-11.1,-2.23,gnb,2018,10,2018,26.0,24.666666666666668,0.5
18.0,30.0,253.0,1.0,0.0,3.0,33.0,9.5,60.0,98.3,19.0,106.0,5.6,2.0,2.0,2.0,3.0,3.0,5.0,214.0,2.0,9.0,0.0,0.0,25:50,2018-10-28,8,Sun,4:25PM ET,0,0,3-3-1,1,Los Angeles Rams,27.0,29.0,16.0,359.0,253.0,106.0,1.0,23.0,416.0,281.0,135.0,0.0,14.06,-7.93,-8.28,gnb,2018,10,2018,27.666666666666668,25.166666666666668,0.42857142857142855
24.0,43.0,250.0,2.0,0.0,1.0,9.0,6.0,55.8,88.3,25.0,117.0,4.7,0.0,1.0,1.0,2.0,2.0,5.0,210.0,6.0,13.0,0.0,1.0,32:34,2018-11-04,9,Sun,8:20PM ET,0,0,3-4-1,1,New England Patriots,17.0,31.0,22.0,367.0,250.0,117.0,1.0,28.0,433.0,310.0,123.0,0.0,4.92,-17.14,-3.52,gnb,2018,11,2018,25.666666666666668,23.166666666666668,0.375
19.0,28.0,182.0,2.0,0.0,2.0,17.0,7.1,67.9,109.5,25.0,195.0,7.8,2.0,1.0,1.0,4.0,4.0,2.0,37.0,4.0,10.0,1.0,2.0,27:52,2018-11-11,10,Sun,4:25PM ET,1,0,4-4-1,0,Miami Dolphins,31.0,12.0,21.0,377.0,182.0,195.0,1.0,19.0,294.0,163.0,131.0,2.0,11.86,12.66,-5.01,gnb,2018,11,2018,25.0,25.5,0.4444444444444444
21.0,30.0,311.0,2.0,0.0,5.0,21.0,11.1,70.0,125.8,13.0,48.0,3.7,1.0,1.0,2.0,3.0,3.0,6.0,284.0,3.0,11.0,0.0,0.0,25:42,2018-11-15,11,Thu,8:20PM ET,0,0,4-5-1,1,Seattle Seahawks,24.0,27.0,14.0,359.0,311.0,48.0,0.0,23.0,378.0,205.0,173.0,1.0,9.27,-10.41,-4.0,gnb,2018,11,2018,24.0,25.833333333333332,0.4
17.0,28.0,172.0,1.0,0.0,4.0,26.0,7.1,60.7,90.2,19.0,82.0,4.3,1.0,1.0,1.0,2.0,2.0,6.0,276.0,2.0,10.0,0.0,1.0,25:23,2018-11-25,12,Sun,8:20PM ET,0,0,4-6-1,1,Minnesota Vikings,17.0,24.0,14.0,254.0,172.0,82.0,1.0,22.0,416.0,325.0,91.0,0.0,0.78,-10.38,-1.61,gnb,2018,11,2018,24.0,24.833333333333332,0.36363636363636365
31.0,50.0,227.0,1.0,0.0,1.0,6.0,4.7,62.0,79.3,23.0,98.0,4.3,1.0,1.0,2.0,2.0,2.0,7.0,339.0,3.0,14.0,2.0,2.0,32:26,2018-12-02,13,Sun,1:00PM ET,0,0,4-7-1,0,Arizona Cardinals,17.0,20.0,22.0,325.0,227.0,98.0,0.0,18.0,315.0,133.0,182.0,0.0,3.18,-3.9,-0.74,gnb,2018,12,2018,19.333333333333332,22.166666666666668,0.3333333333333333
21.0,32.0,162.0,2.0,0.0,4.0,34.0,6.1,65.6,98.7,25.0,138.0,5.5,1.0,2.0,2.0,4.0,4.0,4.0,169.0,7.0,13.0,0.0,0.0,29:11,2018-12-09,14,Sun,1:00PM ET,1,0,5-7-1,0,Atlanta Falcons,34.0,20.0,23.0,300.0,162.0,138.0,0.0,22.0,344.0,237.0,107.0,2.0,11.83,-1.55,-0.57,gnb,2018,12,2018,22.666666666666668,23.333333333333332,0.38461538461538464
25.0,42.0,235.0,0.0,1.0,5.0,39.0,6.5,59.5,65.1,19.0,88.0,4.6,1.0,3.0,3.0,0.0,0.0,5.0,208.0,5.0,14.0,1.0,1.0,29:37,2018-12-16,15,Sun,1:00PM ET,0,0,5-8-1,1,Chicago Bears,17.0,24.0,19.0,323.0,235.0,88.0,1.0,19.0,332.0,232.0,100.0,1.0,-1.33,-6.61,0.49,gnb,2018,12,2018,22.666666666666668,23.333333333333332,0.35714285714285715
37.0,55.0,413.0,2.0,0.0,4.0,29.0,8.0,67.3,101.6,20.0,127.0,6.4,3.0,3.0,3.0,3.0,3.0,3.0,113.0,5.0,12.0,2.0,2.0,34:19,2018-12-23,16,Sun,1:00PM ET,1,1,6-8-1,1,New York Jets,44.0,38.0,35.0,540.0,413.0,127.0,1.0,23.0,370.0,323.0,47.0,0.0,33.16,-12.93,-15.5,gnb,2018,12,2018,31.666666666666668,25.5,0.4
19.0,40.0,129.0,0.0,1.0,3.0,29.0,4.0,47.5,44.7,13.0,46.0,3.5,0.0,0.0,0.0,0.0,0.0,7.0,317.0,5.0,16.0,1.0,3.0,23:06,2018-12-30,17,Sun,1:00PM ET,0,0,6-9-1,0,Detroit Lions,0.0,31.0,9.0,175.0,129.0,46.0,1.0,25.0,402.0,272.0,130.0,0.0,-17.16,-15.11,1.18,gnb,2018,12,2018,20.333333333333332,21.5,0.375
18.0,30.0,166.0,1.0,0.0,5.0,37.0,6.8,60.0,86.2,22.0,47.0,2.1,0.0,1.0,1.0,1.0,1.0,9.0,428.0,2.0,12.0,0.0,0.0,31:03,2019-09-05,1,Thu,8:20PM ET,1,0,1-0,1,Chicago Bears,10.0,3.0,13.0,213.0,166.0,47.0,0.0,16.0,254.0,208.0,46.0,1.0,-9.57,20.02,2.01,gnb,2019,9,2019,,,1.0
22.0,34.0,191.0,2.0,0.0,2.0,18.0,6.1,64.7,99.0,33.0,144.0,4.4,1.0,0.0,0.0,3.0,3.0,8.0,381.0,5.0,15.0,0.0,1.0,34:06,2019-09-15,2,Sun,1:00PM ET,1,0,2-0,0,Minnesota Vikings,21.0,16.0,20.0,335.0,191.0,144.0,2.0,15.0,421.0,223.0,198.0,4.0,-7.02,6.94,5.3,gnb,2019,9,2019,,,1.0
