W/L,OT,@,Opp,TmScore,OppScore,PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,PassNY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Year,Team,Timestamp,Win%
0,0,1,Seattle Seahawks,10.0,12.0,16.0,29.0,150.0,0.0,0.0,5.0,36.0,6.4,4.4,55.2,69.6,20.0,64.0,3.2,1.0,1.0,2.0,1.0,1.0,7.0,327.0,3.0,13.0,0.0,1.0,25:28,2016,mia,2016-09-11,0.0
0,0,1,New England Patriots,24.0,31.0,32.0,45.0,387.0,2.0,2.0,0.0,0.0,8.6,8.6,71.1,93.5,16.0,70.0,4.4,1.0,1.0,1.0,3.0,3.0,4.0,199.0,5.0,10.0,0.0,1.0,23:14,2016,mia,2016-09-18,0.0
1,1,0,Cleveland Browns,30.0,24.0,25.0,39.0,311.0,3.0,2.0,1.0,8.0,8.2,7.8,64.1,93.0,25.0,115.0,4.6,1.0,1.0,1.0,3.0,3.0,6.0,293.0,2.0,10.0,0.0,0.0,29:12,2016,mia,2016-09-25,0.3333333333333333
0,0,1,Cincinnati Bengals,7.0,22.0,15.0,25.0,160.0,1.0,1.0,5.0,29.0,7.6,5.3,60.0,75.4,13.0,62.0,4.8,0.0,0.0,0.0,1.0,1.0,7.0,344.0,2.0,11.0,0.0,1.0,21:58,2016,mia,2016-09-29,0.25
0,0,0,Tennessee Titans,17.0,30.0,12.0,18.0,149.0,0.0,2.0,6.0,42.0,10.6,6.2,66.7,52.5,17.0,51.0,3.0,1.0,1.0,1.0,2.0,2.0,6.0,298.0,4.0,11.0,0.0,0.0,23:16,2016,mia,2016-10-09,0.2
1,0,0,Pittsburgh Steelers,30.0,15.0,24.0,32.0,252.0,0.0,0.0,0.0,0.0,7.9,7.9,75.0,97.4,36.0,222.0,6.2,3.0,3.0,5.0,3.0,3.0,2.0,77.0,7.0,14.0,0.0,0.0,36:30,2016,mia,2016-10-16,0.3333333333333333
1,0,0,Buffalo Bills,28.0,25.0,15.0,25.0,198.0,1.0,0.0,1.0,6.0,8.2,7.6,60.0,98.4,42.0,256.0,6.1,2.0,2.0,2.0,2.0,2.0,5.0,175.0,5.0,12.0,0.0,0.0,37:02,2016,mia,2016-10-23,0.42857142857142855
1,0,0,New York Jets,27.0,23.0,17.0,29.0,137.0,1.0,0.0,1.0,12.0,5.1,4.6,58.6,82.1,32.0,137.0,4.3,1.0,2.0,2.0,3.0,3.0,3.0,120.0,5.0,11.0,0.0,1.0,30:22,2016,mia,2016-11-06,0.5
1,0,1,San Diego Chargers,31.0,24.0,17.0,24.0,231.0,2.0,0.0,1.0,9.0,10.0,9.2,70.8,129.0,25.0,106.0,4.2,1.0,1.0,1.0,4.0,4.0,5.0,258.0,4.0,10.0,0.0,0.0,27:01,2016,mia,2016-11-13,0.5555555555555556
1,0,1,Los Angeles Rams,14.0,10.0,24.0,34.0,142.0,2.0,1.0,4.0,30.0,5.1,3.7,70.6,85.7,19.0,98.0,5.2,0.0,0.0,0.0,2.0,2.0,10.0,453.0,1.0,11.0,0.0,0.0,28:41,2016,mia,2016-11-20,0.6
1,0,0,San Francisco 49ers,31.0,24.0,20.0,30.0,263.0,3.0,0.0,2.0,22.0,9.5,8.2,66.7,127.5,26.0,95.0,3.7,1.0,1.0,1.0,4.0,4.0,5.0,209.0,6.0,12.0,0.0,0.0,30:32,2016,mia,2016-11-27,0.6363636363636364
0,0,1,Baltimore Ravens,6.0,38.0,29.0,40.0,215.0,1.0,3.0,2.0,11.0,5.7,5.1,72.5,62.0,16.0,62.0,3.9,0.0,0.0,1.0,0.0,0.0,6.0,222.0,4.0,13.0,0.0,0.0,30:46,2016,mia,2016-12-04,0.5833333333333334
1,0,0,Arizona Cardinals,26.0,23.0,18.0,25.0,231.0,3.0,1.0,1.0,11.0,9.7,8.9,72.0,123.5,31.0,83.0,2.7,0.0,1.0,1.0,3.0,3.0,8.0,346.0,4.0,13.0,0.0,0.0,30:04,2016,mia,2016-12-11,0.6153846153846154
1,0,1,New York Jets,34.0,13.0,12.0,18.0,236.0,4.0,1.0,1.0,0.0,13.1,12.4,66.7,126.2,27.0,67.0,2.5,0.0,0.0,0.0,4.0,5.0,6.0,257.0,5.0,12.0,0.0,0.0,27:28,2016,mia,2016-12-17,0.6428571428571429
1,1,1,Buffalo Bills,34.0,31.0,16.0,30.0,233.0,2.0,1.0,0.0,0.0,7.8,7.8,53.3,87.2,38.0,261.0,6.9,2.0,2.0,3.0,4.0,4.0,5.0,207.0,5.0,12.0,0.0,0.0,33:40,2016,mia,2016-12-24,0.6666666666666666
0,0,0,New England Patriots,14.0,35.0,24.0,34.0,205.0,2.0,1.0,0.0,0.0,6.0,6.0,70.6,93.4,23.0,75.0,3.3,0.0,0.0,0.0,2.0,2.0,5.0,206.0,7.0,12.0,0.0,0.0,28:38,2016,mia,2016-01-01,0.625
1,0,1,Los Angeles Chargers,19.0,17.0,24.0,34.0,225.0,1.0,0.0,2.0,5.0,6.8,6.3,70.6,98.3,32.0,111.0,3.5,0.0,4.0,4.0,1.0,1.0,3.0,130.0,5.0,13.0,0.0,1.0,33:22,2017,mia,2017-09-17,1.0
0,0,1,New York Jets,6.0,20.0,26.0,45.0,195.0,1.0,2.0,3.0,25.0,4.9,4.1,57.8,57.2,15.0,30.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,333.0,1.0,12.0,0.0,3.0,23:52,2017,mia,2017-09-24,0.5
0,0,0,New Orleans Saints,0.0,20.0,20.0,28.0,128.0,0.0,1.0,4.0,36.0,5.9,4.0,71.4,65.8,15.0,58.0,3.9,0.0,0.0,0.0,0.0,0.0,6.0,263.0,1.0,8.0,0.0,1.0,25:32,2017,mia,2017-10-01,0.3333333333333333
1,0,0,Tennessee Titans,16.0,10.0,12.0,27.0,78.0,1.0,1.0,1.0,14.0,3.4,2.8,44.4,48.5,31.0,100.0,3.2,0.0,1.0,1.0,1.0,2.0,9.0,459.0,5.0,15.0,0.0,0.0,29:45,2017,mia,2017-10-08,0.5
1,0,1,Atlanta Falcons,20.0,17.0,19.0,33.0,151.0,2.0,1.0,0.0,0.0,4.6,4.6,57.6,76.7,31.0,138.0,4.5,0.0,2.0,2.0,2.0,2.0,2.0,80.0,5.0,12.0,2.0,3.0,34:24,2017,mia,2017-10-15,0.6
1,0,0,New York Jets,31.0,28.0,25.0,37.0,304.0,4.0,2.0,3.0,22.0,8.8,7.6,67.6,106.1,25.0,53.0,2.1,0.0,1.0,1.0,4.0,4.0,6.0,267.0,5.0,13.0,0.0,0.0,31:58,2017,mia,2017-10-22,0.6666666666666666
0,0,1,Baltimore Ravens,0.0,40.0,25.0,44.0,151.0,0.0,2.0,3.0,25.0,4.0,3.2,56.8,44.8,19.0,45.0,2.4,0.0,0.0,1.0,0.0,0.0,8.0,328.0,4.0,15.0,0.0,2.0,28:46,2017,mia,2017-10-26,0.5714285714285714
0,0,0,Oakland Raiders,24.0,27.0,34.0,42.0,309.0,3.0,0.0,1.0,2.0,7.4,7.2,81.0,121.1,18.0,86.0,4.8,0.0,1.0,1.0,1.0,2.0,5.0,221.0,5.0,12.0,0.0,1.0,29:04,2017,mia,2017-11-05,0.5
