PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Timestamp,Week,Day,Time,W/L,OT,Record,@,Opp,TmScore,OppScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,Team,Year,month,year,Avg3Game,Avg6Game,Win%
20.0,28.0,222.0,2.0,2.0,1.0,8.0,8.2,71.4,88.7,29.0,120.0,4.1,0.0,2.0,2.0,3.0,3.0,4.0,215.0,2.0,10.0,0.0,1.0,30:25,2018-09-09,1,Sun,1:00PM ET,1,0,1-0,0,Tennessee Titans,27.0,20.0,18.0,342.0,222.0,120.0,2.0,19.0,336.0,220.0,116.0,3.0,-3.23,14.51,-3.3,mia,2018,9,2018,,,1.0
17.0,23.0,122.0,2.0,0.0,4.0,46.0,7.3,73.9,114.8,31.0,135.0,4.4,1.0,0.0,0.0,2.0,3.0,6.0,295.0,6.0,13.0,0.0,0.0,28:25,2018-09-16,2,Sun,1:00PM ET,1,0,2-0,1,New York Jets,20.0,12.0,18.0,257.0,122.0,135.0,2.0,21.0,362.0,320.0,42.0,3.0,-2.02,8.87,-0.32,mia,2018,9,2018,,,1.0
18.0,24.0,332.0,4.0,0.0,1.0,9.0,14.2,75.0,156.2,14.0,41.0,2.9,0.0,0.0,0.0,4.0,4.0,6.0,282.0,2.0,8.0,0.0,0.0,21:29,2018-09-23,3,Sun,1:00PM ET,1,0,3-0,0,Oakland Raiders,28.0,20.0,13.0,373.0,332.0,41.0,0.0,25.0,434.0,325.0,109.0,2.0,13.07,-9.08,7.77,mia,2018,9,2018,25.0,,1.0
15.0,25.0,116.0,1.0,1.0,2.0,19.0,5.4,60.0,68.1,18.0,56.0,3.1,0.0,0.0,0.0,1.0,1.0,7.0,293.0,3.0,11.0,1.0,1.0,23:38,2018-09-30,4,Sun,1:00PM ET,0,0,3-1,1,New England Patriots,7.0,38.0,11.0,172.0,116.0,56.0,2.0,26.0,449.0,274.0,175.0,2.0,-12.47,-21.55,6.26,mia,2018,9,2018,18.333333333333332,,0.75
20.0,35.0,169.0,1.0,2.0,3.0,16.0,5.3,57.1,55.5,22.0,128.0,5.8,0.0,1.0,1.0,2.0,2.0,5.0,209.0,4.0,13.0,1.0,1.0,29:25,2018-10-07,5,Sun,1:00PM ET,0,0,3-2,1,Cincinnati Bengals,17.0,27.0,17.0,297.0,169.0,128.0,3.0,17.0,332.0,229.0,103.0,1.0,-14.46,-0.18,5.85,mia,2018,10,2018,17.333333333333332,,0.6
28.0,44.0,380.0,3.0,2.0,0.0,0.0,8.6,63.6,94.9,31.0,161.0,5.2,0.0,3.0,3.0,2.0,2.0,4.0,162.0,8.0,17.0,0.0,0.0,36:35,2018-10-14,6,Sun,1:00PM ET,1,1,4-2,0,Chicago Bears,31.0,28.0,23.0,541.0,380.0,161.0,3.0,23.0,467.0,303.0,164.0,3.0,10.81,-12.66,5.41,mia,2018,10,2018,18.333333333333332,21.666666666666668,0.6666666666666666
22.0,31.0,215.0,2.0,0.0,4.0,24.0,7.7,71.0,111.6,19.0,107.0,5.6,1.0,0.0,1.0,3.0,3.0,4.0,182.0,6.0,11.0,0.0,0.0,26:21,2018-10-21,7,Sun,1:00PM ET,0,0,4-3,0,Detroit Lions,21.0,32.0,19.0,322.0,215.0,107.0,0.0,24.0,457.0,209.0,248.0,0.0,15.19,-22.39,-4.4,mia,2018,10,2018,23.0,20.666666666666668,0.5714285714285714
22.0,38.0,254.0,1.0,1.0,2.0,15.0,7.1,57.9,76.0,25.0,116.0,4.6,1.0,3.0,3.0,2.0,2.0,4.0,188.0,4.0,13.0,0.0,1.0,31:09,2018-10-25,8,Thu,8:20PM ET,0,0,4-4,1,Houston Texans,23.0,42.0,18.0,370.0,254.0,116.0,1.0,17.0,427.0,239.0,188.0,0.0,1.41,-26.51,8.12,mia,2018,10,2018,25.0,21.166666666666668,0.5
15.0,24.0,104.0,0.0,0.0,4.0,35.0,5.8,62.5,72.2,27.0,64.0,2.4,0.0,2.0,2.0,1.0,1.0,9.0,402.0,3.0,16.0,2.0,2.0,28:26,2018-11-04,9,Sun,1:00PM ET,1,0,5-4,0,New York Jets,13.0,6.0,7.0,168.0,104.0,64.0,0.0,15.0,282.0,202.0,80.0,4.0,-16.51,18.82,3.31,mia,2018,11,2018,19.0,18.666666666666668,0.5555555555555556
23.0,37.0,163.0,0.0,1.0,6.0,50.0,5.8,62.2,61.0,23.0,131.0,5.7,0.0,4.0,4.0,0.0,0.0,2.0,77.0,4.0,14.0,3.0,4.0,32:08,2018-11-11,10,Sun,4:25PM ET,0,0,5-5,1,Green Bay Packers,12.0,31.0,19.0,294.0,163.0,131.0,2.0,21.0,377.0,182.0,195.0,1.0,-12.66,-11.86,5.01,mia,2018,11,2018,16.0,19.5,0.5
17.0,25.0,201.0,2.0,0.0,1.0,3.0,8.2,68.0,118.9,25.0,113.0,4.5,1.0,1.0,1.0,3.0,3.0,6.0,285.0,4.0,11.0,0.0,0.0,28:06,2018-11-25,12,Sun,4:25PM ET,0,0,5-6,1,Indianapolis Colts,24.0,27.0,14.0,314.0,201.0,113.0,1.0,26.0,455.0,337.0,118.0,3.0,3.02,-12.34,5.47,mia,2018,11,2018,16.333333333333332,20.666666666666668,0.45454545454545453
16.0,24.0,115.0,3.0,1.0,3.0,22.0,5.7,66.7,99.8,23.0,60.0,2.6,0.0,0.0,0.0,3.0,3.0,7.0,320.0,2.0,9.0,0.0,0.0,27:03,2018-12-02,13,Sun,1:00PM ET,1,0,6-6,0,Buffalo Bills,21.0,17.0,15.0,175.0,115.0,60.0,1.0,24.0,415.0,217.0,198.0,3.0,0.01,-10.93,9.78,mia,2018,12,2018,19.0,19.0,0.5
14.0,19.0,223.0,3.0,0.0,5.0,42.0,13.9,73.7,152.0,21.0,189.0,9.0,2.0,0.0,0.0,4.0,4.0,6.0,170.0,1.0,7.0,0.0,0.0,24:46,2018-12-09,14,Sun,1:00PM ET,1,0,7-6,0,New England Patriots,34.0,33.0,20.0,412.0,223.0,189.0,0.0,28.0,421.0,344.0,77.0,0.0,19.73,-21.02,0.46,mia,2018,12,2018,26.333333333333332,21.166666666666668,0.5384615384615384
11.0,24.0,37.0,0.0,0.0,9.0,71.0,4.5,45.8,52.8,20.0,156.0,7.8,1.0,1.0,1.0,2.0,2.0,7.0,351.0,2.0,12.0,0.0,2.0,26:44,2018-12-16,15,Sun,1:00PM ET,0,0,7-7,1,Minnesota Vikings,17.0,41.0,12.0,193.0,37.0,156.0,0.0,22.0,418.0,198.0,220.0,1.0,-14.15,-10.62,-1.19,mia,2018,12,2018,24.0,20.166666666666668,0.5
15.0,22.0,121.0,1.0,1.0,3.0,25.0,6.6,68.2,78.0,18.0,62.0,3.4,0.0,0.0,1.0,1.0,1.0,6.0,278.0,2.0,9.0,0.0,0.0,25:15,2018-12-23,16,Sun,1:00PM ET,0,0,7-8,0,Jacksonville Jaguars,7.0,17.0,11.0,183.0,121.0,62.0,2.0,19.0,244.0,118.0,126.0,1.0,-15.96,2.6,-0.98,mia,2018,12,2018,19.333333333333332,19.166666666666668,0.4666666666666667
19.0,32.0,126.0,1.0,2.0,4.0,24.0,4.7,59.4,52.3,25.0,99.0,4.0,0.0,1.0,1.0,2.0,2.0,5.0,175.0,3.0,12.0,1.0,1.0,29:42,2018-12-30,17,Sun,1:00PM ET,0,0,7-9,1,Buffalo Bills,17.0,42.0,17.0,225.0,126.0,99.0,4.0,23.0,381.0,215.0,166.0,1.0,-16.21,-13.1,4.96,mia,2018,12,2018,13.666666666666666,20.0,0.4375
15.0,32.0,179.0,1.0,2.0,3.0,11.0,5.9,46.9,48.8,12.0,21.0,1.8,0.0,1.0,1.0,1.0,1.0,6.0,322.0,3.0,10.0,0.0,0.0,19:53,2019-09-08,1,Sun,1:00PM ET,0,0,0-1,0,Baltimore Ravens,10.0,59.0,12.0,200.0,179.0,21.0,3.0,31.0,643.0,378.0,265.0,0.0,-9.29,-42.69,-0.99,mia,2019,9,2019,,,0.0
18.0,39.0,142.0,0.0,4.0,7.0,44.0,4.8,46.2,16.1,15.0,42.0,2.8,0.0,0.0,0.0,0.0,0.0,7.0,298.0,2.0,15.0,2.0,4.0,23:30,2019-09-15,2,Sun,1:00PM ET,0,0,0-2,0,New England Patriots,0.0,43.0,11.0,184.0,142.0,42.0,4.0,27.0,379.0,255.0,124.0,1.0,-35.44,-14.12,12.05,mia,2019,9,2019,,,0.0
