W/L,OT,@,Opp,TmScore,OppScore,PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,PassNY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Year,Team,Timestamp,Win%
1,0,1,Tennessee Titans,25.0,16.0,18.0,33.0,236.0,0.0,0.0,0.0,0.0,7.2,7.2,54.5,77.3,28.0,65.0,2.3,0.0,4.0,6.0,1.0,2.0,3.0,113.0,6.0,14.0,0.0,0.0,29:35,2016,min,2016-09-11,1.0
1,0,0,Green Bay Packers,17.0,14.0,22.0,31.0,254.0,2.0,0.0,4.0,32.0,9.2,7.3,71.0,116.9,22.0,30.0,1.4,0.0,1.0,1.0,2.0,2.0,7.0,273.0,4.0,14.0,1.0,2.0,30:18,2016,min,2016-09-18,1.0
1,0,1,Carolina Panthers,22.0,10.0,18.0,28.0,153.0,1.0,0.0,2.0,18.0,6.1,5.1,64.3,90.3,24.0,58.0,2.4,0.0,2.0,2.0,0.0,1.0,7.0,339.0,3.0,12.0,0.0,0.0,25:08,2016,min,2016-09-25,1.0
1,0,0,New York Giants,24.0,10.0,26.0,36.0,262.0,1.0,0.0,0.0,0.0,7.3,7.3,72.2,101.9,33.0,104.0,3.2,2.0,1.0,2.0,3.0,3.0,6.0,264.0,8.0,16.0,0.0,0.0,35:32,2016,min,2016-10-03,1.0
1,0,0,Houston Texans,31.0,13.0,22.0,30.0,255.0,2.0,0.0,2.0,16.0,9.0,8.0,73.3,120.8,37.0,96.0,2.6,1.0,1.0,1.0,4.0,4.0,5.0,231.0,7.0,14.0,0.0,0.0,37:28,2016,min,2016-10-09,1.0
0,0,1,Philadelphia Eagles,10.0,21.0,24.0,41.0,189.0,1.0,1.0,6.0,35.0,5.5,4.0,58.5,68.0,27.0,93.0,3.4,0.0,1.0,1.0,1.0,1.0,4.0,181.0,9.0,19.0,1.0,3.0,32:08,2016,min,2016-10-23,0.8333333333333334
0,0,1,Chicago Bears,10.0,20.0,23.0,37.0,201.0,1.0,0.0,5.0,27.0,6.2,4.8,62.2,85.5,18.0,57.0,3.2,0.0,1.0,1.0,1.0,1.0,7.0,309.0,2.0,13.0,2.0,2.0,27:19,2016,min,2016-10-31,0.7142857142857143
0,1,0,Detroit Lions,16.0,22.0,31.0,40.0,259.0,1.0,0.0,2.0,14.0,6.8,6.2,77.5,102.0,25.0,78.0,3.1,1.0,1.0,2.0,1.0,2.0,4.0,146.0,6.0,14.0,1.0,2.0,33:08,2016,min,2016-11-06,0.625
0,0,1,Washington Redskins,20.0,26.0,31.0,40.0,284.0,2.0,1.0,3.0,23.0,7.7,6.6,77.5,102.5,21.0,47.0,2.2,1.0,0.0,0.0,2.0,3.0,5.0,217.0,5.0,11.0,0.0,1.0,30:04,2016,min,2016-11-13,0.5555555555555556
1,0,0,Arizona Cardinals,30.0,24.0,20.0,28.0,145.0,1.0,0.0,2.0,24.0,6.0,4.8,71.4,95.1,24.0,72.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,225.0,6.0,13.0,0.0,1.0,28:58,2016,min,2016-11-20,0.6
0,0,1,Detroit Lions,13.0,16.0,31.0,37.0,224.0,0.0,1.0,0.0,0.0,6.1,6.1,83.8,80.6,16.0,82.0,5.1,1.0,2.0,2.0,1.0,1.0,4.0,195.0,2.0,10.0,0.0,1.0,31:31,2016,min,2016-11-24,0.5454545454545454
0,0,0,Dallas Cowboys,15.0,17.0,33.0,47.0,231.0,1.0,0.0,3.0,22.0,5.4,4.6,70.2,88.2,19.0,87.0,4.6,0.0,3.0,3.0,0.0,0.0,7.0,224.0,6.0,16.0,0.0,0.0,33:17,2016,min,2016-12-01,0.5
1,0,1,Jacksonville Jaguars,25.0,16.0,24.0,34.0,292.0,1.0,0.0,0.0,0.0,8.6,8.6,70.6,106.5,29.0,85.0,2.9,1.0,4.0,4.0,1.0,2.0,1.0,42.0,3.0,11.0,0.0,1.0,30:56,2016,min,2016-12-11,0.5384615384615384
0,0,0,Indianapolis Colts,6.0,34.0,32.0,42.0,248.0,0.0,1.0,5.0,43.0,6.9,5.3,76.2,80.3,9.0,34.0,3.8,0.0,2.0,2.0,0.0,0.0,3.0,146.0,3.0,9.0,0.0,1.0,22:58,2016,min,2016-12-18,0.5
0,0,1,Green Bay Packers,25.0,38.0,34.0,50.0,353.0,3.0,0.0,4.0,29.0,7.6,6.5,68.0,108.2,20.0,93.0,4.7,0.0,2.0,2.0,1.0,2.0,5.0,186.0,5.0,15.0,3.0,3.0,31:01,2016,min,2016-12-24,0.4666666666666667
1,0,0,Chicago Bears,38.0,10.0,25.0,34.0,250.0,3.0,1.0,0.0,0.0,7.4,7.4,73.5,111.2,28.0,124.0,4.4,1.0,1.0,1.0,5.0,5.0,2.0,64.0,6.0,12.0,0.0,1.0,30:12,2016,min,2016-01-01,0.5
1,0,0,New Orleans Saints,29.0,19.0,27.0,32.0,341.0,3.0,0.0,1.0,5.0,10.8,10.3,84.4,142.3,30.0,129.0,4.3,0.0,3.0,3.0,2.0,3.0,2.0,87.0,9.0,14.0,0.0,0.0,31:16,2017,min,2017-09-11,1.0
0,0,1,Pittsburgh Steelers,9.0,26.0,20.0,38.0,146.0,0.0,0.0,2.0,21.0,4.4,3.7,52.6,62.0,20.0,91.0,4.6,1.0,1.0,1.0,0.0,1.0,6.0,264.0,5.0,15.0,0.0,3.0,25:38,2017,min,2017-09-17,0.5
1,0,0,Tampa Bay Buccaneers,34.0,17.0,25.0,33.0,369.0,3.0,0.0,0.0,0.0,11.2,11.2,75.8,142.1,37.0,125.0,3.4,1.0,2.0,2.0,4.0,4.0,3.0,121.0,7.0,13.0,0.0,0.0,37:46,2017,min,2017-09-24,0.6666666666666666
0,0,0,Detroit Lions,7.0,14.0,16.0,30.0,197.0,0.0,0.0,2.0,22.0,7.3,6.2,53.3,73.9,22.0,87.0,4.0,1.0,0.0,1.0,1.0,1.0,5.0,201.0,3.0,10.0,0.0,1.0,23:33,2017,min,2017-10-01,0.5
1,0,1,Chicago Bears,20.0,17.0,22.0,32.0,141.0,1.0,0.0,4.0,35.0,5.5,3.9,68.8,88.2,31.0,159.0,5.1,1.0,2.0,2.0,2.0,2.0,6.0,258.0,6.0,15.0,0.0,0.0,31:24,2017,min,2017-10-09,0.6
