Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
1,Mon,7:10PM ET,1,0,1-0,0,New Orleans Saints,29.0,19.0,23.0,470.0,341.0,129.0,0.0,19.0,344.0,284.0,60.0,0.0,24.38,-10.01,0.89,2017,1.0,min,2017-09-11
2,Sun,1:00PM ET,0,0,1-1,1,Pittsburgh Steelers,9.0,26.0,14.0,237.0,146.0,91.0,1.0,22.0,335.0,233.0,102.0,0.0,-14.51,-0.48,3.84,2017,0.5,min,2017-09-17
3,Sun,1:00PM ET,1,0,2-1,0,Tampa Bay Buccaneers,34.0,17.0,25.0,494.0,369.0,125.0,0.0,20.0,342.0,316.0,26.0,3.0,22.43,-2.64,-1.8,2017,0.6666666666666666,min,2017-09-24
4,Sun,1:00PM ET,0,0,2-2,0,Detroit Lions,7.0,14.0,15.0,284.0,197.0,87.0,3.0,19.0,251.0,154.0,97.0,0.0,-10.05,5.23,0.21,2017,0.5,min,2017-10-01
5,Mon,8:30PM ET,1,0,3-2,1,Chicago Bears,20.0,17.0,17.0,300.0,141.0,159.0,0.0,16.0,274.0,159.0,115.0,2.0,2.14,3.39,-2.08,2017,0.6,min,2017-10-09
6,Sun,1:00PM ET,1,0,4-2,0,Green Bay Packers,23.0,10.0,24.0,351.0,239.0,112.0,2.0,14.0,227.0,155.0,72.0,3.0,-4.65,17.19,-2.65,2017,0.6666666666666666,min,2017-10-15
7,Sun,1:00PM ET,1,0,5-2,0,Baltimore Ravens,24.0,16.0,17.0,357.0,188.0,169.0,1.0,16.0,208.0,144.0,64.0,0.0,2.8,3.93,-0.59,2017,0.7142857142857143,min,2017-10-22
8,Sun,9:30AM ET,1,0,6-2,1,Cleveland Browns,33.0,16.0,26.0,375.0,287.0,88.0,1.0,16.0,276.0,161.0,115.0,2.0,8.79,4.53,0.63,2017,0.75,min,2017-10-29
10,Sun,1:00PM ET,1,0,7-2,1,Washington Redskins,38.0,30.0,21.0,406.0,304.0,102.0,2.0,24.0,394.0,313.0,81.0,1.0,8.57,-5.61,1.0,2017,0.7777777777777778,min,2017-11-12
11,Sun,1:00PM ET,1,0,8-2,0,Los Angeles Rams,24.0,7.0,27.0,451.0,280.0,171.0,0.0,15.0,254.0,209.0,45.0,1.0,18.47,4.81,-5.97,2017,0.8,min,2017-11-19
12,Thu,12:30PM ET,1,0,9-2,1,Detroit Lions,30.0,23.0,28.0,408.0,272.0,136.0,0.0,17.0,289.0,236.0,53.0,2.0,14.39,1.95,-5.37,2017,0.8181818181818182,min,2017-11-23
13,Sun,1:00PM ET,1,0,10-2,1,Atlanta Falcons,14.0,9.0,22.0,312.0,207.0,105.0,0.0,15.0,275.0,173.0,102.0,0.0,5.93,0.67,1.97,2017,0.8333333333333334,min,2017-12-03
14,Sun,1:00PM ET,0,0,10-3,1,Carolina Panthers,24.0,31.0,21.0,356.0,256.0,100.0,3.0,15.0,345.0,129.0,216.0,1.0,-2.26,-5.54,1.07,2017,0.7692307692307693,min,2017-12-10
15,Sun,1:00PM ET,1,0,11-3,0,Cincinnati Bengals,34.0,7.0,18.0,346.0,222.0,124.0,1.0,8.0,161.0,115.0,46.0,2.0,3.03,26.85,-3.2,2017,0.7857142857142857,min,2017-12-17
16,Sat,8:30PM ET,1,0,12-3,1,Green Bay Packers,16.0,0.0,15.0,236.0,124.0,112.0,0.0,12.0,239.0,126.0,113.0,2.0,-4.52,23.46,-3.17,2017,0.8,min,2017-12-23
17,Sun,1:00PM ET,1,0,13-3,0,Chicago Bears,23.0,10.0,21.0,327.0,180.0,147.0,0.0,12.0,201.0,171.0,30.0,0.0,6.33,18.03,-13.52,2017,0.8125,min,2017-12-31
Division,Sun,4:40PM ET,1,0,14-3,0,New Orleans Saints,29.0,24.0,24.0,403.0,308.0,95.0,1.0,23.0,358.0,278.0,80.0,2.0,12.63,-5.49,-2.99,2017,0.8235294117647058,min,2017-01-14
Conf. Champ.,Sun,6:40PM ET,0,0,14-4,1,Philadelphia Eagles,7.0,38.0,22.0,333.0,263.0,70.0,3.0,27.0,456.0,346.0,110.0,0.0,-9.11,-25.85,4.48,2017,0.7777777777777778,min,2017-01-21
1,Sun,1:00PM ET,1,0,1-0,0,San Francisco 49ers,24.0,16.0,19.0,343.0,227.0,116.0,1.0,20.0,327.0,237.0,90.0,4.0,-2.96,12.02,-1.7,2018,1.0,min,2018-09-09
2,Sun,1:00PM ET,0,1,1-0-1,1,Green Bay Packers,29.0,29.0,24.0,480.0,412.0,68.0,1.0,24.0,351.0,253.0,98.0,0.0,16.42,-4.92,-11.5,2018,0.5,min,2018-09-16
3,Sun,1:00PM ET,0,0,1-1-1,0,Buffalo Bills,6.0,27.0,21.0,292.0,278.0,14.0,3.0,16.0,292.0,164.0,128.0,0.0,-10.71,-3.26,-3.62,2018,0.3333333333333333,min,2018-09-23
4,Thu,8:20PM ET,0,0,1-2-1,1,Los Angeles Rams,31.0,38.0,25.0,446.0,392.0,54.0,1.0,25.0,556.0,456.0,100.0,0.0,15.88,-33.75,6.96,2018,0.25,min,2018-09-27
