PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Timestamp,Week,Day,Time,W/L,OT,Record,@,Opp,TmScore,OppScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,Team,Year,month,year,Avg3Game,Avg6Game,Win%
20.0,36.0,227.0,2.0,0.0,3.0,17.0,6.8,55.6,93.2,32.0,116.0,3.6,0.0,1.0,1.0,3.0,3.0,6.0,230.0,7.0,17.0,0.0,1.0,31:09,2018-09-09,1,Sun,1:00PM ET,1,0,1-0,0,San Francisco 49ers,24.0,16.0,19.0,343.0,227.0,116.0,1.0,20.0,327.0,237.0,90.0,4.0,-2.96,12.02,-1.7,min,2018,9,2018,,,1.0
35.0,48.0,412.0,4.0,1.0,2.0,13.0,8.9,72.9,117.7,18.0,68.0,3.8,0.0,0.0,3.0,3.0,3.0,5.0,204.0,7.0,14.0,0.0,0.0,31:52,2018-09-16,2,Sun,1:00PM ET,0,1,1-0-1,1,Green Bay Packers,29.0,29.0,24.0,480.0,412.0,68.0,1.0,24.0,351.0,253.0,98.0,0.0,16.42,-4.92,-11.5,min,2018,9,2018,,,0.5
40.0,55.0,278.0,1.0,1.0,4.0,18.0,5.4,72.7,82.2,6.0,14.0,2.3,0.0,0.0,0.0,0.0,0.0,5.0,259.0,5.0,14.0,0.0,1.0,24:15,2018-09-23,3,Sun,1:00PM ET,0,0,1-1-1,0,Buffalo Bills,6.0,27.0,21.0,292.0,278.0,14.0,3.0,16.0,292.0,164.0,128.0,0.0,-10.71,-3.26,-3.62,min,2018,9,2018,19.666666666666668,,0.3333333333333333
36.0,50.0,392.0,3.0,0.0,4.0,30.0,8.4,72.0,114.7,17.0,54.0,3.2,0.0,3.0,3.0,2.0,2.0,4.0,159.0,8.0,16.0,2.0,2.0,32:14,2018-09-27,4,Thu,8:20PM ET,0,0,1-2-1,1,Los Angeles Rams,31.0,38.0,25.0,446.0,392.0,54.0,1.0,25.0,556.0,456.0,100.0,0.0,15.88,-33.75,6.96,min,2018,9,2018,22.0,,0.25
30.0,37.0,298.0,1.0,0.0,1.0,3.0,8.1,81.1,109.2,23.0,77.0,3.3,0.0,3.0,5.0,2.0,2.0,2.0,78.0,4.0,11.0,0.0,0.0,32:47,2018-10-07,5,Sun,4:25PM ET,1,0,2-2-1,1,Philadelphia Eagles,23.0,21.0,19.0,375.0,298.0,77.0,1.0,21.0,364.0,283.0,81.0,2.0,4.35,1.97,-3.83,min,2018,10,2018,20.0,,0.4
24.0,34.0,216.0,1.0,1.0,4.0,17.0,6.9,70.6,84.9,32.0,195.0,6.1,2.0,2.0,2.0,3.0,3.0,5.0,225.0,5.0,14.0,0.0,1.0,34:22,2018-10-14,6,Sun,1:00PM ET,1,0,3-2-1,0,Arizona Cardinals,27.0,17.0,20.0,411.0,216.0,195.0,2.0,16.0,268.0,208.0,60.0,2.0,-3.32,14.2,0.88,min,2018,10,2018,27.0,23.333333333333332,0.5
25.0,40.0,228.0,2.0,0.0,1.0,13.0,6.0,62.5,94.6,24.0,88.0,3.7,2.0,3.0,4.0,4.0,4.0,8.0,382.0,2.0,15.0,1.0,1.0,32:11,2018-10-21,7,Sun,1:00PM ET,1,0,4-2-1,1,New York Jets,37.0,17.0,15.0,316.0,228.0,88.0,0.0,16.0,263.0,192.0,71.0,4.0,-2.03,25.19,-3.85,min,2018,10,2018,29.0,25.5,0.5714285714285714
31.0,41.0,338.0,2.0,1.0,4.0,21.0,8.8,75.6,105.5,22.0,85.0,3.9,1.0,0.0,0.0,2.0,3.0,2.0,81.0,5.0,10.0,2.0,3.0,31:23,2018-10-28,8,Sun,8:20PM ET,0,0,4-3-1,0,New Orleans Saints,20.0,30.0,27.0,423.0,338.0,85.0,2.0,17.0,270.0,164.0,106.0,1.0,5.3,-5.19,-6.75,min,2018,10,2018,28.0,24.0,0.5
18.0,22.0,155.0,1.0,1.0,1.0,9.0,7.5,81.8,92.2,23.0,128.0,5.6,1.0,1.0,1.0,3.0,3.0,4.0,163.0,3.0,8.0,1.0,1.0,23:15,2018-11-04,9,Sun,1:00PM ET,1,0,5-3-1,0,Detroit Lions,24.0,9.0,17.0,283.0,155.0,128.0,2.0,18.0,209.0,143.0,66.0,1.0,1.94,16.2,-2.99,min,2018,11,2018,27.0,27.0,0.5555555555555556
30.0,46.0,246.0,2.0,2.0,2.0,16.0,5.7,65.2,75.1,14.0,22.0,1.6,0.0,2.0,2.0,0.0,0.0,4.0,178.0,5.0,12.0,1.0,1.0,25:31,2018-11-18,11,Sun,8:20PM ET,0,0,5-4-1,1,Chicago Bears,20.0,25.0,19.0,268.0,246.0,22.0,3.0,24.0,308.0,160.0,148.0,3.0,-6.9,0.26,0.96,min,2018,11,2018,21.333333333333332,25.166666666666668,0.5
29.0,38.0,325.0,3.0,0.0,2.0,17.0,9.0,76.3,127.6,29.0,91.0,3.1,0.0,1.0,3.0,3.0,3.0,4.0,183.0,7.0,14.0,0.0,1.0,34:37,2018-11-25,12,Sun,8:20PM ET,1,0,6-4-1,0,Green Bay Packers,24.0,17.0,22.0,416.0,325.0,91.0,0.0,14.0,254.0,172.0,82.0,1.0,10.38,-0.78,1.61,min,2018,11,2018,22.666666666666668,25.333333333333332,0.5454545454545454
32.0,44.0,183.0,1.0,2.0,2.0,18.0,4.6,72.7,68.7,13.0,95.0,7.3,0.0,1.0,2.0,1.0,1.0,5.0,228.0,3.0,12.0,1.0,2.0,26:39,2018-12-02,13,Sun,4:25PM ET,0,0,6-5-1,1,New England Patriots,10.0,24.0,16.0,278.0,183.0,95.0,2.0,27.0,471.0,311.0,160.0,1.0,-9.14,-16.1,4.16,min,2018,12,2018,18.0,22.5,0.5
20.0,33.0,199.0,1.0,0.0,2.0,9.0,6.3,60.6,87.8,21.0,77.0,3.7,0.0,0.0,1.0,1.0,1.0,5.0,213.0,2.0,10.0,0.0,2.0,28:11,2018-12-10,14,Mon,8:15PM ET,0,0,6-6-1,1,Seattle Seahawks,7.0,21.0,16.0,276.0,199.0,77.0,1.0,19.0,274.0,60.0,214.0,1.0,-11.31,0.44,-4.28,min,2018,12,2018,13.666666666666666,17.5,0.46153846153846156
14.0,21.0,198.0,2.0,1.0,2.0,17.0,10.2,66.7,108.8,40.0,220.0,5.5,3.0,2.0,2.0,5.0,5.0,3.0,127.0,5.0,13.0,0.0,0.0,33:16,2018-12-16,15,Sun,1:00PM ET,1,0,7-6-1,0,Miami Dolphins,41.0,17.0,22.0,418.0,198.0,220.0,1.0,12.0,193.0,37.0,156.0,0.0,10.62,14.15,1.19,min,2018,12,2018,19.333333333333332,21.0,0.5
21.0,28.0,240.0,3.0,0.0,2.0,13.0,9.0,75.0,136.0,28.0,100.0,3.6,0.0,2.0,2.0,3.0,3.0,6.0,288.0,4.0,13.0,0.0,1.0,28:32,2018-12-23,16,Sun,1:00PM ET,1,0,8-6-1,1,Detroit Lions,27.0,9.0,16.0,340.0,240.0,100.0,0.0,17.0,223.0,137.0,86.0,0.0,1.34,15.37,0.27,min,2018,12,2018,25.0,21.5,0.5333333333333333
20.0,33.0,101.0,1.0,0.0,4.0,31.0,4.0,60.6,75.4,15.0,63.0,4.2,0.0,1.0,1.0,1.0,1.0,5.0,257.0,1.0,11.0,1.0,4.0,22:52,2018-12-30,17,Sun,4:25PM ET,0,0,8-7-1,0,Chicago Bears,10.0,24.0,12.0,164.0,101.0,63.0,0.0,17.0,332.0,163.0,169.0,0.0,-11.59,-9.09,6.78,min,2018,12,2018,26.0,19.833333333333332,0.5
8.0,10.0,97.0,1.0,0.0,1.0,1.0,9.8,80.0,140.4,38.0,172.0,4.5,3.0,0.0,0.0,4.0,4.0,5.0,247.0,5.0,10.0,0.0,0.0,29:47,2019-09-08,1,Sun,1:00PM ET,1,0,1-0,0,Atlanta Falcons,28.0,12.0,18.0,269.0,97.0,172.0,0.0,27.0,345.0,272.0,73.0,3.0,11.05,1.83,4.34,min,2019,9,2019,,,1.0
