W/L,OT,@,Opp,TmScore,OppScore,PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,PassNY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Year,Team,Timestamp,Win%
0,0,0,Oakland Raiders,34.0,35.0,28.0,42.0,419.0,4.0,0.0,1.0,4.0,10.1,9.7,66.7,131.0,22.0,88.0,4.0,0.0,2.0,4.0,4.0,4.0,2.0,95.0,4.0,11.0,1.0,1.0,29:35,2016,nor,2016-09-11,0.0
0,0,1,New York Giants,13.0,16.0,29.0,44.0,247.0,1.0,0.0,2.0,16.0,6.0,5.4,65.9,88.0,13.0,41.0,3.2,0.0,2.0,3.0,1.0,1.0,7.0,383.0,3.0,13.0,0.0,0.0,25:53,2016,nor,2016-09-18,0.0
0,0,0,Atlanta Falcons,32.0,45.0,36.0,54.0,359.0,3.0,1.0,2.0,17.0,7.0,6.4,66.7,96.1,23.0,115.0,5.0,1.0,1.0,1.0,3.0,3.0,2.0,83.0,7.0,13.0,1.0,2.0,32:34,2016,nor,2016-09-26,0.0
1,0,1,San Diego Chargers,35.0,34.0,23.0,36.0,192.0,2.0,2.0,2.0,15.0,5.8,5.1,63.9,72.9,34.0,83.0,2.4,3.0,0.0,0.0,5.0,5.0,5.0,256.0,11.0,18.0,1.0,1.0,32:39,2016,nor,2016-10-02,0.25
1,0,0,Carolina Panthers,41.0,38.0,34.0,49.0,460.0,4.0,1.0,1.0,5.0,9.5,9.2,69.4,117.7,21.0,63.0,3.0,1.0,2.0,3.0,5.0,5.0,4.0,211.0,8.0,16.0,1.0,1.0,28:55,2016,nor,2016-10-16,0.4
0,0,1,Kansas City Chiefs,21.0,27.0,37.0,48.0,359.0,3.0,1.0,1.0,8.0,7.6,7.3,77.1,109.6,22.0,104.0,4.7,0.0,0.0,0.0,3.0,3.0,4.0,193.0,9.0,14.0,0.0,0.0,32:38,2016,nor,2016-10-23,0.3333333333333333
1,0,0,Seattle Seahawks,25.0,20.0,27.0,35.0,252.0,1.0,0.0,2.0,13.0,7.6,6.8,77.1,105.9,35.0,123.0,3.5,1.0,4.0,4.0,1.0,1.0,2.0,92.0,9.0,15.0,0.0,0.0,36:12,2016,nor,2016-10-30,0.42857142857142855
1,0,1,San Francisco 49ers,41.0,23.0,28.0,39.0,323.0,3.0,0.0,1.0,0.0,8.3,8.1,71.8,122.1,42.0,248.0,5.9,2.0,2.0,3.0,5.0,5.0,4.0,210.0,11.0,17.0,0.0,0.0,38:53,2016,nor,2016-11-06,0.5
0,0,0,Denver Broncos,23.0,25.0,21.0,29.0,293.0,3.0,2.0,1.0,10.0,10.4,9.8,72.4,110.3,21.0,80.0,3.8,0.0,1.0,1.0,2.0,3.0,4.0,163.0,4.0,9.0,0.0,0.0,20:38,2016,nor,2016-11-13,0.4444444444444444
0,0,1,Carolina Panthers,20.0,23.0,35.0,44.0,264.0,2.0,1.0,3.0,21.0,6.5,5.6,79.5,97.3,25.0,107.0,4.3,0.0,2.0,3.0,2.0,2.0,3.0,141.0,4.0,13.0,2.0,2.0,32:15,2016,nor,2016-11-17,0.4
