PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Timestamp,Week,Day,Time,W/L,OT,Record,@,Opp,TmScore,OppScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,Team,Year,month,year,Avg3Game,Avg6Game,Win%
37.0,45.0,432.0,3.0,0.0,1.0,7.0,9.8,82.2,128.9,13.0,43.0,3.3,2.0,1.0,1.0,3.0,3.0,3.0,156.0,4.0,9.0,1.0,1.0,27:51,2018-09-09,1,Sun,1:00PM ET,0,0,0-1,0,Tampa Bay Buccaneers,40.0,48.0,26.0,475.0,432.0,43.0,2.0,26.0,529.0,417.0,112.0,0.0,19.83,-29.69,4.9,nor,2018,9,2018,,,0.0
28.0,35.0,213.0,2.0,0.0,3.0,30.0,6.9,80.0,111.1,23.0,62.0,2.7,0.0,2.0,3.0,1.0,1.0,4.0,179.0,3.0,12.0,0.0,0.0,32:41,2018-09-16,2,Sun,1:00PM ET,1,0,1-1,0,Cleveland Browns,21.0,18.0,18.0,275.0,213.0,62.0,2.0,16.0,327.0,234.0,93.0,1.0,-2.16,-2.85,10.01,nor,2018,9,2018,,,0.5
39.0,49.0,391.0,3.0,0.0,1.0,5.0,8.1,79.6,120.3,27.0,143.0,5.3,2.0,3.0,3.0,4.0,4.0,4.0,202.0,7.0,14.0,1.0,1.0,37:45,2018-09-23,3,Sun,1:00PM ET,1,1,2-1,1,Atlanta Falcons,43.0,37.0,32.0,534.0,391.0,143.0,0.0,24.0,407.0,359.0,48.0,0.0,26.85,-20.31,-0.47,nor,2018,9,2018,34.666666666666664,,0.6666666666666666
19.0,34.0,219.0,0.0,0.0,1.0,8.0,6.7,55.9,75.5,32.0,170.0,5.3,3.0,4.0,4.0,3.0,3.0,2.0,95.0,5.0,13.0,1.0,1.0,31:00,2018-09-30,4,Sun,4:25PM ET,1,0,3-1,1,New York Giants,33.0,18.0,25.0,389.0,219.0,170.0,0.0,22.0,299.0,234.0,65.0,2.0,12.86,0.2,2.41,nor,2018,9,2018,32.333333333333336,,0.75
26.0,29.0,349.0,3.0,0.0,2.0,14.0,12.5,89.7,151.3,32.0,98.0,3.1,3.0,1.0,1.0,4.0,5.0,0.0,0.0,5.0,9.0,0.0,0.0,33:17,2018-10-08,5,Mon,8:15PM ET,1,0,4-1,0,Washington Redskins,43.0,19.0,27.0,447.0,349.0,98.0,1.0,18.0,283.0,244.0,39.0,2.0,25.98,6.22,-6.15,nor,2018,10,2018,39.666666666666664,,0.8
22.0,30.0,205.0,2.0,0.0,1.0,7.0,7.1,73.3,113.9,39.0,134.0,3.4,1.0,1.0,1.0,3.0,3.0,2.0,88.0,6.0,14.0,4.0,5.0,33:31,2018-10-21,7,Sun,4:05PM ET,1,0,5-1,1,Baltimore Ravens,24.0,23.0,26.0,339.0,205.0,134.0,1.0,25.0,351.0,274.0,77.0,0.0,12.99,-16.64,7.63,nor,2018,10,2018,33.333333333333336,34.0,0.8333333333333334
19.0,24.0,164.0,1.0,1.0,0.0,0.0,6.8,79.2,91.7,29.0,106.0,3.7,1.0,3.0,3.0,3.0,3.0,2.0,86.0,4.0,9.0,0.0,0.0,28:37,2018-10-28,8,Sun,8:20PM ET,1,0,6-1,1,Minnesota Vikings,30.0,20.0,17.0,270.0,164.0,106.0,1.0,27.0,423.0,338.0,85.0,2.0,5.19,-5.3,6.75,nor,2018,10,2018,32.333333333333336,32.333333333333336,0.8571428571428571
25.0,36.0,346.0,4.0,0.0,0.0,0.0,9.6,69.4,137.0,34.0,141.0,4.1,2.0,1.0,1.0,6.0,6.0,2.0,67.0,7.0,12.0,2.0,2.0,33:41,2018-11-04,9,Sun,4:25PM ET,1,0,7-1,0,Los Angeles Rams,45.0,35.0,31.0,487.0,346.0,141.0,1.0,23.0,483.0,391.0,92.0,1.0,29.05,-20.09,8.53,nor,2018,11,2018,33.0,36.333333333333336,0.875
22.0,27.0,265.0,3.0,0.0,0.0,0.0,9.8,81.5,144.6,47.0,244.0,5.2,3.0,3.0,3.0,6.0,6.0,0.0,0.0,7.0,12.0,1.0,1.0,39:46,2018-11-11,10,Sun,1:00PM ET,1,0,8-1,1,Cincinnati Bengals,51.0,14.0,33.0,509.0,265.0,244.0,0.0,13.0,284.0,174.0,110.0,2.0,34.52,6.87,-4.6,nor,2018,11,2018,42.0,37.666666666666664,0.8888888888888888
23.0,32.0,373.0,4.0,0.0,0.0,0.0,11.7,71.9,150.1,37.0,173.0,4.7,2.0,2.0,2.0,6.0,6.0,2.0,99.0,6.0,11.0,1.0,1.0,37:34,2018-11-18,11,Sun,4:25PM ET,1,0,9-1,0,Philadelphia Eagles,48.0,7.0,28.0,546.0,373.0,173.0,0.0,13.0,196.0,138.0,58.0,3.0,35.64,11.41,-4.02,nor,2018,11,2018,48.0,40.166666666666664,0.9
15.0,22.0,162.0,4.0,1.0,2.0,9.0,7.8,68.2,110.2,31.0,150.0,4.8,0.0,1.0,1.0,4.0,4.0,3.0,144.0,5.0,11.0,0.0,0.0,29:01,2018-11-22,12,Thu,8:20PM ET,1,0,10-1,0,Atlanta Falcons,31.0,17.0,19.0,312.0,162.0,150.0,1.0,21.0,366.0,340.0,26.0,4.0,11.04,2.35,-0.37,nor,2018,11,2018,43.333333333333336,38.166666666666664,0.9090909090909091
18.0,28.0,111.0,1.0,1.0,2.0,16.0,4.5,64.3,69.2,19.0,65.0,3.4,0.0,1.0,1.0,1.0,1.0,4.0,206.0,3.0,11.0,0.0,1.0,23:07,2018-11-29,13,Thu,8:20PM ET,0,0,10-2,1,Dallas Cowboys,10.0,13.0,14.0,176.0,111.0,65.0,1.0,21.0,308.0,209.0,99.0,2.0,-9.57,0.16,1.7,nor,2018,11,2018,29.666666666666668,35.833333333333336,0.8333333333333334
