PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Timestamp,Week,Day,Time,W/L,OT,Record,@,Opp,TmScore,OppScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,Team,Year,month,year,Avg3Game,Avg6Game,Win%
23.0,37.0,210.0,0.0,1.0,2.0,14.0,6.1,62.2,66.3,23.0,114.0,5.0,1.0,3.0,3.0,0.0,0.0,5.0,247.0,4.0,13.0,0.0,2.0,30:29,2018-09-09,1,Sun,1:00PM ET,0,0,0-1,0,Jacksonville Jaguars,15.0,20.0,15.0,324.0,210.0,114.0,2.0,17.0,305.0,168.0,137.0,1.0,-10.37,6.03,-4.61,nyg,2018,9,2018,,,0.0
33.0,44.0,220.0,1.0,0.0,6.0,59.0,6.3,75.0,93.0,17.0,35.0,2.1,0.0,2.0,2.0,1.0,1.0,6.0,260.0,8.0,17.0,2.0,2.0,32:12,2018-09-16,2,Sun,8:20PM ET,0,0,0-2,1,Dallas Cowboys,13.0,20.0,17.0,255.0,220.0,35.0,1.0,16.0,298.0,160.0,138.0,0.0,-3.49,-7.1,3.49,nyg,2018,9,2018,,,0.0
25.0,29.0,265.0,2.0,0.0,4.0,32.0,10.2,86.2,127.7,27.0,114.0,4.2,1.0,2.0,2.0,3.0,3.0,4.0,198.0,7.0,13.0,0.0,0.0,35:30,2018-09-23,3,Sun,1:00PM ET,1,0,1-2,1,Houston Texans,27.0,22.0,21.0,379.0,265.0,114.0,0.0,21.0,427.0,368.0,59.0,2.0,14.9,-6.0,-3.71,nyg,2018,9,2018,18.333333333333332,,0.3333333333333333
31.0,41.0,234.0,1.0,0.0,3.0,21.0,6.2,75.6,97.0,15.0,65.0,4.3,1.0,1.0,1.0,1.0,1.0,4.0,204.0,5.0,10.0,0.0,0.0,29:00,2018-09-30,4,Sun,4:25PM ET,0,0,1-3,0,New Orleans Saints,18.0,33.0,22.0,299.0,234.0,65.0,2.0,25.0,389.0,219.0,170.0,0.0,-0.2,-12.86,-2.41,nyg,2018,9,2018,19.333333333333332,,0.25
23.0,37.0,382.0,3.0,2.0,1.0,1.0,10.4,62.2,101.4,16.0,50.0,3.1,0.0,3.0,3.0,2.0,2.0,2.0,99.0,0.0,7.0,1.0,2.0,24:33,2018-10-07,5,Sun,1:00PM ET,0,0,1-4,1,Carolina Panthers,31.0,33.0,18.0,432.0,382.0,50.0,3.0,21.0,350.0,232.0,118.0,2.0,9.09,-1.96,-7.79,nyg,2018,10,2018,25.333333333333332,,0.2
24.0,43.0,254.0,0.0,1.0,4.0,27.0,6.5,55.8,63.5,17.0,147.0,8.6,1.0,2.0,3.0,1.0,1.0,5.0,253.0,4.0,14.0,0.0,1.0,27:30,2018-10-11,6,Thu,8:20PM ET,0,0,1-5,0,Philadelphia Eagles,13.0,34.0,17.0,401.0,254.0,147.0,1.0,23.0,379.0,271.0,108.0,0.0,-1.39,-16.39,2.22,nyg,2018,10,2018,20.666666666666668,19.5,0.16666666666666666
27.0,38.0,372.0,1.0,0.0,4.0,27.0,10.5,71.1,110.9,20.0,61.0,3.1,1.0,2.0,2.0,0.0,0.0,4.0,163.0,5.0,12.0,0.0,1.0,27:43,2018-10-22,7,Mon,8:15PM ET,0,0,1-6,1,Atlanta Falcons,20.0,23.0,21.0,433.0,372.0,61.0,0.0,22.0,423.0,356.0,67.0,1.0,12.61,-12.04,-2.1,nyg,2018,10,2018,21.333333333333332,20.333333333333332,0.14285714285714285
30.0,47.0,266.0,1.0,2.0,7.0,50.0,6.7,63.8,68.2,14.0,37.0,2.6,0.0,2.0,2.0,1.0,1.0,5.0,220.0,2.0,14.0,3.0,4.0,26:22,2018-10-28,8,Sun,1:00PM ET,0,0,1-7,0,Washington Redskins,13.0,20.0,18.0,303.0,266.0,37.0,2.0,20.0,360.0,178.0,182.0,1.0,-4.74,0.19,-3.53,nyg,2018,10,2018,15.333333333333334,20.333333333333332,0.125
19.0,31.0,180.0,3.0,0.0,1.0,8.0,6.1,61.3,109.6,23.0,97.0,4.2,0.0,2.0,2.0,3.0,3.0,5.0,238.0,5.0,12.0,0.0,0.0,25:46,2018-11-12,10,Mon,8:15PM ET,1,0,2-7,1,San Francisco 49ers,27.0,23.0,17.0,277.0,180.0,97.0,0.0,24.0,374.0,250.0,124.0,2.0,8.85,-6.78,0.26,nyg,2018,11,2018,20.0,20.333333333333332,0.2222222222222222
17.0,18.0,196.0,2.0,0.0,4.0,35.0,12.8,94.4,149.1,31.0,163.0,5.3,2.0,1.0,1.0,5.0,5.0,4.0,166.0,4.0,9.0,0.0,0.0,27:53,2018-11-18,11,Sun,1:00PM ET,1,0,3-7,0,Tampa Bay Buccaneers,38.0,35.0,19.0,359.0,196.0,163.0,0.0,31.0,510.0,359.0,151.0,4.0,16.46,-19.19,5.52,nyg,2018,11,2018,26.0,23.666666666666668,0.3
