Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
1,Sun,1:00PM ET,0,0,0-1,1,Buffalo Bills,12.0,21.0,11.0,214.0,176.0,38.0,2.0,23.0,408.0,218.0,190.0,1.0,-12.4,-6.63,10.09,2017,0.0,nyj,2017-09-10
2,Sun,4:05PM ET,0,0,0-2,1,Oakland Raiders,20.0,45.0,17.0,271.0,145.0,126.0,2.0,21.0,410.0,230.0,180.0,0.0,6.23,-27.55,-2.56,2017,0.0,nyj,2017-09-17
3,Sun,1:00PM ET,1,0,1-2,0,Miami Dolphins,20.0,6.0,16.0,336.0,233.0,103.0,1.0,16.0,225.0,195.0,30.0,2.0,-1.0,14.62,-0.08,2017,0.3333333333333333,nyj,2017-09-24
4,Sun,1:00PM ET,1,1,2-2,0,Jacksonville Jaguars,23.0,20.0,18.0,471.0,215.0,256.0,2.0,20.0,311.0,136.0,175.0,1.0,-6.1,9.03,-0.61,2017,0.5,nyj,2017-10-01
5,Sun,1:00PM ET,1,0,3-2,1,Cleveland Browns,17.0,14.0,14.0,212.0,178.0,34.0,1.0,22.0,419.0,279.0,140.0,3.0,-4.16,-0.76,7.92,2017,0.6,nyj,2017-10-08
6,Sun,1:00PM ET,0,0,3-3,0,New England Patriots,17.0,24.0,23.0,408.0,334.0,74.0,3.0,23.0,375.0,257.0,118.0,2.0,-0.33,-10.44,2.19,2017,0.5,nyj,2017-10-15
7,Sun,1:00PM ET,0,0,3-4,1,Miami Dolphins,28.0,31.0,16.0,272.0,180.0,92.0,2.0,25.0,357.0,304.0,53.0,2.0,-0.88,-2.66,-1.62,2017,0.42857142857142855,nyj,2017-10-22
8,Sun,1:00PM ET,0,0,3-5,0,Atlanta Falcons,20.0,25.0,15.0,279.0,236.0,43.0,1.0,18.0,386.0,246.0,140.0,2.0,0.84,0.97,-6.89,2017,0.375,nyj,2017-10-29
9,Thu,8:25PM ET,1,0,4-5,0,Buffalo Bills,34.0,21.0,21.0,331.0,137.0,194.0,0.0,21.0,307.0,244.0,63.0,3.0,10.47,6.85,-2.75,2017,0.4444444444444444,nyj,2017-11-02
10,Sun,1:00PM ET,0,0,4-6,1,Tampa Bay Buccaneers,10.0,15.0,15.0,275.0,219.0,56.0,2.0,17.0,271.0,181.0,90.0,1.0,-11.91,5.19,0.07,2017,0.4,nyj,2017-11-12
12,Sun,1:00PM ET,0,0,4-7,0,Carolina Panthers,27.0,35.0,21.0,391.0,282.0,109.0,1.0,17.0,299.0,154.0,145.0,0.0,2.82,-0.41,-7.0,2017,0.36363636363636365,nyj,2017-11-26
13,Sun,1:00PM ET,1,0,5-7,0,Kansas City Chiefs,38.0,31.0,30.0,488.0,331.0,157.0,0.0,17.0,474.0,362.0,112.0,0.0,22.03,-23.64,3.93,2017,0.4166666666666667,nyj,2017-12-03
14,Sun,4:05PM ET,0,0,5-8,1,Denver Broncos,0.0,23.0,6.0,100.0,41.0,59.0,2.0,17.0,273.0,189.0,84.0,0.0,-25.71,-0.54,2.13,2017,0.38461538461538464,nyj,2017-12-10
15,Sun,1:00PM ET,0,0,5-9,1,New Orleans Saints,19.0,31.0,19.0,294.0,170.0,124.0,2.0,23.0,412.0,281.0,131.0,3.0,-2.56,-6.75,-3.82,2017,0.35714285714285715,nyj,2017-12-17
16,Sun,1:00PM ET,0,0,5-10,0,Los Angeles Chargers,7.0,14.0,13.0,295.0,98.0,197.0,3.0,21.0,379.0,290.0,89.0,0.0,-12.19,-4.02,7.61,2017,0.3333333333333333,nyj,2017-12-24
17,Sun,1:00PM ET,0,0,5-11,1,New England Patriots,6.0,26.0,14.0,247.0,207.0,40.0,0.0,28.0,330.0,183.0,147.0,0.0,-8.84,-9.07,-1.73,2017,0.3125,nyj,2017-12-31
1,Mon,7:10PM ET,1,0,1-0,1,Detroit Lions,48.0,17.0,18.0,349.0,180.0,169.0,2.0,20.0,339.0,300.0,39.0,5.0,4.69,16.54,10.55,2018,1.0,nyj,2018-09-10
2,Sun,1:00PM ET,0,0,1-1,0,Miami Dolphins,12.0,20.0,21.0,362.0,320.0,42.0,3.0,18.0,257.0,122.0,135.0,2.0,-8.87,2.02,0.32,2018,0.5,nyj,2018-09-16
3,Thu,8:20PM ET,0,0,1-2,1,Cleveland Browns,17.0,21.0,14.0,268.0,161.0,107.0,3.0,20.0,323.0,190.0,133.0,0.0,-10.59,-0.16,6.79,2018,0.3333333333333333,nyj,2018-09-20
