PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Timestamp,Week,Day,Time,W/L,OT,Record,@,Opp,TmScore,OppScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,Team,Year,month,year,Avg3Game,Avg6Game,Win%
16.0,21.0,180.0,2.0,1.0,2.0,18.0,9.4,76.2,113.2,36.0,169.0,4.7,2.0,2.0,2.0,6.0,6.0,3.0,112.0,6.0,14.0,2.0,3.0,33:07,2018-09-10,1,Mon,7:10PM ET,1,0,1-0,1,Detroit Lions,48.0,17.0,18.0,349.0,180.0,169.0,2.0,20.0,339.0,300.0,39.0,5.0,4.69,16.54,10.55,nyj,2018,9,2018,,,1.0
25.0,41.0,320.0,1.0,2.0,3.0,14.0,8.1,61.0,73.2,19.0,42.0,2.2,0.0,2.0,2.0,0.0,1.0,5.0,263.0,3.0,10.0,0.0,0.0,31:35,2018-09-16,2,Sun,1:00PM ET,0,0,1-1,0,Miami Dolphins,12.0,20.0,21.0,362.0,320.0,42.0,3.0,18.0,257.0,122.0,135.0,2.0,-8.87,2.02,0.32,nyj,2018,9,2018,,,0.5
15.0,31.0,161.0,0.0,2.0,2.0,8.0,5.5,48.4,37.2,30.0,107.0,3.6,2.0,1.0,1.0,2.0,2.0,7.0,344.0,6.0,15.0,1.0,1.0,29:08,2018-09-20,3,Thu,8:20PM ET,0,0,1-2,1,Cleveland Browns,17.0,21.0,14.0,268.0,161.0,107.0,3.0,20.0,323.0,190.0,133.0,0.0,-10.59,-0.16,6.79,nyj,2018,9,2018,25.666666666666668,,0.3333333333333333
17.0,34.0,144.0,1.0,0.0,3.0,23.0,4.9,50.0,71.2,14.0,34.0,2.4,0.0,2.0,2.0,0.0,0.0,7.0,345.0,3.0,13.0,0.0,1.0,22:25,2018-09-30,4,Sun,1:00PM ET,0,0,1-3,1,Jacksonville Jaguars,12.0,31.0,10.0,178.0,144.0,34.0,0.0,23.0,503.0,377.0,126.0,3.0,-11.57,-4.35,2.04,nyj,2018,9,2018,13.666666666666666,,0.25
10.0,22.0,189.0,3.0,1.0,1.0,9.0,9.0,45.5,96.4,38.0,323.0,8.5,1.0,2.0,3.0,4.0,4.0,3.0,134.0,6.0,13.0,0.0,0.0,28:54,2018-10-07,5,Sun,1:00PM ET,1,0,2-3,0,Denver Broncos,34.0,16.0,18.0,512.0,189.0,323.0,2.0,26.0,436.0,344.0,92.0,1.0,16.16,0.21,0.78,nyj,2018,10,2018,21.0,,0.4
24.0,30.0,267.0,2.0,1.0,2.0,13.0,9.3,80.0,112.1,36.0,107.0,3.0,0.0,7.0,7.0,3.0,3.0,1.0,43.0,6.0,15.0,0.0,0.0,37:02,2018-10-14,6,Sun,1:00PM ET,1,0,3-3,0,Indianapolis Colts,42.0,34.0,18.0,374.0,267.0,107.0,2.0,24.0,428.0,301.0,127.0,4.0,1.27,5.04,-4.11,nyj,2018,10,2018,29.333333333333332,27.5,0.5
17.0,42.0,192.0,1.0,3.0,3.0,14.0,4.9,40.5,33.0,24.0,71.0,3.0,1.0,1.0,1.0,2.0,2.0,8.0,377.0,2.0,13.0,1.0,2.0,27:49,2018-10-21,7,Sun,1:00PM ET,0,0,3-4,0,Minnesota Vikings,17.0,37.0,16.0,263.0,192.0,71.0,4.0,15.0,316.0,228.0,88.0,0.0,-25.19,2.03,3.85,nyj,2018,10,2018,31.0,22.333333333333332,0.42857142857142855
14.0,29.0,150.0,1.0,0.0,1.0,3.0,5.3,48.3,75.4,24.0,57.0,2.4,0.0,1.0,1.0,1.0,1.0,8.0,337.0,3.0,14.0,1.0,1.0,27:16,2018-10-28,8,Sun,1:00PM ET,0,0,3-5,1,Chicago Bears,10.0,24.0,12.0,207.0,150.0,57.0,0.0,22.0,395.0,216.0,179.0,0.0,-6.25,-15.66,9.71,nyj,2018,10,2018,23.0,22.0,0.375
21.0,39.0,202.0,0.0,4.0,4.0,27.0,5.9,53.8,29.0,21.0,80.0,3.8,0.0,2.0,3.0,0.0,0.0,6.0,277.0,2.0,13.0,0.0,2.0,31:34,2018-11-04,9,Sun,1:00PM ET,0,0,3-6,1,Miami Dolphins,6.0,13.0,15.0,282.0,202.0,80.0,4.0,7.0,168.0,104.0,64.0,0.0,-18.82,16.51,-3.31,nyj,2018,11,2018,11.0,20.166666666666668,0.3333333333333333
17.0,34.0,116.0,0.0,2.0,3.0,19.0,4.0,50.0,33.5,18.0,83.0,4.6,1.0,1.0,1.0,1.0,1.0,7.0,312.0,1.0,12.0,2.0,3.0,20:38,2018-11-11,10,Sun,1:00PM ET,0,0,3-7,0,Buffalo Bills,10.0,41.0,12.0,199.0,116.0,83.0,2.0,23.0,451.0,239.0,212.0,0.0,-15.96,-16.35,-5.86,nyj,2018,11,2018,8.666666666666666,19.833333333333332,0.3
