Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
1,Sun,1:00PM ET,0,0,0-1,0,Oakland Raiders,16.0,26.0,21.0,350.0,255.0,95.0,0.0,22.0,359.0,250.0,109.0,0.0,9.12,-12.55,-7.62,2017,0.0,oti,2017-09-10
2,Sun,1:00PM ET,1,0,1-1,1,Jacksonville Jaguars,37.0,16.0,21.0,390.0,211.0,179.0,1.0,20.0,310.0,211.0,99.0,3.0,10.55,5.77,3.7,2017,0.5,oti,2017-09-17
3,Sun,4:05PM ET,1,0,2-1,0,Seattle Seahawks,33.0,27.0,21.0,420.0,225.0,195.0,0.0,24.0,433.0,364.0,69.0,0.0,13.49,-8.74,3.82,2017,0.6666666666666666,oti,2017-09-24
4,Sun,1:00PM ET,0,0,2-2,1,Houston Texans,14.0,57.0,9.0,195.0,109.0,86.0,5.0,33.0,445.0,272.0,173.0,1.0,-20.24,-27.31,3.14,2017,0.5,oti,2017-10-01
5,Sun,1:00PM ET,0,0,2-3,1,Miami Dolphins,10.0,16.0,14.0,188.0,119.0,69.0,2.0,12.0,178.0,78.0,100.0,2.0,-25.61,20.39,0.74,2017,0.4,oti,2017-10-08
6,Mon,8:30PM ET,1,0,3-3,0,Indianapolis Colts,36.0,22.0,25.0,473.0,305.0,168.0,1.0,18.0,297.0,212.0,85.0,1.0,15.36,0.45,-3.68,2017,0.5,oti,2017-10-16
7,Sun,1:00PM ET,1,1,4-3,1,Cleveland Browns,12.0,9.0,16.0,269.0,189.0,80.0,1.0,19.0,284.0,218.0,66.0,3.0,-13.07,16.43,-0.4,2017,0.5714285714285714,oti,2017-10-22
9,Sun,1:00PM ET,1,0,5-3,0,Baltimore Ravens,23.0,20.0,14.0,257.0,186.0,71.0,1.0,24.0,341.0,268.0,73.0,2.0,0.73,-0.66,4.0,2017,0.625,oti,2017-11-05
10,Sun,1:00PM ET,1,0,6-3,0,Cincinnati Bengals,24.0,20.0,27.0,416.0,236.0,180.0,2.0,15.0,308.0,255.0,53.0,2.0,2.76,4.44,-4.42,2017,0.6666666666666666,oti,2017-11-12
11,Thu,8:25PM ET,0,0,6-4,1,Pittsburgh Steelers,17.0,40.0,17.0,316.0,264.0,52.0,4.0,25.0,349.0,284.0,65.0,0.0,-10.68,-10.02,-4.56,2017,0.6,oti,2017-11-16
12,Sun,1:00PM ET,1,0,7-4,1,Indianapolis Colts,20.0,16.0,19.0,276.0,184.0,92.0,2.0,15.0,254.0,165.0,89.0,1.0,0.56,7.31,-0.32,2017,0.6363636363636364,oti,2017-11-26
13,Sun,1:00PM ET,1,0,8-4,0,Houston Texans,24.0,13.0,19.0,344.0,146.0,198.0,1.0,24.0,384.0,331.0,53.0,1.0,18.55,-3.6,-2.53,2017,0.6666666666666666,oti,2017-12-03
14,Sun,4:05PM ET,0,0,8-5,1,Arizona Cardinals,7.0,12.0,14.0,204.0,139.0,65.0,2.0,16.0,261.0,125.0,136.0,0.0,-18.35,8.75,-0.07,2017,0.6153846153846154,oti,2017-12-10
15,Sun,4:25PM ET,0,0,8-6,1,San Francisco 49ers,23.0,25.0,23.0,328.0,238.0,90.0,1.0,23.0,414.0,363.0,51.0,0.0,10.46,-13.08,0.42,2017,0.5714285714285714,oti,2017-12-17
16,Sun,1:00PM ET,0,0,8-7,0,Los Angeles Rams,23.0,27.0,19.0,366.0,269.0,97.0,1.0,20.0,402.0,286.0,116.0,1.0,0.11,-8.64,4.53,2017,0.5333333333333333,oti,2017-12-24
17,Sun,4:25PM ET,1,0,9-7,0,Jacksonville Jaguars,15.0,10.0,11.0,232.0,116.0,116.0,1.0,13.0,229.0,146.0,83.0,4.0,-21.56,18.15,10.19,2017,0.5625,oti,2017-12-31
Wild Card,Sat,4:35PM ET,1,0,10-7,1,Kansas City Chiefs,22.0,21.0,23.0,397.0,195.0,202.0,2.0,19.0,325.0,256.0,69.0,0.0,11.23,-6.97,-3.21,2017,0.5882352941176471,oti,2017-01-06
Division,Sat,8:15PM ET,0,0,10-8,1,New England Patriots,14.0,35.0,15.0,267.0,202.0,65.0,0.0,31.0,438.0,337.0,101.0,0.0,-2.0,-25.58,7.65,2017,0.5555555555555556,oti,2017-01-13
1,Sun,1:00PM ET,0,0,0-1,1,Miami Dolphins,20.0,27.0,19.0,336.0,220.0,116.0,3.0,18.0,342.0,222.0,120.0,2.0,-14.51,3.23,3.3,2018,0.0,oti,2018-09-09
2,Sun,1:00PM ET,1,0,1-1,0,Houston Texans,20.0,17.0,15.0,283.0,183.0,100.0,0.0,21.0,437.0,289.0,148.0,1.0,-5.08,-12.07,14.87,2018,0.5,oti,2018-09-16
