Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
1,Sun,1:00PM ET,1,0,1-0,1,Washington Redskins,30.0,17.0,19.0,356.0,298.0,58.0,2.0,16.0,264.0,200.0,64.0,4.0,-2.95,12.95,4.05,2017,1.0,phi,2017-09-10
2,Sun,1:00PM ET,0,0,1-1,1,Kansas City Chiefs,20.0,27.0,27.0,406.0,299.0,107.0,2.0,16.0,344.0,232.0,112.0,0.0,10.61,-11.61,-3.6,2017,0.5,phi,2017-09-17
3,Sun,1:00PM ET,1,0,2-1,0,New York Giants,27.0,24.0,24.0,354.0,161.0,193.0,1.0,21.0,415.0,366.0,49.0,2.0,8.14,-5.7,-0.22,2017,0.6666666666666666,phi,2017-09-24
4,Sun,4:05PM ET,1,0,3-1,1,Los Angeles Chargers,26.0,24.0,26.0,454.0,240.0,214.0,0.0,18.0,400.0,342.0,58.0,1.0,18.04,-16.92,3.88,2017,0.75,phi,2017-10-01
5,Sun,1:00PM ET,1,0,4-1,0,Arizona Cardinals,34.0,7.0,19.0,419.0,297.0,122.0,1.0,16.0,307.0,276.0,31.0,1.0,16.42,3.67,5.58,2017,0.8,phi,2017-10-08
6,Thu,8:25PM ET,1,0,5-1,1,Carolina Panthers,28.0,23.0,15.0,310.0,209.0,101.0,1.0,23.0,305.0,225.0,80.0,3.0,-0.91,6.23,1.91,2017,0.8333333333333334,phi,2017-10-12
7,Mon,8:30PM ET,1,0,6-1,0,Washington Redskins,34.0,24.0,23.0,371.0,244.0,127.0,1.0,19.0,344.0,269.0,75.0,1.0,15.57,-3.7,0.77,2017,0.8571428571428571,phi,2017-10-23
8,Sun,1:00PM ET,1,0,7-1,0,San Francisco 49ers,33.0,10.0,19.0,304.0,192.0,112.0,1.0,14.0,238.0,144.0,94.0,2.0,3.12,18.94,1.57,2017,0.875,phi,2017-10-29
9,Sun,1:00PM ET,1,0,8-1,0,Denver Broncos,51.0,23.0,25.0,419.0,222.0,197.0,1.0,14.0,226.0,191.0,35.0,2.0,16.4,17.51,-8.3,2017,0.8888888888888888,phi,2017-11-05
11,Sun,8:30PM ET,1,0,9-1,1,Dallas Cowboys,37.0,9.0,17.0,383.0,168.0,215.0,0.0,14.0,225.0,113.0,112.0,4.0,15.09,23.68,-12.66,2017,0.9,phi,2017-11-19
12,Sun,1:00PM ET,1,0,10-1,0,Chicago Bears,31.0,3.0,24.0,420.0,244.0,176.0,3.0,8.0,140.0,134.0,6.0,2.0,8.35,21.79,-0.54,2017,0.9090909090909091,phi,2017-11-26
13,Sun,8:30PM ET,0,0,10-2,1,Seattle Seahawks,10.0,24.0,25.0,425.0,327.0,98.0,2.0,20.0,310.0,209.0,101.0,0.0,3.98,-12.23,-1.93,2017,0.8333333333333334,phi,2017-12-03
