Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
1,Mon,10:20PM ET,0,0,0-1,1,San Francisco 49ers,0.0,28.0,10.0,185.0,120.0,65.0,2.0,28.0,320.0,170.0,150.0,1.0,-25.61,-5.1,3.9,2016,0.0,ram,2016-09-12
2,Sun,4:08PM ET,1,0,1-1,0,Seattle Seahawks,9.0,3.0,17.0,283.0,219.0,64.0,0.0,17.0,306.0,239.0,67.0,1.0,0.61,4.15,1.8,2016,0.5,ram,2016-09-18
3,Sun,4:05PM ET,1,0,2-1,1,Tampa Bay Buccaneers,37.0,32.0,18.0,320.0,183.0,137.0,2.0,30.0,472.0,389.0,83.0,2.0,0.44,-4.85,5.57,2016,0.6666666666666666,ram,2016-09-25
4,Sun,4:25PM ET,1,0,3-1,1,Arizona Cardinals,17.0,13.0,12.0,288.0,247.0,41.0,1.0,26.0,420.0,302.0,118.0,5.0,-4.82,3.21,5.82,2016,0.75,ram,2016-10-02
5,Sun,4:25PM ET,0,0,3-2,0,Buffalo Bills,19.0,30.0,23.0,345.0,243.0,102.0,3.0,15.0,305.0,112.0,193.0,0.0,-8.61,-5.28,0.71,2016,0.6,ram,2016-10-09
6,Sun,1:02PM ET,0,0,3-3,1,Detroit Lions,28.0,31.0,23.0,387.0,311.0,76.0,1.0,20.0,348.0,265.0,83.0,0.0,19.64,-20.72,-2.35,2016,0.5,ram,2016-10-16
7,Sun,9:31AM ET,0,0,3-4,0,New York Giants,10.0,17.0,20.0,345.0,271.0,74.0,4.0,13.0,232.0,196.0,36.0,1.0,-15.23,9.64,-0.3,2016,0.42857142857142855,ram,2016-10-23
9,Sun,4:05PM ET,0,0,3-5,0,Carolina Panthers,10.0,13.0,18.0,339.0,280.0,59.0,1.0,16.0,244.0,185.0,59.0,0.0,-1.87,1.39,-4.24,2016,0.375,ram,2016-11-06
10,Sun,1:00PM ET,1,0,4-5,1,New York Jets,9.0,6.0,16.0,280.0,155.0,125.0,0.0,17.0,296.0,157.0,139.0,1.0,-8.49,2.43,6.6,2016,0.4444444444444444,ram,2016-11-13
11,Sun,4:05PM ET,0,0,4-6,0,Miami Dolphins,10.0,14.0,12.0,227.0,125.0,102.0,1.0,17.0,240.0,142.0,98.0,1.0,-11.35,6.13,3.45,2016,0.4,ram,2016-11-20
12,Sun,1:00PM ET,0,0,4-7,1,New Orleans Saints,21.0,49.0,13.0,247.0,178.0,69.0,2.0,27.0,555.0,346.0,209.0,1.0,-9.75,-29.28,10.18,2016,0.36363636363636365,ram,2016-11-27
13,Sun,1:00PM ET,0,0,4-8,1,New England Patriots,10.0,26.0,7.0,162.0,126.0,36.0,2.0,20.0,402.0,269.0,133.0,0.0,-18.27,-3.25,6.34,2016,0.3333333333333333,ram,2016-12-04
14,Sun,4:25PM ET,0,0,4-9,0,Atlanta Falcons,14.0,42.0,21.0,312.0,208.0,104.0,5.0,18.0,286.0,220.0,66.0,0.0,-17.65,-5.86,-3.65,2016,0.3076923076923077,ram,2016-12-11
15,Thu,8:25PM ET,0,0,4-10,1,Seattle Seahawks,3.0,24.0,13.0,183.0,136.0,47.0,0.0,19.0,299.0,227.0,72.0,1.0,-16.3,-10.43,5.3,2016,0.2857142857142857,ram,2016-12-15
16,Sat,4:25PM ET,0,0,4-11,0,San Francisco 49ers,21.0,22.0,13.0,177.0,78.0,99.0,2.0,21.0,323.0,253.0,70.0,2.0,-10.68,4.52,8.08,2016,0.26666666666666666,ram,2016-12-24
17,Sun,4:25PM ET,0,0,4-12,0,Arizona Cardinals,6.0,44.0,9.0,123.0,71.0,52.0,3.0,21.0,344.0,260.0,84.0,2.0,-39.25,-5.82,4.75,2016,0.25,ram,2016-01-01
1,Sun,4:05PM ET,1,0,1-0,0,Indianapolis Colts,46.0,9.0,19.0,373.0,310.0,63.0,1.0,10.0,225.0,150.0,75.0,3.0,7.24,27.68,0.19,2017,1.0,ram,2017-09-10
2,Sun,4:25PM ET,0,0,1-1,0,Washington Redskins,20.0,27.0,14.0,332.0,235.0,97.0,2.0,21.0,385.0,156.0,229.0,0.0,-0.97,-12.39,2.95,2017,0.5,ram,2017-09-17
3,Thu,8:25PM ET,1,0,2-1,1,San Francisco 49ers,41.0,39.0,26.0,418.0,292.0,126.0,2.0,25.0,421.0,308.0,113.0,2.0,25.2,-5.71,-12.79,2017,0.6666666666666666,ram,2017-09-21
4,Sun,1:00PM ET,1,0,3-1,1,Dallas Cowboys,35.0,30.0,24.0,412.0,244.0,168.0,0.0,22.0,440.0,251.0,189.0,2.0,13.53,-14.94,9.26,2017,0.75,ram,2017-10-01
5,Sun,4:05PM ET,0,0,3-2,0,Seattle Seahawks,10.0,16.0,21.0,375.0,275.0,100.0,5.0,15.0,241.0,179.0,62.0,2.0,-10.81,14.79,-9.52,2017,0.6,ram,2017-10-08
6,Sun,4:05PM ET,1,0,4-2,1,Jacksonville Jaguars,27.0,17.0,12.0,249.0,107.0,142.0,1.0,19.0,389.0,220.0,169.0,1.0,-10.07,-1.87,24.11,2017,0.6666666666666666,ram,2017-10-15
7,Sun,1:00PM ET,1,0,5-2,0,Arizona Cardinals,33.0,0.0,28.0,425.0,228.0,197.0,1.0,10.0,196.0,171.0,25.0,2.0,13.79,16.63,4.82,2017,0.7142857142857143,ram,2017-10-22
9,Sun,1:00PM ET,1,0,6-2,1,New York Giants,51.0,17.0,20.0,473.0,311.0,162.0,0.0,17.0,319.0,208.0,111.0,3.0,24.14,4.66,4.36,2017,0.75,ram,2017-11-05
10,Sun,4:05PM ET,1,0,7-2,0,Houston Texans,33.0,7.0,19.0,443.0,339.0,104.0,0.0,17.0,283.0,194.0,89.0,4.0,7.2,16.14,2.86,2017,0.7777777777777778,ram,2017-11-12
11,Sun,1:00PM ET,0,0,7-3,1,Minnesota Vikings,7.0,24.0,15.0,254.0,209.0,45.0,1.0,27.0,451.0,280.0,171.0,0.0,-4.81,-18.47,5.97,2017,0.7,ram,2017-11-19
12,Sun,4:25PM ET,1,0,8-3,0,New Orleans Saints,26.0,20.0,24.0,415.0,327.0,88.0,1.0,14.0,346.0,223.0,123.0,0.0,11.8,-4.47,-3.72,2017,0.7272727272727273,ram,2017-11-26
13,Sun,4:25PM ET,1,0,9-3,1,Arizona Cardinals,32.0,16.0,18.0,303.0,213.0,90.0,1.0,19.0,305.0,187.0,118.0,2.0,2.4,8.56,3.31,2017,0.75,ram,2017-12-03
14,Sun,4:25PM ET,0,0,9-4,0,Philadelphia Eagles,35.0,43.0,17.0,307.0,198.0,109.0,2.0,29.0,455.0,316.0,139.0,1.0,2.69,-15.32,5.62,2017,0.6923076923076923,ram,2017-12-10
15,Sun,4:05PM ET,1,0,10-4,1,Seattle Seahawks,42.0,7.0,19.0,352.0,108.0,244.0,1.0,11.0,149.0,71.0,78.0,2.0,4.78,20.02,6.47,2017,0.7142857142857143,ram,2017-12-17
16,Sun,1:00PM ET,1,0,11-4,1,Tennessee Titans,27.0,23.0,20.0,402.0,286.0,116.0,1.0,19.0,366.0,269.0,97.0,1.0,8.64,-0.11,-4.53,2017,0.7333333333333333,ram,2017-12-24
17,Sun,4:25PM ET,0,0,11-5,0,San Francisco 49ers,13.0,34.0,15.0,251.0,149.0,102.0,2.0,25.0,461.0,292.0,169.0,3.0,-8.87,-9.97,-1.57,2017,0.6875,ram,2017-12-31
Wild Card,Sat,8:15PM ET,0,0,11-6,0,Atlanta Falcons,13.0,26.0,19.0,361.0,246.0,115.0,2.0,20.0,322.0,198.0,124.0,0.0,-4.61,-2.21,-12.07,2017,0.6470588235294118,ram,2017-01-06
1,Mon,10:20PM ET,1,0,1-0,1,Oakland Raiders,33.0,13.0,23.0,365.0,225.0,140.0,0.0,20.0,395.0,300.0,95.0,3.0,16.1,6.75,-5.9,2018,1.0,ram,2018-09-10
2,Sun,4:05PM ET,1,0,2-0,0,Arizona Cardinals,34.0,0.0,24.0,432.0,342.0,90.0,1.0,5.0,137.0,83.0,54.0,1.0,18.11,17.5,-3.56,2018,1.0,ram,2018-09-16
3,Sun,4:05PM ET,1,0,3-0,0,Los Angeles Chargers,35.0,23.0,33.0,521.0,350.0,171.0,2.0,16.0,356.0,215.0,141.0,2.0,24.39,-10.0,-0.42,2018,1.0,ram,2018-09-23
4,Thu,8:20PM ET,1,0,4-0,0,Minnesota Vikings,38.0,31.0,25.0,556.0,456.0,100.0,0.0,25.0,446.0,392.0,54.0,1.0,33.75,-15.88,-6.96,2018,1.0,ram,2018-09-27
5,Sun,4:25PM ET,1,0,5-0,1,Seattle Seahawks,33.0,31.0,30.0,468.0,313.0,155.0,2.0,20.0,373.0,183.0,190.0,0.0,21.36,-19.11,0.12,2018,1.0,ram,2018-10-07
6,Sun,4:05PM ET,1,0,6-0,1,Denver Broncos,23.0,20.0,24.0,444.0,174.0,270.0,1.0,23.0,357.0,297.0,60.0,1.0,11.09,-6.06,-0.02,2018,1.0,ram,2018-10-14
7,Sun,4:25PM ET,1,0,7-0,1,San Francisco 49ers,39.0,10.0,20.0,339.0,193.0,146.0,0.0,16.0,228.0,121.0,107.0,4.0,10.86,19.69,-5.98,2018,1.0,ram,2018-10-21
8,Sun,4:25PM ET,1,0,8-0,0,Green Bay Packers,29.0,27.0,23.0,416.0,281.0,135.0,0.0,16.0,359.0,253.0,106.0,1.0,7.93,-14.06,8.28,2018,1.0,ram,2018-10-28
9,Sun,4:25PM ET,0,0,8-1,1,New Orleans Saints,35.0,45.0,23.0,483.0,391.0,92.0,1.0,31.0,487.0,346.0,141.0,1.0,20.09,-29.05,-8.53,2018,0.8888888888888888,ram,2018-11-04
10,Sun,4:25PM ET,1,0,9-1,0,Seattle Seahawks,36.0,31.0,25.0,456.0,307.0,149.0,0.0,29.0,414.0,141.0,273.0,1.0,22.36,-15.66,-1.89,2018,0.9,ram,2018-11-11
11,Mon,8:15PM ET,1,0,10-1,0,Kansas City Chiefs,54.0,51.0,29.0,455.0,379.0,76.0,2.0,27.0,546.0,448.0,98.0,5.0,15.93,-10.02,-2.52,2018,0.9090909090909091,ram,2018-11-19
13,Sun,1:00PM ET,1,0,11-1,1,Detroit Lions,30.0,16.0,24.0,344.0,195.0,149.0,2.0,23.0,310.0,208.0,102.0,2.0,6.09,5.26,1.34,2018,0.9166666666666666,ram,2018-12-02
14,Sun,8:20PM ET,0,0,11-2,1,Chicago Bears,6.0,15.0,14.0,214.0,162.0,52.0,4.0,17.0,294.0,100.0,194.0,3.0,-21.99,15.04,2.29,2018,0.8461538461538461,ram,2018-12-09
15,Sun,8:20PM ET,0,0,11-3,0,Philadelphia Eagles,23.0,30.0,23.0,407.0,325.0,82.0,3.0,17.0,381.0,270.0,111.0,1.0,1.52,-1.68,-3.79,2018,0.7857142857142857,ram,2018-12-16
16,Sun,4:05PM ET,1,0,12-3,1,Arizona Cardinals,31.0,9.0,33.0,461.0,192.0,269.0,1.0,15.0,263.0,159.0,104.0,0.0,24.42,4.01,-5.46,2018,0.8,ram,2018-12-23
17,Sun,4:25PM ET,1,0,13-3,0,San Francisco 49ers,48.0,32.0,28.0,377.0,222.0,155.0,0.0,22.0,391.0,264.0,127.0,4.0,16.59,-1.86,-3.88,2018,0.8125,ram,2018-12-30
Division,Sat,8:15PM ET,1,0,14-3,0,Dallas Cowboys,30.0,22.0,30.0,459.0,186.0,273.0,0.0,19.0,308.0,258.0,50.0,0.0,24.75,-13.46,-0.14,2018,0.8235294117647058,ram,2018-01-12
Conf. Champ.,Sun,3:05PM ET,1,1,15-3,1,New Orleans Saints,26.0,23.0,19.0,378.0,301.0,77.0,1.0,19.0,290.0,242.0,48.0,1.0,3.02,-2.51,2.95,2018,0.8333333333333334,ram,2018-01-20
SuperBowl,Sun,6:30PM ET,0,0,15-4,0,New England Patriots,3.0,13.0,14.0,260.0,198.0,62.0,1.0,22.0,407.0,253.0,154.0,1.0,-11.82,-2.46,4.34,2018,0.7894736842105263,ram,2018-02-03
1,Sun,1:00PM ET,1,0,1-0,1,Carolina Panthers,30.0,27.0,22.0,349.0,183.0,166.0,1.0,21.0,343.0,216.0,127.0,3.0,4.57,3.24,-3.39,2019,1.0,ram,2019-09-08
2,Sun,4:25PM ET,1,0,2-0,0,New Orleans Saints,27.0,9.0,20.0,380.0,265.0,115.0,1.0,15.0,244.0,187.0,57.0,1.0,7.63,13.12,-6.34,2019,1.0,ram,2019-09-15
3,Sun,8:20PM ET,1,0,3-0,1,Cleveland Browns,20.0,13.0,20.0,344.0,254.0,90.0,3.0,18.0,270.0,175.0,95.0,1.0,1.06,8.89,-3.41,2019,1.0,ram,2019-09-22
