PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Timestamp,Week,Day,Time,W/L,OT,Record,@,Opp,TmScore,OppScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,Team,Year,month,year,Avg3Game,Avg6Game,Win%
18.0,33.0,225.0,2.0,0.0,1.0,8.0,7.1,54.5,96.1,26.0,140.0,5.4,0.0,4.0,5.0,3.0,3.0,2.0,117.0,4.0,11.0,0.0,0.0,28:29,2018-09-10,1,Mon,10:20PM ET,1,0,1-0,1,Oakland Raiders,33.0,13.0,23.0,365.0,225.0,140.0,0.0,20.0,395.0,300.0,95.0,3.0,16.1,6.75,-5.9,ram,2018,9,2018,,,1.0
24.0,32.0,342.0,1.0,1.0,2.0,12.0,11.1,75.0,106.5,33.0,90.0,2.7,3.0,1.0,1.0,1.0,1.0,2.0,102.0,8.0,15.0,1.0,3.0,34:08,2018-09-16,2,Sun,4:05PM ET,1,0,2-0,0,Arizona Cardinals,34.0,0.0,24.0,432.0,342.0,90.0,1.0,5.0,137.0,83.0,54.0,1.0,18.11,17.5,-3.56,ram,2018,9,2018,,,1.0
29.0,36.0,350.0,3.0,1.0,1.0,4.0,9.8,80.6,123.4,35.0,171.0,4.9,1.0,0.0,1.0,5.0,5.0,1.0,49.0,8.0,11.0,0.0,0.0,34:16,2018-09-23,3,Sun,4:05PM ET,1,0,3-0,0,Los Angeles Chargers,35.0,23.0,33.0,521.0,350.0,171.0,2.0,16.0,356.0,215.0,141.0,2.0,24.39,-10.0,-0.42,ram,2018,9,2018,34.0,,1.0
26.0,34.0,456.0,5.0,0.0,1.0,9.0,13.7,76.5,157.5,20.0,100.0,5.0,0.0,1.0,2.0,5.0,5.0,2.0,71.0,1.0,6.0,0.0,1.0,27:46,2018-09-27,4,Thu,8:20PM ET,1,0,4-0,0,Minnesota Vikings,38.0,31.0,25.0,556.0,456.0,100.0,0.0,25.0,446.0,392.0,54.0,1.0,33.75,-15.88,-6.96,ram,2018,9,2018,35.666666666666664,,1.0
23.0,32.0,313.0,1.0,2.0,1.0,8.0,10.0,71.9,87.1,30.0,155.0,5.2,3.0,2.0,2.0,3.0,4.0,1.0,38.0,3.0,9.0,1.0,1.0,29:30,2018-10-07,5,Sun,4:25PM ET,1,0,5-0,1,Seattle Seahawks,33.0,31.0,30.0,468.0,313.0,155.0,2.0,20.0,373.0,183.0,190.0,0.0,21.36,-19.11,0.12,ram,2018,10,2018,35.333333333333336,,1.0
14.0,28.0,174.0,0.0,1.0,5.0,27.0,7.2,50.0,54.8,39.0,270.0,6.9,2.0,3.0,4.0,2.0,2.0,3.0,120.0,8.0,17.0,1.0,1.0,35:10,2018-10-14,6,Sun,4:05PM ET,1,0,6-0,1,Denver Broncos,23.0,20.0,24.0,444.0,174.0,270.0,1.0,23.0,357.0,297.0,60.0,1.0,11.09,-6.06,-0.02,ram,2018,10,2018,31.333333333333332,32.666666666666664,1.0
18.0,24.0,193.0,2.0,0.0,1.0,9.0,8.4,75.0,125.9,36.0,146.0,4.1,2.0,3.0,3.0,4.0,4.0,4.0,122.0,5.0,12.0,0.0,0.0,32:51,2018-10-21,7,Sun,4:25PM ET,1,0,7-0,1,San Francisco 49ers,39.0,10.0,20.0,339.0,193.0,146.0,0.0,16.0,228.0,121.0,107.0,4.0,10.86,19.69,-5.98,ram,2018,10,2018,31.666666666666668,33.666666666666664,1.0
20.0,36.0,281.0,3.0,0.0,5.0,26.0,8.5,55.6,108.7,34.0,135.0,4.0,0.0,2.0,2.0,1.0,1.0,7.0,316.0,8.0,18.0,1.0,1.0,34:10,2018-10-28,8,Sun,4:25PM ET,1,0,8-0,0,Green Bay Packers,29.0,27.0,23.0,416.0,281.0,135.0,0.0,16.0,359.0,253.0,106.0,1.0,7.93,-14.06,8.28,ram,2018,10,2018,30.333333333333332,32.833333333333336,1.0
28.0,40.0,391.0,3.0,1.0,0.0,0.0,9.8,70.0,115.7,19.0,92.0,4.8,1.0,2.0,3.0,3.0,3.0,1.0,47.0,3.0,8.0,0.0,2.0,26:19,2018-11-04,9,Sun,4:25PM ET,0,0,8-1,1,New Orleans Saints,35.0,45.0,23.0,483.0,391.0,92.0,1.0,31.0,487.0,346.0,141.0,1.0,20.09,-29.05,-8.53,ram,2018,11,2018,34.333333333333336,32.833333333333336,0.8888888888888888
28.0,39.0,307.0,2.0,0.0,2.0,11.0,8.2,71.8,111.8,23.0,149.0,6.5,2.0,3.0,3.0,3.0,3.0,2.0,89.0,5.0,10.0,0.0,0.0,29:23,2018-11-11,10,Sun,4:25PM ET,1,0,9-1,0,Seattle Seahawks,36.0,31.0,25.0,456.0,307.0,149.0,0.0,29.0,414.0,141.0,273.0,1.0,22.36,-15.66,-1.89,ram,2018,11,2018,33.333333333333336,32.5,0.9
