PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Timestamp,Week,Day,Time,W/L,OT,Record,@,Opp,TmScore,OppScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,Team,Year,month,year,Avg3Game,Avg6Game,Win%
26.0,38.0,252.0,3.0,0.0,2.0,8.0,6.8,68.4,113.0,34.0,117.0,3.4,3.0,2.0,2.0,5.0,5.0,5.0,257.0,6.0,14.0,0.0,0.0,35:14,2018-09-09,1,Sun,1:00PM ET,1,0,1-0,0,Buffalo Bills,47.0,3.0,26.0,369.0,252.0,117.0,1.0,10.0,153.0,70.0,83.0,2.0,7.23,28.71,2.33,rav,2018,9,2018,,,1.0
32.0,55.0,359.0,2.0,2.0,4.0,17.0,6.8,58.2,74.7,22.0,66.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,169.0,7.0,16.0,2.0,4.0,28:10,2018-09-13,2,Thu,8:20PM ET,0,0,1-1,1,Cincinnati Bengals,23.0,34.0,28.0,425.0,359.0,66.0,3.0,24.0,373.0,265.0,108.0,0.0,2.72,-12.8,1.12,rav,2018,9,2018,,,0.5
25.0,40.0,265.0,1.0,0.0,2.0,12.0,6.9,62.5,90.1,28.0,77.0,2.8,2.0,2.0,3.0,3.0,3.0,5.0,197.0,8.0,16.0,0.0,0.0,30:14,2018-09-23,3,Sun,1:00PM ET,1,0,2-1,0,Denver Broncos,27.0,14.0,20.0,342.0,265.0,77.0,0.0,18.0,293.0,173.0,120.0,1.0,8.96,7.96,-5.82,rav,2018,9,2018,32.333333333333336,,0.6666666666666666
28.0,42.0,355.0,2.0,0.0,2.0,8.0,8.6,66.7,108.7,30.0,96.0,3.2,0.0,4.0,4.0,2.0,2.0,4.0,175.0,8.0,17.0,1.0,1.0,35:03,2018-09-30,4,Sun,8:20PM ET,1,0,3-1,1,Pittsburgh Steelers,26.0,14.0,24.0,451.0,355.0,96.0,1.0,14.0,284.0,265.0,19.0,2.0,7.71,10.05,-2.06,rav,2018,9,2018,25.333333333333332,,0.75
29.0,57.0,294.0,0.0,1.0,2.0,4.0,5.2,50.9,58.7,25.0,116.0,4.6,0.0,3.0,4.0,0.0,0.0,8.0,366.0,4.0,16.0,1.0,1.0,33:42,2018-10-07,5,Sun,1:00PM ET,0,1,3-2,1,Cleveland Browns,9.0,12.0,25.0,410.0,294.0,116.0,2.0,20.0,416.0,304.0,112.0,1.0,-11.13,7.48,2.05,rav,2018,10,2018,20.666666666666668,,0.6
25.0,37.0,238.0,1.0,1.0,0.0,0.0,6.4,67.6,82.9,35.0,123.0,3.5,2.0,0.0,0.0,3.0,3.0,4.0,175.0,12.0,17.0,1.0,1.0,37:34,2018-10-14,6,Sun,4:25PM ET,1,0,4-2,1,Tennessee Titans,21.0,0.0,23.0,361.0,238.0,123.0,1.0,7.0,106.0,51.0,55.0,0.0,12.84,15.17,-2.21,rav,2018,10,2018,18.666666666666668,25.5,0.6666666666666666
24.0,40.0,274.0,2.0,0.0,1.0,10.0,7.1,60.0,97.3,23.0,77.0,3.3,1.0,1.0,1.0,2.0,3.0,3.0,137.0,5.0,12.0,1.0,2.0,26:29,2018-10-21,7,Sun,4:05PM ET,0,0,4-3,0,New Orleans Saints,23.0,24.0,25.0,351.0,274.0,77.0,0.0,26.0,339.0,205.0,134.0,1.0,16.64,-12.99,-7.63,rav,2018,10,2018,17.666666666666668,21.5,0.5714285714285714
26.0,44.0,224.0,2.0,2.0,2.0,14.0,5.4,59.1,68.7,18.0,101.0,5.6,1.0,0.0,0.0,3.0,3.0,3.0,153.0,6.0,12.0,1.0,2.0,25:59,2018-10-28,8,Sun,1:00PM ET,0,0,4-4,1,Carolina Panthers,21.0,36.0,20.0,325.0,224.0,101.0,3.0,22.0,386.0,232.0,154.0,0.0,1.24,-18.22,7.88,rav,2018,10,2018,21.666666666666668,21.166666666666668,0.5
24.0,38.0,204.0,0.0,0.0,2.0,14.0,5.7,63.2,77.1,16.0,61.0,3.8,1.0,3.0,3.0,1.0,1.0,4.0,189.0,4.0,12.0,0.0,1.0,23:31,2018-11-04,9,Sun,1:00PM ET,0,0,4-5,0,Pittsburgh Steelers,16.0,23.0,18.0,265.0,204.0,61.0,0.0,27.0,395.0,282.0,113.0,0.0,7.37,-17.75,4.01,rav,2018,11,2018,20.0,19.333333333333332,0.4444444444444444
13.0,19.0,136.0,0.0,1.0,3.0,14.0,7.9,68.4,67.0,53.0,267.0,5.0,2.0,3.0,3.0,1.0,1.0,4.0,157.0,8.0,16.0,0.0,1.0,38:09,2018-11-18,11,Sun,1:00PM ET,1,0,5-5,0,Cincinnati Bengals,24.0,21.0,23.0,403.0,136.0,267.0,1.0,15.0,255.0,207.0,48.0,0.0,2.66,0.01,-5.08,rav,2018,11,2018,20.333333333333332,19.0,0.5
14.0,25.0,174.0,1.0,2.0,1.0,4.0,7.1,56.0,57.7,43.0,242.0,5.6,1.0,2.0,2.0,4.0,4.0,2.0,94.0,8.0,13.0,0.0,0.0,34:12,2018-11-25,12,Sun,1:00PM ET,1,0,6-5,0,Oakland Raiders,34.0,17.0,23.0,416.0,174.0,242.0,2.0,13.0,249.0,182.0,67.0,1.0,11.19,8.83,2.03,rav,2018,11,2018,24.666666666666668,23.166666666666668,0.5454545454545454
15.0,26.0,159.0,0.0,0.0,2.0,8.0,6.4,57.7,75.6,49.0,207.0,4.2,1.0,4.0,4.0,2.0,2.0,3.0,142.0,7.0,15.0,2.0,2.0,39:39,2018-12-02,13,Sun,1:00PM ET,1,0,7-5,1,Atlanta Falcons,26.0,16.0,25.0,366.0,159.0,207.0,1.0,16.0,131.0,97.0,34.0,1.0,-1.63,13.31,-1.11,rav,2018,12,2018,28.0,24.0,0.5833333333333334
13.0,26.0,127.0,2.0,0.0,2.0,20.0,5.7,50.0,89.7,40.0,194.0,4.9,1.0,1.0,1.0,3.0,3.0,3.0,158.0,5.0,12.0,1.0,3.0,31:27,2018-12-09,14,Sun,1:00PM ET,0,1,7-6,1,Kansas City Chiefs,24.0,27.0,24.0,321.0,127.0,194.0,1.0,30.0,442.0,348.0,94.0,1.0,4.92,-17.44,9.52,rav,2018,12,2018,28.0,24.166666666666668,0.5384615384615384
14.0,23.0,128.0,1.0,0.0,2.0,3.0,5.7,60.9,90.5,49.0,242.0,4.9,1.0,2.0,2.0,2.0,2.0,3.0,127.0,9.0,16.0,1.0,1.0,37:10,2018-12-16,15,Sun,1:00PM ET,1,0,8-6,0,Tampa Bay Buccaneers,20.0,12.0,24.0,370.0,128.0,242.0,2.0,12.0,241.0,156.0,85.0,1.0,6.86,6.0,-2.23,rav,2018,12,2018,23.333333333333332,24.0,0.5714285714285714
12.0,22.0,202.0,1.0,0.0,3.0,2.0,9.3,54.5,100.9,35.0,159.0,4.5,0.0,3.0,5.0,1.0,1.0,3.0,150.0,4.0,14.0,1.0,2.0,31:25,2018-12-22,16,Sat,8:20PM ET,1,0,9-6,1,Los Angeles Chargers,22.0,10.0,15.0,361.0,202.0,159.0,1.0,14.0,198.0,147.0,51.0,3.0,-3.87,21.26,-1.7,rav,2018,12,2018,22.0,25.0,0.6
14.0,24.0,167.0,0.0,0.0,2.0,12.0,7.5,58.3,79.7,47.0,296.0,6.3,2.0,4.0,4.0,2.0,2.0,4.0,196.0,3.0,13.0,1.0,1.0,38:30,2018-12-30,17,Sun,4:25PM ET,1,0,10-6,0,Cleveland Browns,26.0,24.0,24.0,463.0,167.0,296.0,1.0,18.0,426.0,376.0,50.0,3.0,7.31,-9.49,2.95,rav,2018,12,2018,22.666666666666668,25.333333333333332,0.625
23.0,26.0,378.0,6.0,0.0,1.0,1.0,14.6,88.5,158.3,46.0,265.0,5.8,2.0,1.0,1.0,8.0,8.0,1.0,56.0,7.0,11.0,2.0,2.0,40:07,2019-09-08,1,Sun,1:00PM ET,1,0,1-0,1,Miami Dolphins,59.0,10.0,31.0,643.0,378.0,265.0,0.0,12.0,200.0,179.0,21.0,3.0,42.69,9.29,0.99,rav,2019,9,2019,,,1.0
24.0,37.0,258.0,2.0,0.0,2.0,14.0,7.4,64.9,103.2,33.0,182.0,5.5,0.0,3.0,3.0,2.0,2.0,3.0,129.0,7.0,14.0,0.0,1.0,37:38,2019-09-15,2,Sun,1:00PM ET,1,0,2-0,0,Arizona Cardinals,23.0,17.0,26.0,440.0,258.0,182.0,0.0,15.0,349.0,329.0,20.0,0.0,11.6,-4.48,4.18,rav,2019,9,2019,,,1.0
22.0,43.0,249.0,0.0,0.0,3.0,18.0,6.2,51.2,68.8,32.0,203.0,6.3,4.0,1.0,1.0,1.0,1.0,3.0,153.0,5.0,13.0,3.0,4.0,32:44,2019-09-22,3,Sun,1:00PM ET,0,0,2-1,1,Kansas City Chiefs,28.0,33.0,29.0,452.0,249.0,203.0,0.0,27.0,503.0,363.0,140.0,0.0,14.5,-25.98,4.79,rav,2019,9,2019,36.666666666666664,,0.6666666666666666
24.0,34.0,222.0,3.0,2.0,4.0,25.0,7.3,70.6,93.0,29.0,173.0,6.0,0.0,1.0,1.0,2.0,2.0,3.0,131.0,4.0,10.0,1.0,2.0,29:43,2019-09-29,4,Sun,1:00PM ET,0,0,2-2,0,Cleveland Browns,25.0,40.0,24.0,395.0,222.0,173.0,3.0,22.0,530.0,337.0,193.0,1.0,4.82,-23.04,3.35,rav,2019,9,2019,25.333333333333332,,0.5
19.0,28.0,139.0,1.0,3.0,5.0,22.0,5.8,67.9,51.6,40.0,138.0,3.5,1.0,4.0,4.0,2.0,2.0,3.0,155.0,6.0,15.0,1.0,1.0,39:00,2019-10-06,5,Sun,1:00PM ET,1,1,3-2,1,Pittsburgh Steelers,26.0,23.0,22.0,277.0,139.0,138.0,3.0,18.0,269.0,192.0,77.0,2.0,-4.12,1.8,5.32,rav,2019,10,2019,26.333333333333332,,0.6
21.0,33.0,228.0,0.0,0.0,1.0,8.0,7.2,63.6,83.9,43.0,269.0,6.3,2.0,3.0,3.0,2.0,2.0,2.0,84.0,9.0,15.0,0.0,0.0,39:42,2019-10-13,6,Sun,1:00PM ET,1,0,4-2,0,Cincinnati Bengals,23.0,17.0,26.0,497.0,228.0,269.0,1.0,18.0,250.0,217.0,33.0,1.0,15.13,-0.57,-4.92,rav,2019,10,2019,24.666666666666668,30.666666666666668,0.6666666666666666
9.0,20.0,141.0,0.0,0.0,1.0,2.0,7.2,45.0,69.0,35.0,199.0,5.7,1.0,3.0,3.0,3.0,3.0,3.0,132.0,5.0,13.0,1.0,1.0,29:54,2019-10-20,7,Sun,4:25PM ET,1,0,5-2,1,Seattle Seahawks,30.0,16.0,14.0,340.0,141.0,199.0,0.0,20.0,347.0,241.0,106.0,2.0,7.42,6.98,0.09,rav,2019,10,2019,26.333333333333332,25.833333333333332,0.7142857142857143
17.0,23.0,162.0,1.0,0.0,1.0,1.0,7.1,73.9,107.5,41.0,210.0,5.1,3.0,1.0,1.0,4.0,5.0,2.0,98.0,5.0,10.0,1.0,1.0,37:01,2019-11-03,9,Sun,8:20PM ET,1,0,6-2,0,New England Patriots,37.0,20.0,26.0,372.0,162.0,210.0,2.0,22.0,342.0,268.0,74.0,2.0,14.46,5.25,-5.09,rav,2019,11,2019,30.0,28.166666666666668,0.75
18.0,22.0,243.0,3.0,1.0,1.0,0.0,11.0,81.8,133.3,23.0,136.0,5.9,2.0,0.0,0.0,7.0,7.0,1.0,34.0,4.0,6.0,1.0,1.0,23:49,2019-11-10,10,Sun,1:00PM ET,1,0,7-2,1,Cincinnati Bengals,49.0,13.0,20.0,379.0,243.0,136.0,1.0,21.0,307.0,150.0,157.0,3.0,24.79,18.52,-7.48,rav,2019,11,2019,38.666666666666664,31.666666666666668,0.7777777777777778
20.0,27.0,235.0,4.0,0.0,0.0,0.0,8.7,74.1,139.7,37.0,256.0,6.9,1.0,2.0,3.0,5.0,5.0,0.0,0.0,5.0,9.0,0.0,1.0,36:19,2019-11-17,11,Sun,1:00PM ET,1,0,8-2,0,Houston Texans,41.0,7.0,25.0,491.0,235.0,256.0,0.0,16.0,232.0,110.0,122.0,2.0,31.56,13.24,-6.15,rav,2019,11,2019,42.333333333333336,34.333333333333336,0.8
16.0,23.0,195.0,5.0,0.0,3.0,13.0,9.0,69.6,135.0,48.0,285.0,5.9,1.0,1.0,1.0,6.0,6.0,1.0,48.0,9.0,15.0,3.0,3.0,39:56,2019-11-25,12,Mon,8:15PM ET,1,0,9-2,1,Los Angeles Rams,45.0,6.0,31.0,480.0,195.0,285.0,0.0,14.0,221.0,199.0,22.0,2.0,32.32,8.52,-4.27,rav,2019,11,2019,45.0,37.5,0.8181818181818182
14.0,23.0,105.0,1.0,0.0,1.0,0.0,4.6,60.9,86.3,38.0,178.0,4.7,1.0,2.0,2.0,2.0,2.0,2.0,103.0,3.0,10.0,2.0,3.0,32:26,2019-12-01,13,Sun,1:00PM ET,1,0,10-2,0,San Francisco 49ers,20.0,17.0,21.0,283.0,105.0,178.0,1.0,15.0,331.0,157.0,174.0,1.0,6.4,-6.2,1.2,rav,2019,12,2019,35.333333333333336,37.0,0.8333333333333334
