Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp
1,Sun,4:05PM ET,0,0,0-1,0,Kansas City Chiefs,28.0,38.0,33.0,541.0,418.0,123.0,2.0,19.0,362.0,256.0,106.0,0.0,24.31,-13.1,-19.32,2018,sdg,September,9,2018-09-09
2,Sun,1:00PM ET,1,0,1-1,1,Buffalo Bills,31.0,20.0,21.0,349.0,240.0,109.0,0.0,17.0,293.0,209.0,84.0,2.0,14.41,1.04,0.51,2018,sdg,September,16,2018-09-16
3,Sun,4:05PM ET,0,0,1-2,1,Los Angeles Rams,23.0,35.0,16.0,356.0,215.0,141.0,2.0,33.0,521.0,350.0,171.0,2.0,10.0,-24.39,0.42,2018,sdg,September,23,2018-09-23
4,Sun,4:25PM ET,1,0,2-2,0,San Francisco 49ers,29.0,27.0,21.0,368.0,242.0,126.0,1.0,22.0,364.0,288.0,76.0,2.0,3.06,2.39,-0.5,2018,sdg,September,30,2018-09-30
5,Sun,4:05PM ET,1,0,3-2,0,Oakland Raiders,26.0,10.0,19.0,412.0,333.0,79.0,0.0,14.0,289.0,248.0,41.0,2.0,17.22,2.22,0.93,2018,sdg,October,7,2018-10-07
6,Sun,1:00PM ET,1,0,4-2,1,Cleveland Browns,38.0,14.0,24.0,449.0,203.0,246.0,1.0,18.0,317.0,214.0,103.0,2.0,13.33,14.57,-4.29,2018,sdg,October,14,2018-10-14
7,Sun,9:30AM ET,1,0,5-2,0,Tennessee Titans,20.0,19.0,14.0,344.0,297.0,47.0,0.0,23.0,390.0,226.0,164.0,1.0,13.09,-9.18,-1.39,2018,sdg,October,21,2018-10-21
9,Sun,4:05PM ET,1,0,6-2,1,Seattle Seahawks,25.0,17.0,18.0,375.0,215.0,160.0,0.0,25.0,356.0,202.0,154.0,1.0,11.44,-0.78,-6.61,2018,sdg,November,4,2018-11-04
10,Sun,4:05PM ET,1,0,7-2,1,Oakland Raiders,20.0,6.0,16.0,335.0,222.0,113.0,1.0,16.0,317.0,203.0,114.0,1.0,9.0,13.18,-7.33,2018,sdg,November,11,2018-11-11
11,Sun,4:05PM ET,0,0,7-3,0,Denver Broncos,22.0,23.0,26.0,479.0,384.0,95.0,2.0,16.0,325.0,217.0,108.0,0.0,9.69,-6.83,-4.09,2018,sdg,November,18,2018-11-18
12,Sun,4:05PM ET,1,0,8-3,0,Arizona Cardinals,45.0,10.0,30.0,414.0,236.0,178.0,1.0,10.0,149.0,87.0,62.0,1.0,24.25,13.0,-1.28,2018,sdg,November,25,2018-11-25
13,Sun,8:20PM ET,1,0,9-3,1,Pittsburgh Steelers,33.0,30.0,22.0,371.0,286.0,85.0,0.0,23.0,336.0,271.0,65.0,1.0,16.37,-14.79,0.62,2018,sdg,December,2,2018-12-02
14,Sun,4:05PM ET,1,0,10-3,0,Cincinnati Bengals,26.0,21.0,17.0,288.0,203.0,85.0,0.0,19.0,295.0,151.0,144.0,0.0,6.81,0.04,-0.02,2018,sdg,December,9,2018-12-09
15,Thu,8:20PM ET,1,0,11-3,1,Kansas City Chiefs,29.0,28.0,30.0,407.0,288.0,119.0,2.0,22.0,294.0,234.0,60.0,0.0,21.67,-17.1,-4.16,2018,sdg,December,13,2018-12-13
16,Sat,8:20PM ET,0,0,11-4,0,Baltimore Ravens,10.0,22.0,14.0,198.0,147.0,51.0,3.0,15.0,361.0,202.0,159.0,1.0,-21.26,3.87,1.7,2018,sdg,December,22,2018-12-22
17,Sun,4:25PM ET,1,0,12-4,1,Denver Broncos,23.0,9.0,17.0,276.0,160.0,116.0,4.0,19.0,370.0,288.0,82.0,4.0,-6.84,10.32,7.22,2018,sdg,December,30,2018-12-30
Wild Card,Sun,1:05PM ET,1,0,13-4,1,Baltimore Ravens,23.0,17.0,14.0,243.0,154.0,89.0,1.0,11.0,229.0,139.0,90.0,3.0,-9.17,14.46,-2.32,2018,sdg,January,6,2018-01-06
Division,Sun,1:05PM ET,0,0,13-5,1,New England Patriots,28.0,41.0,22.0,335.0,316.0,19.0,2.0,30.0,498.0,343.0,155.0,0.0,11.48,-24.01,-4.22,2018,sdg,January,13,2018-01-13
1,Sun,4:05PM ET,1,1,1-0,0,Indianapolis Colts,30.0,24.0,25.0,435.0,310.0,125.0,2.0,22.0,376.0,173.0,203.0,0.0,15.32,-18.02,8.43,2019,sdg,September,8,2019-09-08
