W/L,OT,@,Opp,TmScore,OppScore,PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,PassNY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Year,Team,Timestamp,Win%
1,0,0,Miami Dolphins,12.0,10.0,27.0,43.0,240.0,1.0,1.0,3.0,18.0,6.0,5.2,62.8,75.7,32.0,112.0,3.5,0.0,2.0,2.0,0.0,1.0,6.0,253.0,5.0,16.0,2.0,3.0,34:32,2016,sea,2016-09-11,1.0
0,0,1,Los Angeles Rams,3.0,9.0,22.0,35.0,239.0,0.0,0.0,2.0,15.0,7.3,6.5,62.9,82.9,24.0,67.0,2.8,0.0,1.0,1.0,0.0,0.0,7.0,309.0,4.0,13.0,0.0,0.0,30:03,2016,sea,2016-09-18,0.5
1,0,0,San Francisco 49ers,37.0,18.0,22.0,32.0,291.0,2.0,1.0,2.0,17.0,9.6,8.6,68.8,105.1,31.0,127.0,4.1,2.0,3.0,3.0,4.0,4.0,2.0,102.0,9.0,14.0,0.0,0.0,35:57,2016,sea,2016-09-25,0.6666666666666666
1,0,1,New York Jets,27.0,17.0,23.0,32.0,288.0,3.0,0.0,2.0,21.0,9.7,8.5,71.9,130.7,26.0,66.0,2.5,0.0,2.0,2.0,3.0,3.0,5.0,203.0,3.0,10.0,0.0,0.0,30:45,2016,sea,2016-10-02,0.75
1,0,0,Atlanta Falcons,26.0,24.0,25.0,37.0,261.0,0.0,0.0,1.0,9.0,7.3,6.9,67.6,87.8,27.0,72.0,2.7,3.0,2.0,3.0,2.0,3.0,5.0,230.0,5.0,14.0,0.0,0.0,30:09,2016,sea,2016-10-16,0.8
0,1,1,Arizona Cardinals,6.0,6.0,24.0,37.0,205.0,0.0,0.0,1.0,20.0,6.1,5.4,64.9,79.2,19.0,52.0,2.7,0.0,2.0,3.0,0.0,0.0,9.0,414.0,3.0,14.0,0.0,0.0,28:39,2016,sea,2016-10-23,0.6666666666666666
0,0,1,New Orleans Saints,20.0,25.0,23.0,36.0,285.0,0.0,1.0,1.0,11.0,8.2,7.7,63.9,76.7,17.0,74.0,4.4,1.0,2.0,2.0,2.0,2.0,3.0,146.0,5.0,11.0,0.0,1.0,23:48,2016,sea,2016-10-30,0.5714285714285714
1,0,0,Buffalo Bills,31.0,25.0,20.0,26.0,245.0,2.0,0.0,4.0,37.0,10.8,8.2,76.9,131.1,12.0,33.0,2.8,2.0,1.0,1.0,4.0,4.0,4.0,142.0,2.0,7.0,0.0,0.0,19:43,2016,sea,2016-11-07,0.625
1,0,1,New England Patriots,31.0,24.0,25.0,37.0,324.0,3.0,0.0,3.0,24.0,9.4,8.1,67.6,121.9,26.0,96.0,3.7,0.0,4.0,4.0,1.0,2.0,2.0,105.0,6.0,12.0,0.0,0.0,30:25,2016,sea,2016-11-13,0.6666666666666666
1,0,0,Philadelphia Eagles,26.0,15.0,19.0,32.0,287.0,2.0,0.0,1.0,0.0,9.0,8.7,59.4,109.8,30.0,152.0,5.1,1.0,2.0,3.0,2.0,3.0,6.0,279.0,5.0,15.0,0.0,0.0,28:54,2016,sea,2016-11-20,0.7
0,0,1,Tampa Bay Buccaneers,5.0,14.0,17.0,33.0,118.0,0.0,2.0,6.0,33.0,4.6,3.0,51.5,34.7,22.0,127.0,5.8,0.0,1.0,1.0,0.0,0.0,7.0,330.0,1.0,11.0,1.0,1.0,26:21,2016,sea,2016-11-27,0.6363636363636364
1,0,0,Carolina Panthers,40.0,7.0,28.0,39.0,294.0,1.0,1.0,3.0,21.0,8.1,7.0,71.8,91.2,29.0,240.0,8.3,3.0,4.0,4.0,4.0,4.0,1.0,41.0,7.0,14.0,0.0,1.0,34:01,2016,sea,2016-12-04,0.6666666666666666
0,0,1,Green Bay Packers,10.0,38.0,22.0,39.0,218.0,1.0,5.0,3.0,22.0,6.2,5.2,56.4,41.3,26.0,136.0,5.2,0.0,1.0,1.0,1.0,1.0,4.0,136.0,6.0,12.0,0.0,1.0,31:50,2016,sea,2016-12-11,0.6153846153846154
1,0,0,Los Angeles Rams,24.0,3.0,19.0,26.0,227.0,3.0,1.0,2.0,2.0,8.8,8.1,73.1,121.8,30.0,72.0,2.4,0.0,1.0,1.0,3.0,3.0,3.0,108.0,7.0,15.0,1.0,1.0,32:31,2016,sea,2016-12-15,0.6428571428571429
0,0,0,Arizona Cardinals,31.0,34.0,29.0,45.0,313.0,4.0,0.0,6.0,37.0,7.8,6.1,64.4,114.4,27.0,78.0,2.9,0.0,1.0,2.0,2.0,3.0,4.0,144.0,8.0,17.0,0.0,2.0,33:42,2016,sea,2016-12-24,0.6
1,0,1,San Francisco 49ers,25.0,23.0,23.0,38.0,289.0,1.0,0.0,2.0,11.0,7.9,7.2,60.5,93.0,25.0,87.0,3.5,1.0,4.0,4.0,1.0,2.0,4.0,184.0,3.0,12.0,0.0,1.0,29:34,2016,sea,2016-01-01,0.625
0,0,1,Green Bay Packers,9.0,17.0,14.0,27.0,135.0,0.0,0.0,3.0,23.0,5.9,4.5,51.9,66.1,18.0,90.0,5.0,0.0,3.0,3.0,0.0,0.0,6.0,275.0,3.0,12.0,0.0,0.0,20:47,2017,sea,2017-09-10,0.0
1,0,0,San Francisco 49ers,12.0,9.0,23.0,39.0,181.0,1.0,0.0,3.0,17.0,5.1,4.3,59.0,79.1,37.0,131.0,3.5,0.0,2.0,2.0,0.0,1.0,7.0,309.0,8.0,19.0,1.0,1.0,36:58,2017,sea,2017-09-17,0.5
0,0,1,Tennessee Titans,27.0,33.0,29.0,49.0,364.0,4.0,0.0,1.0,9.0,7.6,7.3,59.2,109.6,22.0,69.0,3.1,0.0,0.0,0.0,3.0,3.0,8.0,388.0,4.0,14.0,1.0,2.0,27:19,2017,sea,2017-09-24,0.3333333333333333
1,0,0,Indianapolis Colts,46.0,18.0,21.0,26.0,283.0,2.0,2.0,3.0,12.0,11.3,9.8,80.8,105.6,33.0,194.0,5.9,2.0,1.0,2.0,5.0,5.0,1.0,35.0,10.0,15.0,1.0,1.0,32:12,2017,sea,2017-10-01,0.5
1,0,1,Los Angeles Rams,16.0,10.0,24.0,38.0,179.0,1.0,2.0,3.0,19.0,5.2,4.4,63.2,61.2,25.0,62.0,2.5,0.0,3.0,3.0,1.0,1.0,6.0,237.0,8.0,17.0,0.0,0.0,31:16,2017,sea,2017-10-08,0.6
1,0,1,New York Giants,24.0,7.0,27.0,39.0,321.0,3.0,0.0,1.0,13.0,8.6,8.0,69.2,119.7,31.0,104.0,3.4,0.0,1.0,1.0,3.0,3.0,5.0,190.0,6.0,13.0,0.0,1.0,35:26,2017,sea,2017-10-22,0.6666666666666666
1,0,0,Houston Texans,41.0,38.0,26.0,41.0,446.0,4.0,1.0,2.0,6.0,11.0,10.4,63.4,122.6,21.0,33.0,1.6,0.0,2.0,2.0,5.0,5.0,5.0,237.0,5.0,12.0,0.0,0.0,29:38,2017,sea,2017-10-29,0.7142857142857143
0,0,0,Washington Redskins,14.0,17.0,24.0,45.0,289.0,2.0,2.0,2.0,8.0,6.6,6.1,53.3,69.6,28.0,148.0,5.3,0.0,0.0,3.0,0.0,0.0,6.0,263.0,5.0,14.0,0.0,0.0,32:19,2017,sea,2017-11-05,0.625
