PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Timestamp,Week,Day,Time,W/L,OT,Record,@,Opp,TmScore,OppScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,Team,Year,month,year,Avg3Game,Avg6Game,Win%
19.0,33.0,242.0,3.0,2.0,6.0,56.0,9.0,57.6,85.7,16.0,64.0,4.0,0.0,1.0,2.0,3.0,3.0,6.0,354.0,2.0,12.0,0.0,0.0,24:52,2018-09-09,1,Sun,4:25PM ET,0,0,0-1,1,Denver Broncos,24.0,27.0,13.0,306.0,242.0,64.0,3.0,25.0,470.0,324.0,146.0,3.0,-1.88,-0.59,0.38,sea,2018,9,2018,,,0.0
22.0,36.0,202.0,2.0,1.0,6.0,24.0,6.3,61.1,83.3,22.0,74.0,3.4,0.0,1.0,1.0,2.0,2.0,7.0,316.0,5.0,13.0,0.0,0.0,25:36,2018-09-17,2,Mon,8:15PM ET,0,0,0-2,1,Chicago Bears,17.0,24.0,17.0,276.0,202.0,74.0,2.0,20.0,271.0,185.0,86.0,2.0,-11.46,0.24,2.71,sea,2018,9,2018,,,0.0
16.0,26.0,182.0,2.0,0.0,2.0,10.0,7.4,61.5,108.2,39.0,113.0,2.9,1.0,1.0,1.0,3.0,3.0,8.0,350.0,7.0,16.0,0.0,0.0,32:44,2018-09-23,3,Sun,4:25PM ET,1,0,1-2,0,Dallas Cowboys,24.0,13.0,18.0,295.0,182.0,113.0,0.0,17.0,303.0,137.0,166.0,3.0,5.56,11.41,-11.31,sea,2018,9,2018,21.666666666666668,,0.3333333333333333
19.0,26.0,160.0,0.0,0.0,2.0,12.0,6.6,73.1,88.6,34.0,171.0,5.0,2.0,2.0,4.0,2.0,2.0,4.0,190.0,0.0,10.0,1.0,2.0,31:46,2018-09-30,4,Sun,4:05PM ET,1,0,2-2,1,Arizona Cardinals,20.0,17.0,19.0,331.0,160.0,171.0,0.0,18.0,263.0,171.0,92.0,1.0,1.31,-1.27,1.43,sea,2018,9,2018,20.333333333333332,,0.5
13.0,21.0,183.0,3.0,0.0,2.0,15.0,9.4,61.9,129.6,32.0,190.0,5.9,1.0,1.0,1.0,4.0,4.0,4.0,138.0,7.0,12.0,0.0,0.0,30:30,2018-10-07,5,Sun,4:25PM ET,0,0,2-3,0,Los Angeles Rams,31.0,33.0,20.0,373.0,183.0,190.0,0.0,30.0,468.0,313.0,155.0,2.0,19.11,-21.36,-0.12,sea,2018,10,2018,25.0,,0.4
17.0,23.0,214.0,3.0,1.0,1.0,8.0,9.7,73.9,123.9,37.0,155.0,4.2,0.0,2.0,2.0,3.0,3.0,2.0,86.0,9.0,13.0,0.0,0.0,31:26,2018-10-14,6,Sun,1:00PM ET,1,0,3-3,1,Oakland Raiders,27.0,3.0,19.0,369.0,214.0,155.0,1.0,15.0,185.0,106.0,79.0,2.0,12.0,12.31,1.97,sea,2018,10,2018,26.0,23.833333333333332,0.5
14.0,17.0,237.0,3.0,0.0,2.0,11.0,14.6,82.4,158.3,42.0,176.0,4.2,1.0,0.0,0.0,4.0,4.0,4.0,198.0,6.0,12.0,1.0,2.0,34:55,2018-10-28,8,Sun,1:00PM ET,1,0,4-3,1,Detroit Lions,28.0,14.0,20.0,413.0,237.0,176.0,0.0,21.0,331.0,297.0,34.0,3.0,14.29,-11.09,8.88,sea,2018,10,2018,28.666666666666668,24.5,0.5714285714285714
26.0,39.0,202.0,2.0,1.0,4.0,33.0,6.0,66.7,85.6,32.0,154.0,4.8,0.0,1.0,2.0,2.0,2.0,6.0,317.0,4.0,15.0,3.0,3.0,35:41,2018-11-04,9,Sun,4:05PM ET,0,0,4-4,0,Los Angeles Chargers,17.0,25.0,25.0,356.0,202.0,154.0,1.0,18.0,375.0,215.0,160.0,0.0,0.78,-11.44,6.61,sea,2018,11,2018,24.0,24.5,0.5
17.0,26.0,141.0,3.0,0.0,4.0,35.0,6.8,65.4,117.6,34.0,273.0,8.0,1.0,1.0,1.0,4.0,4.0,3.0,165.0,2.0,9.0,0.0,1.0,30:37,2018-11-11,10,Sun,4:25PM ET,0,0,4-5,1,Los Angeles Rams,31.0,36.0,29.0,414.0,141.0,273.0,1.0,25.0,456.0,307.0,149.0,0.0,15.66,-22.36,1.89,sea,2018,11,2018,25.333333333333332,25.666666666666668,0.4444444444444444
21.0,31.0,205.0,2.0,0.0,3.0,20.0,7.3,67.7,107.6,35.0,173.0,4.9,1.0,2.0,2.0,3.0,3.0,4.0,208.0,6.0,15.0,2.0,2.0,34:18,2018-11-15,11,Thu,8:20PM ET,1,0,5-5,0,Green Bay Packers,27.0,24.0,23.0,378.0,205.0,173.0,1.0,14.0,359.0,311.0,48.0,0.0,10.41,-9.27,4.0,sea,2018,11,2018,25.0,26.833333333333332,0.5
