W/L,OT,@,Opp,TmScore,OppScore,PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,PassNY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Year,Team,Timestamp,Win%
1,0,0,Los Angeles Rams,28.0,0.0,22.0,35.0,170.0,1.0,0.0,0.0,0.0,4.9,4.9,62.9,84.2,42.0,150.0,3.6,3.0,0.0,0.0,4.0,4.0,7.0,319.0,8.0,17.0,1.0,2.0,32:10,2016,sfo,2016-09-12,1.0
0,0,1,Carolina Panthers,27.0,46.0,17.0,36.0,237.0,2.0,2.0,2.0,6.0,6.8,6.2,47.2,64.2,26.0,65.0,2.5,1.0,2.0,2.0,3.0,3.0,7.0,318.0,4.0,14.0,0.0,1.0,24:06,2016,sfo,2016-09-18,0.5
0,0,1,Seattle Seahawks,18.0,37.0,14.0,25.0,119.0,0.0,1.0,0.0,0.0,4.8,4.8,56.0,51.9,31.0,135.0,4.4,2.0,1.0,2.0,1.0,1.0,7.0,319.0,4.0,15.0,1.0,1.0,24:03,2016,sfo,2016-09-25,0.3333333333333333
0,0,0,Dallas Cowboys,17.0,24.0,16.0,23.0,189.0,1.0,1.0,1.0,7.0,8.5,7.9,69.6,90.7,29.0,106.0,3.7,1.0,1.0,1.0,2.0,2.0,4.0,196.0,8.0,14.0,0.0,1.0,23:33,2016,sfo,2016-10-02,0.25
0,0,0,Arizona Cardinals,21.0,33.0,18.0,31.0,135.0,1.0,2.0,7.0,27.0,5.2,3.6,58.1,52.5,36.0,151.0,4.2,2.0,0.0,0.0,3.0,3.0,7.0,349.0,4.0,14.0,1.0,1.0,28:16,2016,sfo,2016-10-06,0.2
0,0,1,Buffalo Bills,16.0,45.0,13.0,29.0,167.0,1.0,0.0,3.0,20.0,6.4,5.2,44.8,74.9,28.0,133.0,4.8,0.0,3.0,3.0,1.0,1.0,5.0,209.0,3.0,13.0,0.0,2.0,24:49,2016,sfo,2016-10-16,0.16666666666666666
0,0,0,Tampa Bay Buccaneers,17.0,34.0,16.0,34.0,113.0,1.0,1.0,4.0,30.0,4.2,3.0,47.1,52.7,28.0,160.0,5.7,1.0,1.0,1.0,2.0,2.0,6.0,254.0,6.0,15.0,1.0,1.0,26:11,2016,sfo,2016-10-23,0.14285714285714285
0,0,0,New Orleans Saints,23.0,41.0,24.0,39.0,393.0,2.0,1.0,1.0,5.0,10.2,9.8,61.5,101.8,17.0,93.0,5.5,0.0,3.0,3.0,2.0,2.0,2.0,85.0,2.0,9.0,0.0,2.0,21:07,2016,sfo,2016-11-06,0.125
0,0,1,Arizona Cardinals,20.0,23.0,17.0,30.0,198.0,1.0,0.0,3.0,12.0,7.0,6.0,56.7,87.9,28.0,83.0,3.0,1.0,2.0,2.0,2.0,2.0,7.0,305.0,7.0,17.0,1.0,1.0,27:42,2016,sfo,2016-11-13,0.1111111111111111
0,0,0,New England Patriots,17.0,30.0,16.0,30.0,177.0,2.0,0.0,5.0,29.0,6.9,5.1,53.3,93.3,27.0,122.0,4.5,0.0,1.0,1.0,2.0,2.0,8.0,333.0,5.0,14.0,0.0,0.0,30:48,2016,sfo,2016-11-20,0.1
0,0,1,Miami Dolphins,24.0,31.0,29.0,46.0,282.0,3.0,1.0,2.0,14.0,6.4,5.9,63.0,92.8,25.0,193.0,7.7,0.0,1.0,1.0,3.0,3.0,4.0,189.0,7.0,14.0,2.0,2.0,29:28,2016,sfo,2016-11-27,0.09090909090909091
0,0,1,Chicago Bears,6.0,26.0,5.0,15.0,6.0,0.0,0.0,6.0,33.0,2.6,0.3,33.3,42.4,34.0,141.0,4.1,0.0,2.0,2.0,0.0,0.0,8.0,308.0,4.0,14.0,0.0,0.0,28:42,2016,sfo,2016-12-04,0.08333333333333333
0,1,0,New York Jets,17.0,23.0,15.0,26.0,116.0,1.0,0.0,2.0,17.0,5.1,4.1,57.7,81.6,27.0,248.0,9.2,1.0,1.0,3.0,2.0,2.0,6.0,239.0,2.0,12.0,0.0,1.0,24:30,2016,sfo,2016-12-11,0.07692307692307693
0,0,1,Atlanta Falcons,13.0,41.0,20.0,33.0,165.0,2.0,0.0,2.0,18.0,5.5,4.7,60.6,93.6,20.0,107.0,5.4,0.0,0.0,0.0,1.0,2.0,7.0,318.0,6.0,13.0,0.0,0.0,23:59,2016,sfo,2016-12-18,0.07142857142857142
1,0,1,Los Angeles Rams,22.0,21.0,28.0,37.0,253.0,2.0,1.0,4.0,13.0,7.2,6.2,75.7,100.4,29.0,70.0,2.4,1.0,0.0,0.0,2.0,2.0,9.0,372.0,6.0,16.0,1.0,1.0,31:03,2016,sfo,2016-12-24,0.13333333333333333
0,0,0,Seattle Seahawks,23.0,25.0,17.0,22.0,191.0,1.0,0.0,5.0,24.0,9.8,7.1,77.3,117.8,31.0,62.0,2.0,2.0,0.0,0.0,3.0,3.0,6.0,289.0,2.0,11.0,2.0,3.0,30:26,2016,sfo,2016-01-01,0.125
