PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Timestamp,Week,Day,Time,W/L,OT,Record,@,Opp,TmScore,OppScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,Team,Year,month,year,Avg3Game,Avg6Game,Win%
15.0,33.0,237.0,1.0,3.0,3.0,24.0,7.9,45.5,42.1,25.0,90.0,3.6,0.0,3.0,3.0,1.0,1.0,4.0,174.0,5.0,13.0,0.0,0.0,28:51,2018-09-09,1,Sun,1:00PM ET,0,0,0-1,1,Minnesota Vikings,16.0,24.0,20.0,327.0,237.0,90.0,4.0,19.0,343.0,227.0,116.0,1.0,-12.02,2.96,1.7,sfo,2018,9,2018,,,0.0
18.0,26.0,156.0,2.0,0.0,6.0,50.0,7.9,69.2,110.4,28.0,190.0,6.8,1.0,3.0,3.0,3.0,3.0,5.0,227.0,3.0,11.0,0.0,0.0,29:34,2018-09-16,2,Sun,4:05PM ET,1,0,1-1,0,Detroit Lions,30.0,27.0,23.0,346.0,156.0,190.0,0.0,25.0,427.0,329.0,98.0,1.0,10.3,-8.22,4.49,sfo,2018,9,2018,,,0.5
20.0,30.0,228.0,2.0,0.0,4.0,23.0,8.4,66.7,111.5,29.0,178.0,6.1,1.0,2.0,2.0,1.0,2.0,4.0,148.0,2.0,9.0,2.0,2.0,29:59,2018-09-23,3,Sun,1:00PM ET,0,0,1-2,1,Kansas City Chiefs,27.0,38.0,26.0,406.0,228.0,178.0,0.0,31.0,384.0,307.0,77.0,0.0,19.16,-29.69,-1.56,sfo,2018,9,2018,24.333333333333332,,0.3333333333333333
23.0,37.0,288.0,2.0,2.0,1.0,10.0,8.1,62.2,81.8,21.0,76.0,3.6,0.0,2.0,2.0,3.0,3.0,5.0,235.0,5.0,12.0,0.0,0.0,27:34,2018-09-30,4,Sun,4:25PM ET,0,0,1-3,1,Los Angeles Chargers,27.0,29.0,22.0,364.0,288.0,76.0,2.0,21.0,368.0,242.0,126.0,1.0,-2.39,-3.06,0.5,sfo,2018,9,2018,28.0,,0.25
34.0,54.0,300.0,2.0,2.0,4.0,49.0,6.5,63.0,74.6,34.0,147.0,4.3,1.0,0.0,1.0,0.0,0.0,4.0,177.0,10.0,17.0,1.0,2.0,40:12,2018-10-07,5,Sun,4:25PM ET,0,0,1-4,0,Arizona Cardinals,18.0,28.0,33.0,447.0,300.0,147.0,5.0,10.0,220.0,164.0,56.0,0.0,-10.35,3.94,-4.12,sfo,2018,10,2018,24.0,,0.2
16.0,23.0,227.0,2.0,1.0,2.0,18.0,10.7,69.6,112.0,30.0,174.0,5.8,1.0,3.0,3.0,3.0,3.0,3.0,126.0,2.0,9.0,0.0,0.0,28:52,2018-10-15,6,Mon,8:15PM ET,0,0,1-5,1,Green Bay Packers,30.0,33.0,18.0,401.0,227.0,174.0,3.0,26.0,521.0,405.0,116.0,0.0,11.1,-16.33,2.23,sfo,2018,10,2018,25.0,24.666666666666668,0.16666666666666666
15.0,27.0,121.0,1.0,2.0,7.0,49.0,6.3,55.6,48.5,24.0,107.0,4.5,0.0,1.0,1.0,1.0,1.0,5.0,160.0,3.0,11.0,0.0,1.0,27:09,2018-10-21,7,Sun,4:25PM ET,0,0,1-6,0,Los Angeles Rams,10.0,39.0,16.0,228.0,121.0,107.0,4.0,20.0,339.0,193.0,146.0,0.0,-19.69,-10.86,5.98,sfo,2018,10,2018,19.333333333333332,23.666666666666668,0.14285714285714285
14.0,28.0,160.0,1.0,0.0,4.0,30.0,6.8,50.0,79.5,31.0,107.0,3.5,0.0,2.0,2.0,1.0,1.0,7.0,285.0,5.0,14.0,0.0,0.0,32:19,2018-10-28,8,Sun,4:25PM ET,0,0,1-7,1,Arizona Cardinals,15.0,18.0,16.0,267.0,160.0,107.0,0.0,20.0,321.0,233.0,88.0,2.0,-3.16,-6.06,2.98,sfo,2018,10,2018,18.333333333333332,21.166666666666668,0.125
16.0,22.0,262.0,3.0,0.0,0.0,0.0,11.9,72.7,151.9,32.0,143.0,4.5,1.0,2.0,2.0,4.0,4.0,3.0,164.0,5.0,12.0,0.0,0.0,28:34,2018-11-01,9,Thu,8:20PM ET,1,0,2-7,0,Oakland Raiders,34.0,3.0,18.0,405.0,262.0,143.0,0.0,14.0,242.0,140.0,102.0,0.0,15.9,9.22,3.46,sfo,2018,11,2018,19.666666666666668,22.333333333333332,0.2222222222222222
27.0,39.0,250.0,1.0,2.0,0.0,0.0,6.4,69.2,73.7,29.0,124.0,4.3,1.0,3.0,3.0,2.0,2.0,3.0,133.0,8.0,13.0,0.0,0.0,34:14,2018-11-12,10,Mon,8:15PM ET,0,0,2-8,0,New York Giants,23.0,27.0,24.0,374.0,250.0,124.0,2.0,17.0,277.0,180.0,97.0,0.0,6.78,-8.85,-0.26,sfo,2018,11,2018,24.0,21.666666666666668,0.2
