Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
1,Sun,1:05PM ET,1,0,1-0,1,Atlanta Falcons,31.0,24.0,20.0,371.0,281.0,90.0,1.0,19.0,374.0,322.0,52.0,0.0,12.93,-4.71,0.8,2016,1.0,tam,2016-09-11
2,Sun,1:05PM ET,0,0,1-1,1,Arizona Cardinals,7.0,40.0,21.0,306.0,221.0,85.0,5.0,20.0,416.0,311.0,105.0,0.0,-21.55,-14.72,0.4,2016,0.5,tam,2016-09-18
3,Sun,4:05PM ET,0,0,1-2,0,Los Angeles Rams,32.0,37.0,30.0,472.0,389.0,83.0,2.0,18.0,320.0,183.0,137.0,2.0,4.85,-0.44,-5.57,2016,0.3333333333333333,tam,2016-09-25
4,Sun,4:05PM ET,0,0,1-3,0,Denver Broncos,7.0,27.0,15.0,215.0,143.0,72.0,3.0,22.0,307.0,218.0,89.0,0.0,-20.49,-2.97,2.33,2016,0.25,tam,2016-10-02
5,Mon,8:04PM ET,1,0,2-3,1,Carolina Panthers,17.0,14.0,20.0,315.0,202.0,113.0,0.0,20.0,414.0,278.0,136.0,4.0,2.67,-2.26,3.05,2016,0.4,tam,2016-10-10
7,Sun,4:05PM ET,1,0,3-3,1,San Francisco 49ers,34.0,17.0,27.0,513.0,264.0,249.0,1.0,20.0,273.0,113.0,160.0,3.0,14.93,2.93,-1.95,2016,0.5,tam,2016-10-23
8,Sun,1:02PM ET,0,1,3-4,0,Oakland Raiders,24.0,30.0,18.0,270.0,168.0,102.0,0.0,27.0,626.0,498.0,128.0,1.0,5.09,-18.11,8.18,2016,0.42857142857142855,tam,2016-10-30
9,Thu,8:25PM ET,0,0,3-5,0,Atlanta Falcons,28.0,43.0,23.0,396.0,326.0,70.0,2.0,31.0,461.0,325.0,136.0,1.0,7.8,-22.07,-1.04,2016,0.375,tam,2016-11-03
10,Sun,1:00PM ET,1,0,4-5,0,Chicago Bears,36.0,10.0,22.0,360.0,280.0,80.0,1.0,15.0,283.0,161.0,122.0,4.0,6.68,20.97,-2.32,2016,0.4444444444444444,tam,2016-11-13
11,Sun,1:00PM ET,1,0,5-5,1,Kansas City Chiefs,19.0,17.0,27.0,442.0,326.0,116.0,1.0,19.0,343.0,261.0,82.0,2.0,12.64,-9.28,-1.98,2016,0.5,tam,2016-11-20
12,Sun,4:05PM ET,1,0,6-5,0,Seattle Seahawks,14.0,5.0,19.0,338.0,220.0,118.0,2.0,16.0,245.0,118.0,127.0,3.0,-1.31,18.87,-7.45,2016,0.5454545454545454,tam,2016-11-27
13,Sun,4:25PM ET,1,0,7-5,1,San Diego Chargers,28.0,21.0,20.0,349.0,268.0,81.0,1.0,18.0,330.0,211.0,119.0,2.0,8.55,-3.65,0.49,2016,0.5833333333333334,tam,2016-12-04
14,Sun,4:25PM ET,1,0,8-5,0,New Orleans Saints,16.0,11.0,21.0,270.0,166.0,104.0,0.0,14.0,294.0,248.0,46.0,3.0,2.32,8.92,-5.28,2016,0.6153846153846154,tam,2016-12-11
15,Sun,8:30PM ET,0,0,8-6,1,Dallas Cowboys,20.0,26.0,16.0,276.0,224.0,52.0,4.0,24.0,449.0,264.0,185.0,1.0,-7.29,-6.07,5.77,2016,0.5714285714285714,tam,2016-12-18
16,Sat,4:25PM ET,0,0,8-7,1,New Orleans Saints,24.0,31.0,23.0,349.0,260.0,89.0,2.0,25.0,417.0,294.0,123.0,0.0,10.41,-17.6,-1.31,2016,0.5333333333333333,tam,2016-12-24
17,Sun,1:00PM ET,1,0,9-7,0,Carolina Panthers,17.0,16.0,18.0,300.0,188.0,112.0,2.0,18.0,335.0,207.0,128.0,3.0,-6.76,8.61,3.45,2016,0.5625,tam,2016-01-01
2,Sun,1:00PM ET,1,0,1-0,0,Chicago Bears,29.0,7.0,22.0,311.0,194.0,117.0,1.0,19.0,310.0,290.0,20.0,4.0,4.54,12.8,3.35,2017,1.0,tam,2017-09-17
3,Sun,1:00PM ET,0,0,1-1,1,Minnesota Vikings,17.0,34.0,20.0,342.0,316.0,26.0,3.0,25.0,494.0,369.0,125.0,0.0,2.64,-22.43,1.8,2017,0.5,tam,2017-09-24
4,Sun,4:05PM ET,1,0,2-1,0,New York Giants,25.0,23.0,20.0,434.0,323.0,111.0,0.0,24.0,379.0,288.0,91.0,0.0,10.37,-6.89,-1.22,2017,0.6666666666666666,tam,2017-10-01
5,Thu,8:25PM ET,0,0,2-2,0,New England Patriots,14.0,19.0,26.0,409.0,319.0,90.0,0.0,23.0,402.0,289.0,113.0,2.0,10.33,0.71,-14.94,2017,0.5,tam,2017-10-05
6,Sun,4:05PM ET,0,0,2-3,1,Arizona Cardinals,33.0,38.0,21.0,412.0,344.0,68.0,2.0,23.0,432.0,272.0,160.0,2.0,5.45,-6.93,-2.54,2017,0.4,tam,2017-10-15
7,Sun,1:00PM ET,0,0,2-4,1,Buffalo Bills,27.0,30.0,27.0,447.0,378.0,69.0,3.0,23.0,434.0,261.0,173.0,1.0,10.64,-15.51,-1.04,2017,0.3333333333333333,tam,2017-10-22
