PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Timestamp,Week,Day,Time,W/L,OT,Record,@,Opp,TmScore,OppScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,Team,Year,month,year,Avg3Game,Avg6Game,Win%
21.0,28.0,417.0,4.0,0.0,0.0,0.0,14.9,75.0,156.2,34.0,112.0,3.3,1.0,2.0,3.0,6.0,6.0,1.0,42.0,8.0,13.0,0.0,0.0,32:09,2018-09-09,1,Sun,1:00PM ET,1,0,1-0,1,New Orleans Saints,48.0,40.0,26.0,529.0,417.0,112.0,0.0,26.0,475.0,432.0,43.0,2.0,29.69,-19.83,-4.9,tam,2018,9,2018,,,1.0
27.0,33.0,393.0,4.0,1.0,2.0,9.0,12.2,81.8,143.2,23.0,43.0,1.9,0.0,0.0,0.0,3.0,4.0,6.0,260.0,4.0,10.0,0.0,0.0,24:21,2018-09-16,2,Sun,1:00PM ET,1,0,2-0,0,Philadelphia Eagles,27.0,21.0,18.0,436.0,393.0,43.0,2.0,24.0,412.0,321.0,91.0,2.0,10.11,-5.14,1.42,tam,2018,9,2018,,,1.0
30.0,50.0,392.0,3.0,3.0,3.0,19.0,8.2,60.0,79.7,16.0,63.0,3.9,0.0,2.0,2.0,3.0,3.0,3.0,126.0,3.0,9.0,1.0,1.0,29:39,2018-09-24,3,Mon,8:15PM ET,0,0,2-1,0,Pittsburgh Steelers,27.0,30.0,28.0,455.0,392.0,63.0,4.0,22.0,413.0,335.0,78.0,1.0,3.18,-9.86,2.73,tam,2018,9,2018,34.0,,0.6666666666666666
25.0,38.0,251.0,1.0,3.0,4.0,20.0,7.1,65.8,60.3,18.0,60.0,3.3,0.0,1.0,1.0,1.0,1.0,5.0,214.0,3.0,12.0,2.0,2.0,31:54,2018-09-30,4,Sun,1:00PM ET,0,0,2-2,1,Chicago Bears,10.0,48.0,16.0,311.0,251.0,60.0,3.0,28.0,483.0,344.0,139.0,0.0,-5.14,-33.53,0.24,tam,2018,9,2018,21.333333333333332,,0.5
30.0,41.0,389.0,4.0,2.0,2.0,6.0,9.6,73.2,114.8,20.0,121.0,6.1,0.0,1.0,1.0,2.0,3.0,2.0,81.0,5.0,8.0,0.0,0.0,28:21,2018-10-14,6,Sun,1:00PM ET,0,0,2-3,1,Atlanta Falcons,29.0,34.0,30.0,510.0,389.0,121.0,2.0,26.0,417.0,347.0,70.0,0.0,22.99,-21.03,-2.24,tam,2018,10,2018,22.0,,0.4
32.0,52.0,342.0,0.0,2.0,4.0,23.0,7.0,61.5,64.7,32.0,114.0,3.6,3.0,2.0,3.0,2.0,3.0,4.0,187.0,6.0,13.0,1.0,1.0,37:43,2018-10-21,7,Sun,1:00PM ET,1,1,3-3,0,Cleveland Browns,26.0,23.0,34.0,456.0,342.0,114.0,4.0,17.0,305.0,186.0,119.0,1.0,4.49,7.86,-6.2,tam,2018,10,2018,21.666666666666668,27.833333333333332,0.5
29.0,50.0,450.0,3.0,4.0,6.0,20.0,9.4,58.0,74.6,27.0,126.0,4.7,1.0,2.0,2.0,2.0,3.0,3.0,149.0,10.0,18.0,2.0,2.0,35:59,2018-10-28,8,Sun,1:00PM ET,0,0,3-4,1,Cincinnati Bengals,34.0,37.0,29.0,576.0,450.0,126.0,4.0,21.0,402.0,264.0,138.0,0.0,11.69,-14.21,-1.75,tam,2018,10,2018,29.666666666666668,25.5,0.42857142857142855
24.0,41.0,219.0,4.0,2.0,3.0,24.0,5.9,58.5,85.3,21.0,82.0,3.9,0.0,0.0,0.0,4.0,4.0,5.0,231.0,5.0,12.0,1.0,2.0,29:00,2018-11-04,9,Sun,1:00PM ET,0,0,3-5,1,Carolina Panthers,28.0,42.0,23.0,301.0,219.0,82.0,2.0,22.0,407.0,228.0,179.0,0.0,7.24,-18.42,-2.03,tam,2018,11,2018,29.333333333333332,25.666666666666668,0.375
29.0,41.0,398.0,0.0,2.0,2.0,8.0,9.9,70.7,81.1,24.0,103.0,4.3,0.0,1.0,3.0,0.0,0.0,1.0,44.0,6.0,10.0,0.0,0.0,31:12,2018-11-11,10,Sun,1:00PM ET,0,0,3-6,0,Washington Redskins,3.0,16.0,29.0,501.0,398.0,103.0,4.0,15.0,286.0,170.0,116.0,0.0,2.31,-1.74,-10.04,tam,2018,11,2018,21.666666666666668,21.666666666666668,0.3333333333333333
25.0,37.0,359.0,2.0,4.0,1.0,7.0,9.9,67.6,77.3,30.0,151.0,5.0,2.0,0.0,0.0,5.0,5.0,1.0,44.0,6.0,9.0,1.0,2.0,32:07,2018-11-18,11,Sun,1:00PM ET,0,0,3-7,1,New York Giants,35.0,38.0,31.0,510.0,359.0,151.0,4.0,19.0,359.0,196.0,163.0,0.0,19.19,-16.46,-5.52,tam,2018,11,2018,22.0,25.833333333333332,0.3
