Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
1,Sun,September 9,4:25PM ET,boxscore,0,0,0-1,0,Washington Redskins,6.0,24.0,14.0,213.0,145.0,68.0,2.0,30.0,429.0,247.0,182.0,1.0,-9.94,-16.72,7.08,2018,crd,September,9,2018/September/9,2018-09-09
2,Sun,September 16,4:05PM ET,boxscore,0,0,0-2,1,Los Angeles Rams,0.0,34.0,5.0,137.0,83.0,54.0,1.0,24.0,432.0,342.0,90.0,1.0,-17.5,-18.11,3.56,2018,crd,September,16,2018/September/16,2018-09-16
3,Sun,September 23,4:25PM ET,boxscore,0,0,0-3,0,Chicago Bears,14.0,16.0,13.0,221.0,168.0,53.0,4.0,21.0,316.0,194.0,122.0,2.0,-6.07,2.63,1.68,2018,crd,September,23,2018/September/23,2018-09-23
4,Sun,September 30,4:05PM ET,boxscore,0,0,0-4,0,Seattle Seahawks,17.0,20.0,18.0,263.0,171.0,92.0,1.0,19.0,331.0,160.0,171.0,0.0,1.27,-1.31,-1.43,2018,crd,September,30,2018/September/30,2018-09-30
5,Sun,October 7,4:25PM ET,boxscore,1,0,1-4,1,San Francisco 49ers,28.0,18.0,10.0,220.0,164.0,56.0,0.0,33.0,447.0,300.0,147.0,5.0,-3.94,10.35,4.12,2018,crd,October,7,2018/October/7,2018-10-07
6,Sun,October 14,1:00PM ET,boxscore,0,0,1-5,1,Minnesota Vikings,17.0,27.0,16.0,268.0,208.0,60.0,2.0,20.0,411.0,216.0,195.0,2.0,-14.2,3.32,-0.88,2018,crd,October,14,2018/October/14,2018-10-14
7,Thu,October 18,8:20PM ET,boxscore,0,0,1-6,0,Denver Broncos,10.0,45.0,14.0,223.0,154.0,69.0,5.0,15.0,309.0,178.0,131.0,1.0,-33.3,-4.56,2.09,2018,crd,October,18,2018/October/18,2018-10-18
8,Sun,October 28,4:25PM ET,boxscore,1,0,2-6,0,San Francisco 49ers,18.0,15.0,20.0,321.0,233.0,88.0,2.0,16.0,267.0,160.0,107.0,0.0,6.06,3.16,-2.98,2018,crd,October,28,2018/October/28,2018-10-28
10,Sun,November 11,1:00PM ET,boxscore,0,0,2-7,1,Kansas City Chiefs,14.0,26.0,21.0,260.0,166.0,94.0,2.0,20.0,330.0,212.0,118.0,0.0,-8.96,-7.53,0.25,2018,crd,November,11,2018/November/11,2018-11-11
11,Sun,November 18,4:05PM ET,boxscore,0,0,2-8,0,Oakland Raiders,21.0,23.0,13.0,282.0,128.0,154.0,2.0,19.0,325.0,173.0,152.0,0.0,-6.58,-0.79,4.96,2018,crd,November,18,2018/November/18,2018-11-18
12,Sun,November 25,4:05PM ET,boxscore,0,0,2-9,1,Los Angeles Chargers,10.0,45.0,10.0,149.0,87.0,62.0,1.0,30.0,414.0,236.0,178.0,1.0,-13.0,-24.25,1.28,2018,crd,November,25,2018/November/25,2018-11-25
13,Sun,December 2,1:00PM ET,boxscore,1,0,3-9,1,Green Bay Packers,20.0,17.0,18.0,315.0,133.0,182.0,0.0,22.0,325.0,227.0,98.0,0.0,3.9,-3.18,0.74,2018,crd,December,2,2018/December/2,2018-12-02
14,Sun,December 9,4:25PM ET,boxscore,0,0,3-10,0,Detroit Lions,3.0,17.0,22.0,279.0,218.0,61.0,1.0,16.0,218.0,96.0,122.0,1.0,-13.32,6.04,-3.13,2018,crd,December,9,2018/December/9,2018-12-09
15,Sun,December 16,1:00PM ET,boxscore,0,0,3-11,1,Atlanta Falcons,14.0,40.0,18.0,253.0,193.0,60.0,3.0,23.0,435.0,220.0,215.0,0.0,-16.06,-15.22,7.62,2018,crd,December,16,2018/December/16,2018-12-16
16,Sun,December 23,4:05PM ET,boxscore,0,0,3-12,0,Los Angeles Rams,9.0,31.0,15.0,263.0,159.0,104.0,0.0,33.0,461.0,192.0,269.0,1.0,-4.01,-24.42,5.46,2018,crd,December,23,2018/December/23,2018-12-23
17,Sun,December 30,4:25PM ET,boxscore,0,0,3-13,1,Seattle Seahawks,24.0,27.0,12.0,198.0,113.0,85.0,2.0,16.0,291.0,109.0,182.0,1.0,-20.5,4.06,13.59,2018,crd,December,30,2018/December/30,2018-12-30
1,Sun,September 8,4:25PM ET,boxscore,0,1,0-0-1,0,Detroit Lions,27.0,27.0,21.0,387.0,275.0,112.0,1.0,23.0,477.0,361.0,116.0,2.0,-3.5,-7.02,9.8,2019,crd,September,8,2019/September/8,2019-09-08
2,Sun,September 15,1:00PM ET,boxscore,0,0,0-1-1,1,Baltimore Ravens,17.0,23.0,15.0,349.0,329.0,20.0,0.0,26.0,440.0,258.0,182.0,0.0,4.48,-11.6,-4.18,2019,crd,September,15,2019/September/15,2019-09-15
3,Sun,September 22,4:05PM ET,boxscore,0,0,0-2-1,0,Carolina Panthers,20.0,38.0,21.0,248.0,127.0,121.0,2.0,21.0,413.0,240.0,173.0,1.0,-3.15,-19.08,3.46,2019,crd,September,22,2019/September/22,2019-09-22
4,Sun,September 29,4:05PM ET,boxscore,0,0,0-3-1,0,Seattle Seahawks,10.0,27.0,20.0,321.0,206.0,115.0,1.0,21.0,340.0,225.0,115.0,0.0,-0.78,-10.61,-2.81,2019,crd,September,29,2019/September/29,2019-09-29
