Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
1,Sun,September 9,4:25PM ET,boxscore,0,0,0-1,1,Carolina Panthers,8.0,16.0,17.0,232.0,138.0,94.0,1.0,20.0,293.0,146.0,147.0,1.0,-9.14,2.28,-3.01,2018,dal,September,9,2018/September/9,2018-09-09
2,Sun,September 16,8:20PM ET,boxscore,1,0,1-1,0,New York Giants,20.0,13.0,16.0,298.0,160.0,138.0,0.0,17.0,255.0,220.0,35.0,1.0,7.1,3.49,-3.49,2018,dal,September,16,2018/September/16,2018-09-16
3,Sun,September 23,4:25PM ET,boxscore,0,0,1-2,1,Seattle Seahawks,13.0,24.0,17.0,303.0,137.0,166.0,3.0,18.0,295.0,182.0,113.0,0.0,-11.41,-5.56,11.31,2018,dal,September,23,2018/September/23,2018-09-23
4,Sun,September 30,1:00PM ET,boxscore,1,0,2-2,0,Detroit Lions,26.0,24.0,26.0,414.0,231.0,183.0,0.0,18.0,382.0,286.0,96.0,0.0,18.17,-17.1,0.37,2018,dal,September,30,2018/September/30,2018-09-30
5,Sun,October 7,8:20PM ET,boxscore,0,1,2-3,1,Houston Texans,16.0,19.0,14.0,292.0,194.0,98.0,2.0,25.0,462.0,374.0,88.0,2.0,-8.15,-1.63,5.93,2018,dal,October,7,2018/October/7,2018-10-07
6,Sun,October 14,4:25PM ET,boxscore,1,0,3-3,0,Jacksonville Jaguars,40.0,7.0,23.0,378.0,172.0,206.0,0.0,10.0,204.0,139.0,65.0,2.0,11.83,15.11,4.14,2018,dal,October,14,2018/October/14,2018-10-14
7,Sun,October 21,4:25PM ET,boxscore,0,0,3-4,1,Washington Redskins,17.0,20.0,17.0,323.0,250.0,73.0,2.0,15.0,305.0,175.0,130.0,0.0,-1.71,-0.89,-0.27,2018,dal,October,21,2018/October/21,2018-10-21
9,Mon,November 5,8:15PM ET,boxscore,0,0,3-5,0,Tennessee Titans,14.0,28.0,18.0,297.0,225.0,72.0,2.0,24.0,340.0,215.0,125.0,2.0,-2.26,-12.17,2.87,2018,dal,November,5,2018/November/5,2018-11-05
10,Sun,November 11,8:20PM ET,boxscore,1,0,4-5,1,Philadelphia Eagles,27.0,20.0,23.0,410.0,239.0,171.0,0.0,23.0,421.0,350.0,71.0,1.0,11.95,-3.87,-5.2,2018,dal,November,11,2018/November/11,2018-11-11
11,Sun,November 18,1:00PM ET,boxscore,1,0,5-5,1,Atlanta Falcons,22.0,19.0,20.0,323.0,191.0,132.0,0.0,19.0,354.0,274.0,80.0,1.0,10.89,-5.2,-0.89,2018,dal,November,18,2018/November/18,2018-11-18
