Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
1,Sun,September 9,4:25PM ET,boxscore,1,0,1-0,0,Seattle Seahawks,27.0,24.0,25.0,470.0,324.0,146.0,3.0,13.0,306.0,242.0,64.0,3.0,0.59,1.88,-0.38,2018,den,September,9,2018/September/9,2018-09-09
2,Sun,September 16,4:25PM ET,boxscore,1,0,2-0,0,Oakland Raiders,20.0,19.0,20.0,385.0,217.0,168.0,1.0,21.0,373.0,281.0,92.0,0.0,11.81,-9.02,-0.41,2018,den,September,16,2018/September/16,2018-09-16
3,Sun,September 23,1:00PM ET,boxscore,0,0,2-1,1,Baltimore Ravens,14.0,27.0,18.0,293.0,173.0,120.0,1.0,20.0,342.0,265.0,77.0,0.0,-7.96,-8.96,5.82,2018,den,September,23,2018/September/23,2018-09-23
4,Mon,October 1,8:15PM ET,boxscore,0,0,2-2,0,Kansas City Chiefs,23.0,27.0,21.0,385.0,226.0,159.0,1.0,22.0,446.0,304.0,142.0,0.0,8.63,-15.71,2.95,2018,den,October,1,2018/October/1,2018-10-01
5,Sun,October 7,1:00PM ET,boxscore,0,0,2-3,1,New York Jets,16.0,34.0,26.0,436.0,344.0,92.0,1.0,18.0,512.0,189.0,323.0,2.0,-0.21,-16.16,-0.78,2018,den,October,7,2018/October/7,2018-10-07
6,Sun,October 14,4:05PM ET,boxscore,0,0,2-4,0,Los Angeles Rams,20.0,23.0,23.0,357.0,297.0,60.0,1.0,24.0,444.0,174.0,270.0,1.0,6.06,-11.09,0.02,2018,den,October,14,2018/October/14,2018-10-14
7,Thu,October 18,8:20PM ET,boxscore,1,0,3-4,1,Arizona Cardinals,45.0,10.0,15.0,309.0,178.0,131.0,1.0,14.0,223.0,154.0,69.0,5.0,4.56,33.3,-2.09,2018,den,October,18,2018/October/18,2018-10-18
8,Sun,October 28,1:00PM ET,boxscore,0,0,3-5,1,Kansas City Chiefs,23.0,30.0,22.0,411.0,222.0,189.0,2.0,20.0,340.0,291.0,49.0,1.0,6.33,-12.25,-2.93,2018,den,October,28,2018/October/28,2018-10-28
9,Sun,November 4,4:05PM ET,boxscore,0,0,3-6,0,Houston Texans,17.0,19.0,19.0,348.0,273.0,75.0,1.0,17.0,290.0,192.0,98.0,0.0,3.66,-0.79,-3.27,2018,den,November,4,2018/November/4,2018-11-04
11,Sun,November 18,4:05PM ET,boxscore,1,0,4-6,1,Los Angeles Chargers,23.0,22.0,16.0,325.0,217.0,108.0,0.0,26.0,479.0,384.0,95.0,2.0,6.83,-9.69,4.09,2018,den,November,18,2018/November/18,2018-11-18
12,Sun,November 25,4:25PM ET,boxscore,1,0,5-6,0,Pittsburgh Steelers,24.0,17.0,17.0,308.0,184.0,124.0,0.0,25.0,527.0,452.0,75.0,4.0,4.75,-0.71,0.64,2018,den,November,25,2018/November/25,2018-11-25
13,Sun,December 2,1:00PM ET,boxscore,1,0,6-6,1,Cincinnati Bengals,24.0,10.0,16.0,361.0,143.0,218.0,1.0,20.0,313.0,202.0,111.0,3.0,4.55,7.06,0.99,2018,den,December,2,2018/December/2,2018-12-02
14,Sun,December 9,4:05PM ET,boxscore,0,0,6-7,1,San Francisco 49ers,14.0,20.0,22.0,274.0,171.0,103.0,0.0,24.0,389.0,305.0,84.0,1.0,-0.26,-6.46,3.44,2018,den,December,9,2018/December/9,2018-12-09
