Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
1,Sun,September 9,8:20PM ET,boxscore,1,0,1-0,0,Chicago Bears,24.0,23.0,16.0,370.0,301.0,69.0,2.0,18.0,294.0,155.0,139.0,1.0,1.65,1.75,0.54,2018,gnb,September,9,2018/September/9,2018-09-09
2,Sun,September 16,1:00PM ET,boxscore,0,1,1-0-1,0,Minnesota Vikings,29.0,29.0,24.0,351.0,253.0,98.0,0.0,24.0,480.0,412.0,68.0,1.0,4.92,-16.42,11.5,2018,gnb,September,16,2018/September/16,2018-09-16
3,Sun,September 23,1:00PM ET,boxscore,0,0,1-1-1,1,Washington Redskins,17.0,31.0,19.0,340.0,240.0,100.0,1.0,20.0,386.0,220.0,166.0,1.0,-3.32,-12.37,0.92,2018,gnb,September,23,2018/September/23,2018-09-23
4,Sun,September 30,1:00PM ET,boxscore,1,0,2-1-1,0,Buffalo Bills,22.0,0.0,22.0,423.0,282.0,141.0,2.0,11.0,145.0,87.0,58.0,3.0,2.71,21.05,-7.7,2018,gnb,September,30,2018/September/30,2018-09-30
5,Sun,October 7,1:00PM ET,boxscore,0,0,2-2-1,1,Detroit Lions,23.0,31.0,30.0,521.0,423.0,98.0,3.0,18.0,264.0,170.0,94.0,0.0,20.46,-4.76,-25.94,2018,gnb,October,7,2018/October/7,2018-10-07
6,Mon,October 15,8:15PM ET,boxscore,1,0,3-2-1,0,San Francisco 49ers,33.0,30.0,26.0,521.0,405.0,116.0,0.0,18.0,401.0,227.0,174.0,3.0,16.33,-11.1,-2.23,2018,gnb,October,15,2018/October/15,2018-10-15
8,Sun,October 28,4:25PM ET,boxscore,0,0,3-3-1,1,Los Angeles Rams,27.0,29.0,16.0,359.0,253.0,106.0,1.0,23.0,416.0,281.0,135.0,0.0,14.06,-7.93,-8.28,2018,gnb,October,28,2018/October/28,2018-10-28
9,Sun,November 4,8:20PM ET,boxscore,0,0,3-4-1,1,New England Patriots,17.0,31.0,22.0,367.0,250.0,117.0,1.0,28.0,433.0,310.0,123.0,0.0,4.92,-17.14,-3.52,2018,gnb,November,4,2018/November/4,2018-11-04
10,Sun,November 11,4:25PM ET,boxscore,1,0,4-4-1,0,Miami Dolphins,31.0,12.0,21.0,377.0,182.0,195.0,1.0,19.0,294.0,163.0,131.0,2.0,11.86,12.66,-5.01,2018,gnb,November,11,2018/November/11,2018-11-11
11,Thu,November 15,8:20PM ET,boxscore,0,0,4-5-1,1,Seattle Seahawks,24.0,27.0,14.0,359.0,311.0,48.0,0.0,23.0,378.0,205.0,173.0,1.0,9.27,-10.41,-4.0,2018,gnb,November,15,2018/November/15,2018-11-15
12,Sun,November 25,8:20PM ET,boxscore,0,0,4-6-1,1,Minnesota Vikings,17.0,24.0,14.0,254.0,172.0,82.0,1.0,22.0,416.0,325.0,91.0,0.0,0.78,-10.38,-1.61,2018,gnb,November,25,2018/November/25,2018-11-25
13,Sun,December 2,1:00PM ET,boxscore,0,0,4-7-1,0,Arizona Cardinals,17.0,20.0,22.0,325.0,227.0,98.0,0.0,18.0,315.0,133.0,182.0,0.0,3.18,-3.9,-0.74,2018,gnb,December,2,2018/December/2,2018-12-02
