Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
1,Sun,September 9,1:00PM ET,boxscore,0,0,0-1,1,New England Patriots,20.0,27.0,21.0,325.0,158.0,167.0,2.0,23.0,389.0,267.0,122.0,3.0,-8.05,-4.29,6.85,2018,htx,September,9,2018/September/9,2018-09-09
2,Sun,September 16,1:00PM ET,boxscore,0,0,0-2,1,Tennessee Titans,17.0,20.0,21.0,437.0,289.0,148.0,1.0,15.0,283.0,183.0,100.0,0.0,12.07,5.08,-14.87,2018,htx,September,16,2018/September/16,2018-09-16
3,Sun,September 23,1:00PM ET,boxscore,0,0,0-3,0,New York Giants,22.0,27.0,21.0,427.0,368.0,59.0,2.0,21.0,379.0,265.0,114.0,0.0,6.0,-14.9,3.71,2018,htx,September,23,2018/September/23,2018-09-23
4,Sun,September 30,1:00PM ET,boxscore,1,1,1-3,1,Indianapolis Colts,37.0,34.0,30.0,466.0,347.0,119.0,1.0,28.0,478.0,437.0,41.0,2.0,13.24,-4.22,-4.75,2018,htx,September,30,2018/September/30,2018-09-30
5,Sun,October 7,8:20PM ET,boxscore,1,1,2-3,0,Dallas Cowboys,19.0,16.0,25.0,462.0,374.0,88.0,2.0,14.0,292.0,194.0,98.0,2.0,1.63,8.15,-5.93,2018,htx,October,7,2018/October/7,2018-10-07
6,Sun,October 14,1:00PM ET,boxscore,1,0,3-3,0,Buffalo Bills,20.0,13.0,15.0,216.0,142.0,74.0,3.0,12.0,229.0,129.0,100.0,3.0,-12.36,17.49,6.15,2018,htx,October,14,2018/October/14,2018-10-14
7,Sun,October 21,1:00PM ET,boxscore,1,0,4-3,1,Jacksonville Jaguars,20.0,7.0,15.0,272.0,131.0,141.0,0.0,15.0,259.0,189.0,70.0,3.0,0.33,14.02,1.41,2018,htx,October,21,2018/October/21,2018-10-21
8,Thu,October 25,8:20PM ET,boxscore,1,0,5-3,0,Miami Dolphins,42.0,23.0,17.0,427.0,239.0,188.0,0.0,18.0,370.0,254.0,116.0,1.0,26.51,-1.41,-8.12,2018,htx,October,25,2018/October/25,2018-10-25
9,Sun,November 4,4:05PM ET,boxscore,1,0,6-3,1,Denver Broncos,19.0,17.0,17.0,290.0,192.0,98.0,0.0,19.0,348.0,273.0,75.0,1.0,0.79,-3.66,3.27,2018,htx,November,4,2018/November/4,2018-11-04
11,Sun,November 18,1:00PM ET,boxscore,1,0,7-3,1,Washington Redskins,23.0,21.0,19.0,320.0,181.0,139.0,3.0,23.0,278.0,154.0,124.0,2.0,-3.27,6.12,-1.26,2018,htx,November,18,2018/November/18,2018-11-18
12,Mon,November 26,8:15PM ET,boxscore,1,0,8-3,0,Tennessee Titans,34.0,17.0,19.0,462.0,181.0,281.0,0.0,14.0,365.0,260.0,105.0,1.0,20.01,-1.51,-7.77,2018,htx,November,26,2018/November/26,2018-11-26
13,Sun,December 2,1:00PM ET,boxscore,1,0,9-3,0,Cleveland Browns,29.0,13.0,25.0,384.0,197.0,187.0,0.0,20.0,428.0,397.0,31.0,4.0,8.03,3.39,4.03,2018,htx,December,2,2018/December/2,2018-12-02
14,Sun,December 9,1:00PM ET,boxscore,0,0,9-4,0,Indianapolis Colts,21.0,24.0,25.0,315.0,226.0,89.0,0.0,24.0,436.0,386.0,50.0,1.0,8.14,-13.09,2.01,2018,htx,December,9,2018/December/9,2018-12-09
15,Sat,December 15,4:30PM ET,boxscore,1,0,10-4,1,New York Jets,29.0,22.0,15.0,286.0,239.0,47.0,0.0,21.0,318.0,228.0,90.0,1.0,2.17,0.47,4.92,2018,htx,December,15,2018/December/15,2018-12-15
16,Sun,December 23,1:00PM ET,boxscore,0,0,10-5,1,Philadelphia Eagles,30.0,32.0,25.0,371.0,309.0,62.0,1.0,25.0,519.0,462.0,57.0,3.0,10.43,-15.67,0.98,2018,htx,December,23,2018/December/23,2018-12-23
17,Sun,December 30,1:00PM ET,boxscore,1,0,11-5,0,Jacksonville Jaguars,20.0,3.0,23.0,342.0,208.0,134.0,1.0,6.0,119.0,89.0,30.0,2.0,2.75,20.82,-2.02,2018,htx,December,30,2018/December/30,2018-12-30
Wild Card,Sat,January 5,4:35PM ET,boxscore,0,0,11-6,0,Indianapolis Colts,7.0,21.0,20.0,322.0,217.0,105.0,1.0,26.0,422.0,222.0,200.0,1.0,-3.99,-16.89,2.95,2018,htx,January,5,2018/January/5,2018-01-05
1,Mon,September 9,7:10PM ET,boxscore,0,0,0-1,1,New Orleans Saints,28.0,30.0,22.0,414.0,234.0,180.0,1.0,25.0,510.0,362.0,148.0,1.0,19.6,-23.59,0.06,2019,htx,September,9,2019/September/9,2019-09-09
2,Sun,September 15,1:00PM ET,boxscore,1,0,1-1,0,Jacksonville Jaguars,13.0,12.0,17.0,263.0,137.0,126.0,0.0,16.0,281.0,178.0,103.0,1.0,-2.3,7.19,-1.18,2019,htx,September,15,2019/September/15,2019-09-15
3,Sun,September 22,4:25PM ET,boxscore,1,0,2-1,1,Los Angeles Chargers,27.0,20.0,20.0,376.0,337.0,39.0,1.0,22.0,366.0,293.0,73.0,1.0,16.39,-6.08,-1.94,2019,htx,September,22,2019/September/22,2019-09-22
4,Sun,September 29,1:00PM ET,boxscore,0,0,2-2,0,Carolina Panthers,10.0,16.0,18.0,264.0,128.0,136.0,2.0,19.0,297.0,203.0,94.0,3.0,-9.25,5.69,1.44,2019,htx,September,29,2019/September/29,2019-09-29
5,Sun,October 6,1:00PM ET,boxscore,1,0,3-2,0,Atlanta Falcons,53.0,32.0,31.0,592.0,426.0,166.0,1.0,22.0,373.0,316.0,57.0,1.0,40.69,-6.4,-9.43,2019,htx,October,6,2019/October/6,2019-10-06
6,Sun,October 13,1:00PM ET,boxscore,1,0,4-2,1,Kansas City Chiefs,31.0,24.0,35.0,472.0,280.0,192.0,3.0,20.0,309.0,256.0,53.0,2.0,16.92,-6.1,-1.87,2019,htx,October,13,2019/October/13,2019-10-13
7,Sun,October 20,1:00PM ET,boxscore,0,0,4-3,1,Indianapolis Colts,23.0,30.0,21.0,391.0,291.0,100.0,2.0,23.0,383.0,321.0,62.0,1.0,1.33,-8.42,-0.23,2019,htx,October,20,2019/October/20,2019-10-20
8,Sun,October 27,4:25PM ET,boxscore,1,0,5-3,0,Oakland Raiders,27.0,24.0,29.0,388.0,258.0,130.0,0.0,15.0,378.0,285.0,93.0,0.0,14.69,-11.28,-1.22,2019,htx,October,27,2019/October/27,2019-10-27
9,Sun,November 3,9:30AM ET,boxscore,1,0,6-3,1,Jacksonville Jaguars,26.0,3.0,21.0,410.0,194.0,216.0,1.0,21.0,356.0,282.0,74.0,4.0,8.05,12.02,-0.32,2019,htx,November,3,2019/November/3,2019-11-03
11,Sun,November 17,1:00PM ET,boxscore,0,0,6-4,1,Baltimore Ravens,7.0,41.0,16.0,232.0,110.0,122.0,2.0,25.0,491.0,235.0,256.0,0.0,-13.24,-31.56,6.15,2019,htx,November,17,2019/November/17,2019-11-17
12,Thu,November 21,8:20PM ET,boxscore,1,0,7-4,0,Indianapolis Colts,20.0,17.0,16.0,396.0,297.0,99.0,1.0,19.0,296.0,121.0,175.0,0.0,8.75,-3.31,-0.17,2019,htx,November,21,2019/November/21,2019-11-21
13,Sun,December 1,8:20PM ET,boxscore,1,0,8-4,0,New England Patriots,28.0,22.0,16.0,276.0,224.0,52.0,0.0,29.0,448.0,303.0,145.0,1.0,10.32,-9.51,6.77,2019,htx,December,1,2019/December/1,2019-12-01
14,Sun,December 8,1:00PM ET,boxscore,0,0,8-5,0,Denver Broncos,24.0,38.0,26.0,414.0,280.0,134.0,3.0,22.0,391.0,301.0,90.0,1.0,1.1,-18.37,3.75,2019,htx,December,8,2019/December/8,2019-12-08
15,Sun,December 15,1:00PM ET,boxscore,1,0,9-5,1,Tennessee Titans,24.0,21.0,23.0,374.0,234.0,140.0,2.0,24.0,432.0,269.0,163.0,1.0,9.03,-9.37,6.55,2019,htx,December,15,2019/December/15,2019-12-15
16,Sat,December 21,1:00PM ET,boxscore,1,0,10-5,1,Tampa Bay Buccaneers,23.0,20.0,15.0,229.0,161.0,68.0,2.0,19.0,435.0,329.0,106.0,5.0,-13.02,8.4,7.92,2019,htx,December,21,2019/December/21,2019-12-21
17,Sun,December 29,4:25PM ET,boxscore,0,0,10-6,0,Tennessee Titans,14.0,35.0,20.0,301.0,192.0,109.0,1.0,25.0,467.0,222.0,245.0,0.0,1.54,-27.49,6.36,2019,htx,December,29,2019/December/29,2019-12-29
Wild Card,Sat,January 4,4:35PM ET,boxscore,1,1,11-6,0,Buffalo Bills,22.0,19.0,19.0,360.0,219.0,141.0,1.0,24.0,425.0,253.0,172.0,1.0,2.61,1.04,-1.38,2019,htx,January,4,2019/January/4,2019-01-04
