Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp
1,Sun,4:05PM ET,1,0,1-0,1,Los Angeles Chargers,38.0,28.0,19.0,362.0,256.0,106.0,0.0,33.0,541.0,418.0,123.0,2.0,13.1,-24.31,19.32,2018,kan,September,9,2018-09-09
2,Sun,1:00PM ET,1,0,2-0,1,Pittsburgh Steelers,42.0,37.0,24.0,449.0,322.0,127.0,1.0,33.0,475.0,442.0,33.0,0.0,27.25,-26.79,10.45,2018,kan,September,16,2018-09-16
3,Sun,1:00PM ET,1,0,3-0,0,San Francisco 49ers,38.0,27.0,31.0,384.0,307.0,77.0,0.0,26.0,406.0,228.0,178.0,0.0,29.69,-19.16,1.56,2018,kan,September,23,2018-09-23
4,Mon,8:15PM ET,1,0,4-0,1,Denver Broncos,27.0,23.0,22.0,446.0,304.0,142.0,0.0,21.0,385.0,226.0,159.0,1.0,15.71,-8.63,-2.95,2018,kan,October,1,2018-10-01
5,Sun,1:00PM ET,1,0,5-0,0,Jacksonville Jaguars,30.0,14.0,26.0,424.0,298.0,126.0,2.0,29.0,502.0,401.0,101.0,5.0,5.01,7.23,2.84,2018,kan,October,7,2018-10-07
6,Sun,8:20PM ET,0,0,5-1,1,New England Patriots,40.0,43.0,18.0,446.0,352.0,94.0,2.0,31.0,500.0,327.0,173.0,1.0,10.83,-21.54,8.17,2018,kan,October,14,2018-10-14
7,Sun,8:20PM ET,1,0,6-1,0,Cincinnati Bengals,45.0,10.0,33.0,551.0,353.0,198.0,1.0,15.0,239.0,174.0,65.0,1.0,32.05,7.73,-8.0,2018,kan,October,21,2018-10-21
8,Sun,1:00PM ET,1,0,7-1,0,Denver Broncos,30.0,23.0,20.0,340.0,291.0,49.0,1.0,22.0,411.0,222.0,189.0,2.0,12.25,-6.33,2.93,2018,kan,October,28,2018-10-28
9,Sun,1:00PM ET,1,0,8-1,1,Cleveland Browns,37.0,21.0,27.0,499.0,360.0,139.0,1.0,26.0,388.0,286.0,102.0,1.0,31.68,-11.8,0.72,2018,kan,November,4,2018-11-04
10,Sun,1:00PM ET,1,0,9-1,0,Arizona Cardinals,26.0,14.0,20.0,330.0,212.0,118.0,0.0,21.0,260.0,166.0,94.0,2.0,7.53,8.96,-0.25,2018,kan,November,11,2018-11-11
11,Mon,8:15PM ET,0,0,9-2,1,Los Angeles Rams,51.0,54.0,27.0,546.0,448.0,98.0,5.0,29.0,455.0,379.0,76.0,2.0,10.02,-15.93,2.52,2018,kan,November,19,2018-11-19
13,Sun,4:05PM ET,1,0,10-2,1,Oakland Raiders,40.0,33.0,25.0,469.0,295.0,174.0,1.0,28.0,442.0,271.0,171.0,3.0,20.87,-14.5,-0.05,2018,kan,December,2,2018-12-02
14,Sun,1:00PM ET,1,1,11-2,0,Baltimore Ravens,27.0,24.0,30.0,442.0,348.0,94.0,1.0,24.0,321.0,127.0,194.0,1.0,17.44,-4.92,-9.52,2018,kan,December,9,2018-12-09
15,Thu,8:20PM ET,0,0,11-3,0,Los Angeles Chargers,28.0,29.0,22.0,294.0,234.0,60.0,0.0,30.0,407.0,288.0,119.0,2.0,17.1,-21.67,4.16,2018,kan,December,13,2018-12-13
16,Sun,8:20PM ET,0,0,11-4,1,Seattle Seahawks,31.0,38.0,22.0,419.0,265.0,154.0,2.0,31.0,464.0,254.0,210.0,0.0,11.26,-23.2,5.47,2018,kan,December,23,2018-12-23
17,Sun,4:25PM ET,1,0,12-4,0,Oakland Raiders,35.0,3.0,18.0,409.0,310.0,99.0,1.0,20.0,292.0,165.0,127.0,4.0,17.34,22.66,-9.26,2018,kan,December,30,2018-12-30
Division,Sat,4:35PM ET,1,0,13-4,0,Indianapolis Colts,31.0,13.0,29.0,433.0,253.0,180.0,1.0,15.0,266.0,179.0,87.0,1.0,12.69,4.21,-1.58,2018,kan,January,12,2018-01-12
Conf. Champ.,Sun,6:40PM ET,0,1,13-5,0,New England Patriots,31.0,37.0,18.0,290.0,249.0,41.0,0.0,36.0,524.0,348.0,176.0,2.0,14.41,-19.31,-1.94,2018,kan,January,20,2018-01-20
1,Sun,1:00PM ET,1,0,1-0,1,Jacksonville Jaguars,40.0,26.0,24.0,491.0,378.0,113.0,0.0,18.0,428.0,347.0,81.0,2.0,26.49,-8.7,1.47,2019,kan,September,8,2019-09-08
2,Sun,4:05PM ET,1,0,2-0,1,Oakland Raiders,28.0,10.0,24.0,467.0,436.0,31.0,1.0,19.0,307.0,178.0,129.0,2.0,18.12,2.14,-2.97,2019,kan,September,15,2019-09-15
3,Sun,1:00PM ET,1,0,3-0,0,Baltimore Ravens,33.0,28.0,27.0,503.0,363.0,140.0,0.0,29.0,452.0,249.0,203.0,0.0,25.98,-14.5,-4.79,2019,kan,September,22,2019-09-22
4,Sun,1:00PM ET,1,0,4-0,1,Detroit Lions,34.0,30.0,29.0,438.0,315.0,123.0,3.0,29.0,447.0,261.0,186.0,2.0,17.08,-1.27,-13.41,2019,kan,September,29,2019-09-29
