Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp
1,Sun,1:00PM ET,1,0,1-0,0,Tennessee Titans,27.0,20.0,18.0,342.0,222.0,120.0,2.0,19.0,336.0,220.0,116.0,3.0,-3.23,14.51,-3.3,2018,mia,September,9,2018-09-09
2,Sun,1:00PM ET,1,0,2-0,1,New York Jets,20.0,12.0,18.0,257.0,122.0,135.0,2.0,21.0,362.0,320.0,42.0,3.0,-2.02,8.87,-0.32,2018,mia,September,16,2018-09-16
3,Sun,1:00PM ET,1,0,3-0,0,Oakland Raiders,28.0,20.0,13.0,373.0,332.0,41.0,0.0,25.0,434.0,325.0,109.0,2.0,13.07,-9.08,7.77,2018,mia,September,23,2018-09-23
4,Sun,1:00PM ET,0,0,3-1,1,New England Patriots,7.0,38.0,11.0,172.0,116.0,56.0,2.0,26.0,449.0,274.0,175.0,2.0,-12.47,-21.55,6.26,2018,mia,September,30,2018-09-30
5,Sun,1:00PM ET,0,0,3-2,1,Cincinnati Bengals,17.0,27.0,17.0,297.0,169.0,128.0,3.0,17.0,332.0,229.0,103.0,1.0,-14.46,-0.18,5.85,2018,mia,October,7,2018-10-07
6,Sun,1:00PM ET,1,1,4-2,0,Chicago Bears,31.0,28.0,23.0,541.0,380.0,161.0,3.0,23.0,467.0,303.0,164.0,3.0,10.81,-12.66,5.41,2018,mia,October,14,2018-10-14
7,Sun,1:00PM ET,0,0,4-3,0,Detroit Lions,21.0,32.0,19.0,322.0,215.0,107.0,0.0,24.0,457.0,209.0,248.0,0.0,15.19,-22.39,-4.4,2018,mia,October,21,2018-10-21
8,Thu,8:20PM ET,0,0,4-4,1,Houston Texans,23.0,42.0,18.0,370.0,254.0,116.0,1.0,17.0,427.0,239.0,188.0,0.0,1.41,-26.51,8.12,2018,mia,October,25,2018-10-25
9,Sun,1:00PM ET,1,0,5-4,0,New York Jets,13.0,6.0,7.0,168.0,104.0,64.0,0.0,15.0,282.0,202.0,80.0,4.0,-16.51,18.82,3.31,2018,mia,November,4,2018-11-04
10,Sun,4:25PM ET,0,0,5-5,1,Green Bay Packers,12.0,31.0,19.0,294.0,163.0,131.0,2.0,21.0,377.0,182.0,195.0,1.0,-12.66,-11.86,5.01,2018,mia,November,11,2018-11-11
12,Sun,4:25PM ET,0,0,5-6,1,Indianapolis Colts,24.0,27.0,14.0,314.0,201.0,113.0,1.0,26.0,455.0,337.0,118.0,3.0,3.02,-12.34,5.47,2018,mia,November,25,2018-11-25
13,Sun,1:00PM ET,1,0,6-6,0,Buffalo Bills,21.0,17.0,15.0,175.0,115.0,60.0,1.0,24.0,415.0,217.0,198.0,3.0,0.01,-10.93,9.78,2018,mia,December,2,2018-12-02
14,Sun,1:00PM ET,1,0,7-6,0,New England Patriots,34.0,33.0,20.0,412.0,223.0,189.0,0.0,28.0,421.0,344.0,77.0,0.0,19.73,-21.02,0.46,2018,mia,December,9,2018-12-09
15,Sun,1:00PM ET,0,0,7-7,1,Minnesota Vikings,17.0,41.0,12.0,193.0,37.0,156.0,0.0,22.0,418.0,198.0,220.0,1.0,-14.15,-10.62,-1.19,2018,mia,December,16,2018-12-16
16,Sun,1:00PM ET,0,0,7-8,0,Jacksonville Jaguars,7.0,17.0,11.0,183.0,121.0,62.0,2.0,19.0,244.0,118.0,126.0,1.0,-15.96,2.6,-0.98,2018,mia,December,23,2018-12-23
17,Sun,1:00PM ET,0,0,7-9,1,Buffalo Bills,17.0,42.0,17.0,225.0,126.0,99.0,4.0,23.0,381.0,215.0,166.0,1.0,-16.21,-13.1,4.96,2018,mia,December,30,2018-12-30
1,Sun,1:00PM ET,0,0,0-1,0,Baltimore Ravens,10.0,59.0,12.0,200.0,179.0,21.0,3.0,31.0,643.0,378.0,265.0,0.0,-9.29,-42.69,-0.99,2019,mia,September,8,2019-09-08
2,Sun,1:00PM ET,0,0,0-2,0,New England Patriots,0.0,43.0,11.0,184.0,142.0,42.0,4.0,27.0,379.0,255.0,124.0,1.0,-35.44,-14.12,12.05,2019,mia,September,15,2019-09-15
3,Sun,1:00PM ET,0,0,0-3,1,Dallas Cowboys,6.0,31.0,17.0,283.0,211.0,72.0,1.0,28.0,476.0,241.0,235.0,1.0,-14.0,-19.62,6.19,2019,mia,September,22,2019-09-22
4,Sun,1:00PM ET,0,0,0-4,0,Los Angeles Chargers,10.0,30.0,13.0,233.0,161.0,72.0,1.0,24.0,390.0,311.0,79.0,0.0,0.41,-15.45,-3.89,2019,mia,September,29,2019-09-29
6,Sun,1:00PM ET,0,0,0-5,0,Washington Redskins,16.0,17.0,21.0,271.0,187.0,84.0,2.0,13.0,311.0,166.0,145.0,0.0,-9.38,-1.22,5.99,2019,mia,October,13,2019-10-13
7,Sun,1:00PM ET,0,0,0-6,1,Buffalo Bills,21.0,31.0,24.0,381.0,272.0,109.0,2.0,17.0,305.0,188.0,117.0,0.0,5.68,-5.07,-3.71,2019,mia,October,20,2019-10-20
8,Mon,8:15PM ET,0,0,0-7,1,Pittsburgh Steelers,14.0,27.0,16.0,230.0,170.0,60.0,4.0,21.0,394.0,236.0,158.0,1.0,-12.16,-5.58,3.84,2019,mia,October,28,2019-10-28
9,Sun,1:00PM ET,1,0,1-7,0,New York Jets,26.0,18.0,22.0,316.0,266.0,50.0,0.0,17.0,321.0,238.0,83.0,1.0,9.94,2.76,-3.06,2019,mia,November,3,2019-11-03
10,Sun,4:05PM ET,1,0,2-7,1,Indianapolis Colts,16.0,12.0,13.0,229.0,159.0,70.0,2.0,19.0,300.0,191.0,109.0,3.0,-16.73,16.98,3.1,2019,mia,November,10,2019-11-10
11,Sun,1:00PM ET,0,0,2-8,0,Buffalo Bills,20.0,37.0,19.0,303.0,280.0,23.0,1.0,22.0,424.0,256.0,168.0,0.0,-11.58,-15.2,7.56,2019,mia,November,17,2019-11-17
12,Sun,1:00PM ET,0,0,2-9,1,Cleveland Browns,24.0,41.0,22.0,284.0,192.0,92.0,2.0,30.0,467.0,320.0,147.0,1.0,5.91,-26.93,3.5,2019,mia,November,24,2019-11-24
13,Sun,1:00PM ET,1,0,3-9,0,Philadelphia Eagles,37.0,31.0,26.0,409.0,351.0,58.0,1.0,23.0,386.0,294.0,92.0,1.0,16.93,-11.33,-0.08,2019,mia,December,1,2019-12-01
