Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp
1,Sun,1:00PM ET,0,0,0-1,0,Tampa Bay Buccaneers,40.0,48.0,26.0,475.0,432.0,43.0,2.0,26.0,529.0,417.0,112.0,0.0,19.83,-29.69,4.9,2018,nor,September,9,2018-09-09
2,Sun,1:00PM ET,1,0,1-1,0,Cleveland Browns,21.0,18.0,18.0,275.0,213.0,62.0,2.0,16.0,327.0,234.0,93.0,1.0,-2.16,-2.85,10.01,2018,nor,September,16,2018-09-16
3,Sun,1:00PM ET,1,1,2-1,1,Atlanta Falcons,43.0,37.0,32.0,534.0,391.0,143.0,0.0,24.0,407.0,359.0,48.0,0.0,26.85,-20.31,-0.47,2018,nor,September,23,2018-09-23
4,Sun,4:25PM ET,1,0,3-1,1,New York Giants,33.0,18.0,25.0,389.0,219.0,170.0,0.0,22.0,299.0,234.0,65.0,2.0,12.86,0.2,2.41,2018,nor,September,30,2018-09-30
5,Mon,8:15PM ET,1,0,4-1,0,Washington Redskins,43.0,19.0,27.0,447.0,349.0,98.0,1.0,18.0,283.0,244.0,39.0,2.0,25.98,6.22,-6.15,2018,nor,October,8,2018-10-08
7,Sun,4:05PM ET,1,0,5-1,1,Baltimore Ravens,24.0,23.0,26.0,339.0,205.0,134.0,1.0,25.0,351.0,274.0,77.0,0.0,12.99,-16.64,7.63,2018,nor,October,21,2018-10-21
8,Sun,8:20PM ET,1,0,6-1,1,Minnesota Vikings,30.0,20.0,17.0,270.0,164.0,106.0,1.0,27.0,423.0,338.0,85.0,2.0,5.19,-5.3,6.75,2018,nor,October,28,2018-10-28
9,Sun,4:25PM ET,1,0,7-1,0,Los Angeles Rams,45.0,35.0,31.0,487.0,346.0,141.0,1.0,23.0,483.0,391.0,92.0,1.0,29.05,-20.09,8.53,2018,nor,November,4,2018-11-04
10,Sun,1:00PM ET,1,0,8-1,1,Cincinnati Bengals,51.0,14.0,33.0,509.0,265.0,244.0,0.0,13.0,284.0,174.0,110.0,2.0,34.52,6.87,-4.6,2018,nor,November,11,2018-11-11
11,Sun,4:25PM ET,1,0,9-1,0,Philadelphia Eagles,48.0,7.0,28.0,546.0,373.0,173.0,0.0,13.0,196.0,138.0,58.0,3.0,35.64,11.41,-4.02,2018,nor,November,18,2018-11-18
12,Thu,8:20PM ET,1,0,10-1,0,Atlanta Falcons,31.0,17.0,19.0,312.0,162.0,150.0,1.0,21.0,366.0,340.0,26.0,4.0,11.04,2.35,-0.37,2018,nor,November,22,2018-11-22
13,Thu,8:20PM ET,0,0,10-2,1,Dallas Cowboys,10.0,13.0,14.0,176.0,111.0,65.0,1.0,21.0,308.0,209.0,99.0,2.0,-9.57,0.16,1.7,2018,nor,November,29,2018-11-29
14,Sun,1:00PM ET,1,0,11-2,1,Tampa Bay Buccaneers,28.0,14.0,19.0,298.0,198.0,100.0,2.0,20.0,279.0,174.0,105.0,1.0,1.64,1.15,10.68,2018,nor,December,9,2018-12-09
15,Mon,8:15PM ET,1,0,12-2,1,Carolina Panthers,12.0,9.0,21.0,346.0,191.0,155.0,2.0,13.0,247.0,149.0,98.0,2.0,-4.68,9.06,4.46,2018,nor,December,17,2018-12-17
