Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
1,Sun,September 9,1:00PM ET,boxscore,1,0,1-0,0,Houston Texans,27.0,20.0,23.0,389.0,267.0,122.0,3.0,21.0,325.0,158.0,167.0,2.0,4.29,8.05,-6.85,2018,nwe,September,9,2018/September/9,2018-09-09
2,Sun,September 16,4:25PM ET,boxscore,0,0,1-1,1,Jacksonville Jaguars,20.0,31.0,18.0,302.0,220.0,82.0,1.0,27.0,480.0,376.0,104.0,2.0,2.13,-18.76,4.44,2018,nwe,September,16,2018/September/16,2018-09-16
3,Sun,September 23,8:20PM ET,boxscore,0,0,1-2,1,Detroit Lions,10.0,26.0,12.0,209.0,120.0,89.0,1.0,25.0,414.0,255.0,159.0,1.0,-5.39,-13.69,2.81,2018,nwe,September,23,2018/September/23,2018-09-23
4,Sun,September 30,1:00PM ET,boxscore,1,0,2-2,0,Miami Dolphins,38.0,7.0,26.0,449.0,274.0,175.0,2.0,11.0,172.0,116.0,56.0,2.0,21.55,12.47,-6.26,2018,nwe,September,30,2018/September/30,2018-09-30
5,Thu,October 4,8:20PM ET,boxscore,1,0,3-2,0,Indianapolis Colts,38.0,24.0,26.0,438.0,341.0,97.0,2.0,26.0,439.0,355.0,84.0,3.0,13.9,-2.15,2.13,2018,nwe,October,4,2018/October/4,2018-10-04
6,Sun,October 14,8:20PM ET,boxscore,1,0,4-2,0,Kansas City Chiefs,43.0,40.0,31.0,500.0,327.0,173.0,1.0,18.0,446.0,352.0,94.0,2.0,21.54,-10.83,-8.17,2018,nwe,October,14,2018/October/14,2018-10-14
7,Sun,October 21,1:00PM ET,boxscore,1,0,5-2,1,Chicago Bears,38.0,31.0,21.0,381.0,273.0,108.0,3.0,29.0,453.0,319.0,134.0,2.0,9.37,-16.6,5.66,2018,nwe,October,21,2018/October/21,2018-10-21
8,Mon,October 29,8:15PM ET,boxscore,1,0,6-2,1,Buffalo Bills,25.0,6.0,22.0,387.0,311.0,76.0,0.0,16.0,333.0,287.0,46.0,2.0,3.65,20.65,-6.52,2018,nwe,October,29,2018/October/29,2018-10-29
9,Sun,November 4,8:20PM ET,boxscore,1,0,7-2,0,Green Bay Packers,31.0,17.0,28.0,433.0,310.0,123.0,0.0,22.0,367.0,250.0,117.0,1.0,17.14,-4.92,3.52,2018,nwe,November,4,2018/November/4,2018-11-04
10,Sun,November 11,1:00PM ET,boxscore,0,0,7-3,1,Tennessee Titans,10.0,34.0,16.0,284.0,244.0,40.0,0.0,23.0,385.0,235.0,150.0,0.0,-5.76,-14.31,-2.47,2018,nwe,November,11,2018/November/11,2018-11-11
