Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp
1,Mon,7:10PM ET,1,0,1-0,1,Detroit Lions,48.0,17.0,18.0,349.0,180.0,169.0,2.0,20.0,339.0,300.0,39.0,5.0,4.69,16.54,10.55,2018,nyj,September,10,2018-09-10
2,Sun,1:00PM ET,0,0,1-1,0,Miami Dolphins,12.0,20.0,21.0,362.0,320.0,42.0,3.0,18.0,257.0,122.0,135.0,2.0,-8.87,2.02,0.32,2018,nyj,September,16,2018-09-16
3,Thu,8:20PM ET,0,0,1-2,1,Cleveland Browns,17.0,21.0,14.0,268.0,161.0,107.0,3.0,20.0,323.0,190.0,133.0,0.0,-10.59,-0.16,6.79,2018,nyj,September,20,2018-09-20
4,Sun,1:00PM ET,0,0,1-3,1,Jacksonville Jaguars,12.0,31.0,10.0,178.0,144.0,34.0,0.0,23.0,503.0,377.0,126.0,3.0,-11.57,-4.35,2.04,2018,nyj,September,30,2018-09-30
5,Sun,1:00PM ET,1,0,2-3,0,Denver Broncos,34.0,16.0,18.0,512.0,189.0,323.0,2.0,26.0,436.0,344.0,92.0,1.0,16.16,0.21,0.78,2018,nyj,October,7,2018-10-07
6,Sun,1:00PM ET,1,0,3-3,0,Indianapolis Colts,42.0,34.0,18.0,374.0,267.0,107.0,2.0,24.0,428.0,301.0,127.0,4.0,1.27,5.04,-4.11,2018,nyj,October,14,2018-10-14
7,Sun,1:00PM ET,0,0,3-4,0,Minnesota Vikings,17.0,37.0,16.0,263.0,192.0,71.0,4.0,15.0,316.0,228.0,88.0,0.0,-25.19,2.03,3.85,2018,nyj,October,21,2018-10-21
8,Sun,1:00PM ET,0,0,3-5,1,Chicago Bears,10.0,24.0,12.0,207.0,150.0,57.0,0.0,22.0,395.0,216.0,179.0,0.0,-6.25,-15.66,9.71,2018,nyj,October,28,2018-10-28
9,Sun,1:00PM ET,0,0,3-6,1,Miami Dolphins,6.0,13.0,15.0,282.0,202.0,80.0,4.0,7.0,168.0,104.0,64.0,0.0,-18.82,16.51,-3.31,2018,nyj,November,4,2018-11-04
10,Sun,1:00PM ET,0,0,3-7,0,Buffalo Bills,10.0,41.0,12.0,199.0,116.0,83.0,2.0,23.0,451.0,239.0,212.0,0.0,-15.96,-16.35,-5.86,2018,nyj,November,11,2018-11-11
12,Sun,1:00PM ET,0,0,3-8,0,New England Patriots,13.0,27.0,18.0,338.0,264.0,74.0,1.0,25.0,498.0,283.0,215.0,0.0,1.72,-20.44,2.45,2018,nyj,November,25,2018-11-25
13,Sun,4:05PM ET,0,0,3-9,1,Tennessee Titans,22.0,26.0,15.0,280.0,124.0,156.0,1.0,22.0,403.0,273.0,130.0,1.0,-12.4,-1.59,9.82,2018,nyj,December,2,2018-12-02
14,Sun,1:00PM ET,1,0,4-9,1,Buffalo Bills,27.0,23.0,15.0,248.0,170.0,78.0,2.0,24.0,368.0,192.0,176.0,3.0,4.74,-6.81,5.69,2018,nyj,December,9,2018-12-09
15,Sat,4:30PM ET,0,0,4-10,0,Houston Texans,22.0,29.0,21.0,318.0,228.0,90.0,1.0,15.0,286.0,239.0,47.0,0.0,-0.47,-2.17,-4.92,2018,nyj,December,15,2018-12-15
16,Sun,1:00PM ET,0,1,4-11,0,Green Bay Packers,38.0,44.0,23.0,370.0,323.0,47.0,0.0,35.0,540.0,413.0,127.0,1.0,12.93,-33.16,15.5,2018,nyj,December,23,2018-12-23
17,Sun,1:00PM ET,0,0,4-12,1,New England Patriots,3.0,38.0,12.0,239.0,135.0,104.0,3.0,24.0,375.0,244.0,131.0,0.0,-29.0,-12.41,5.46,2018,nyj,December,30,2018-12-30
1,Sun,1:00PM ET,0,0,0-1,0,Buffalo Bills,16.0,17.0,17.0,223.0,155.0,68.0,1.0,23.0,370.0,242.0,128.0,4.0,-7.39,3.17,1.63,2019,nyj,September,8,2019-09-08
2,Mon,8:15PM ET,0,0,0-2,0,Cleveland Browns,3.0,23.0,13.0,262.0,169.0,93.0,1.0,16.0,375.0,305.0,70.0,1.0,-14.42,-4.95,0.9,2019,nyj,September,16,2019-09-16
3,Sun,1:00PM ET,0,0,0-3,1,New England Patriots,14.0,30.0,6.0,105.0,69.0,36.0,1.0,21.0,381.0,313.0,68.0,2.0,-26.43,-1.65,9.81,2019,nyj,September,22,2019-09-22
5,Sun,1:00PM ET,0,0,0-4,1,Philadelphia Eagles,6.0,31.0,9.0,128.0,61.0,67.0,3.0,17.0,265.0,181.0,84.0,1.0,-35.65,4.56,6.44,2019,nyj,October,6,2019-10-06
6,Sun,4:25PM ET,1,0,1-4,0,Dallas Cowboys,24.0,22.0,20.0,382.0,326.0,56.0,1.0,26.0,399.0,270.0,129.0,0.0,10.83,-11.13,3.11,2019,nyj,October,13,2019-10-13
7,Mon,8:15PM ET,0,0,1-5,0,New England Patriots,0.0,33.0,12.0,154.0,73.0,81.0,6.0,22.0,323.0,249.0,74.0,1.0,-28.37,-2.21,-1.82,2019,nyj,October,21,2019-10-21
8,Sun,1:00PM ET,0,0,1-6,1,Jacksonville Jaguars,15.0,29.0,15.0,213.0,167.0,46.0,3.0,21.0,389.0,278.0,111.0,1.0,-12.91,-4.35,3.33,2019,nyj,October,27,2019-10-27
9,Sun,1:00PM ET,0,0,1-7,1,Miami Dolphins,18.0,26.0,17.0,321.0,238.0,83.0,1.0,22.0,316.0,266.0,50.0,0.0,-2.76,-9.94,3.06,2019,nyj,November,3,2019-11-03
10,Sun,1:00PM ET,1,0,2-7,0,New York Giants,34.0,27.0,18.0,294.0,218.0,76.0,0.0,15.0,281.0,258.0,23.0,2.0,6.97,2.96,-0.39,2019,nyj,November,10,2019-11-10
11,Sun,1:00PM ET,1,0,3-7,1,Washington Redskins,34.0,17.0,23.0,400.0,285.0,115.0,2.0,13.0,225.0,171.0,54.0,1.0,10.08,18.32,-9.2,2019,nyj,November,17,2019-11-17
12,Sun,1:00PM ET,1,0,4-7,0,Oakland Raiders,34.0,3.0,21.0,401.0,313.0,88.0,1.0,10.0,208.0,140.0,68.0,2.0,12.75,19.86,-2.36,2019,nyj,November,24,2019-11-24
