Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
1,Thu,September 6,8:20PM ET,boxscore,1,0,1-0,0,Atlanta Falcons,18.0,12.0,18.0,232.0,119.0,113.0,2.0,16.0,299.0,225.0,74.0,1.0,-3.11,7.26,-2.58,2018,phi,September,6,2018/September/6,2018-09-06
2,Sun,September 16,1:00PM ET,boxscore,0,0,1-1,1,Tampa Bay Buccaneers,21.0,27.0,24.0,412.0,321.0,91.0,2.0,18.0,436.0,393.0,43.0,2.0,5.14,-10.11,-1.42,2018,phi,September,16,2018/September/16,2018-09-16
3,Sun,September 23,1:00PM ET,boxscore,1,0,2-1,0,Indianapolis Colts,20.0,16.0,26.0,379.0,227.0,152.0,2.0,14.0,209.0,141.0,68.0,0.0,3.85,5.54,-6.21,2018,phi,September,23,2018/September/23,2018-09-23
4,Sun,September 30,1:00PM ET,boxscore,0,1,2-2,1,Tennessee Titans,23.0,26.0,25.0,432.0,315.0,117.0,1.0,22.0,397.0,327.0,70.0,1.0,4.64,-8.76,-4.88,2018,phi,September,30,2018/September/30,2018-09-30
5,Sun,October 7,4:25PM ET,boxscore,0,0,2-3,0,Minnesota Vikings,21.0,23.0,21.0,364.0,283.0,81.0,2.0,19.0,375.0,298.0,77.0,1.0,-1.97,-4.35,3.83,2018,phi,October,7,2018/October/7,2018-10-07
6,Thu,October 11,8:20PM ET,boxscore,1,0,3-3,1,New York Giants,34.0,13.0,23.0,379.0,271.0,108.0,0.0,17.0,401.0,254.0,147.0,1.0,16.39,1.39,-2.22,2018,phi,October,11,2018/October/11,2018-10-11
7,Sun,October 21,1:00PM ET,boxscore,0,0,3-4,0,Carolina Panthers,17.0,21.0,21.0,342.0,284.0,58.0,1.0,19.0,371.0,250.0,121.0,0.0,8.65,-16.68,2.41,2018,phi,October,21,2018/October/21,2018-10-21
8,Sun,October 28,9:30AM ET,boxscore,1,0,4-4,1,Jacksonville Jaguars,24.0,18.0,22.0,395.0,262.0,133.0,2.0,16.0,335.0,265.0,70.0,1.0,10.42,2.83,-5.64,2018,phi,October,28,2018/October/28,2018-10-28
10,Sun,November 11,8:20PM ET,boxscore,0,0,4-5,0,Dallas Cowboys,20.0,27.0,23.0,421.0,350.0,71.0,1.0,23.0,410.0,239.0,171.0,0.0,3.87,-11.95,5.2,2018,phi,November,11,2018/November/11,2018-11-11
11,Sun,November 18,4:25PM ET,boxscore,0,0,4-6,1,New Orleans Saints,7.0,48.0,13.0,196.0,138.0,58.0,3.0,28.0,546.0,373.0,173.0,0.0,-11.41,-35.64,4.02,2018,phi,November,18,2018/November/18,2018-11-18
12,Sun,November 25,1:00PM ET,boxscore,1,0,5-6,0,New York Giants,25.0,22.0,19.0,341.0,214.0,127.0,0.0,18.0,402.0,276.0,126.0,1.0,11.2,-6.46,-1.03,2018,phi,November,25,2018/November/25,2018-11-25
13,Mon,December 3,8:15PM ET,boxscore,1,0,6-6,0,Washington Redskins,28.0,13.0,28.0,436.0,306.0,130.0,1.0,10.0,235.0,131.0,104.0,1.0,11.31,7.51,-4.67,2018,phi,December,3,2018/December/3,2018-12-03
14,Sun,December 9,4:25PM ET,boxscore,0,1,6-7,1,Dallas Cowboys,23.0,29.0,16.0,256.0,222.0,34.0,1.0,32.0,576.0,434.0,142.0,3.0,0.29,-9.25,2.96,2018,phi,December,9,2018/December/9,2018-12-09
15,Sun,December 16,8:20PM ET,boxscore,1,0,7-7,1,Los Angeles Rams,30.0,23.0,17.0,381.0,270.0,111.0,1.0,23.0,407.0,325.0,82.0,3.0,1.68,-1.52,3.79,2018,phi,December,16,2018/December/16,2018-12-16
16,Sun,December 23,1:00PM ET,boxscore,1,0,8-7,0,Houston Texans,32.0,30.0,25.0,519.0,462.0,57.0,3.0,25.0,371.0,309.0,62.0,1.0,15.67,-10.43,-0.98,2018,phi,December,23,2018/December/23,2018-12-23
17,Sun,December 30,4:25PM ET,boxscore,1,0,9-7,1,Washington Redskins,24.0,0.0,25.0,360.0,231.0,129.0,1.0,8.0,89.0,68.0,21.0,1.0,12.25,20.41,-7.8,2018,phi,December,30,2018/December/30,2018-12-30
Wild Card,Sun,January 6,4:40PM ET,boxscore,1,0,10-7,1,Chicago Bears,16.0,15.0,21.0,300.0,258.0,42.0,2.0,17.0,356.0,291.0,65.0,0.0,2.5,-5.47,10.43,2018,phi,January,6,2018/January/6,2018-01-06
Division,Sun,January 13,4:40PM ET,boxscore,0,0,10-8,1,New Orleans Saints,14.0,20.0,15.0,250.0,201.0,49.0,2.0,25.0,420.0,283.0,137.0,1.0,0.41,-10.9,3.17,2018,phi,January,13,2018/January/13,2018-01-13
1,Sun,September 8,1:00PM ET,boxscore,1,0,1-0,0,Washington Redskins,32.0,27.0,22.0,436.0,313.0,123.0,0.0,15.0,398.0,370.0,28.0,0.0,17.68,-12.08,0.64,2019,phi,September,8,2019/September/8,2019-09-08
2,Sun,September 15,8:20PM ET,boxscore,0,0,1-1,1,Atlanta Falcons,20.0,24.0,18.0,286.0,237.0,49.0,3.0,19.0,367.0,310.0,57.0,3.0,-5.22,-3.96,4.03,2019,phi,September,15,2019/September/15,2019-09-15
3,Sun,September 22,1:00PM ET,boxscore,0,0,1-2,0,Detroit Lions,24.0,27.0,22.0,373.0,246.0,127.0,2.0,16.0,287.0,201.0,86.0,0.0,-0.31,-1.07,-3.8,2019,phi,September,22,2019/September/22,2019-09-22
4,Thu,September 26,8:20PM ET,boxscore,1,0,2-2,1,Green Bay Packers,34.0,27.0,24.0,336.0,160.0,176.0,0.0,31.0,491.0,414.0,77.0,2.0,18.42,-16.95,4.12,2019,phi,September,26,2019/September/26,2019-09-26
5,Sun,October 6,1:00PM ET,boxscore,1,0,3-2,0,New York Jets,31.0,6.0,17.0,265.0,181.0,84.0,1.0,9.0,128.0,61.0,67.0,3.0,-4.56,35.65,-6.44,2019,phi,October,6,2019/October/6,2019-10-06
6,Sun,October 13,1:00PM ET,boxscore,0,0,3-3,1,Minnesota Vikings,20.0,38.0,19.0,400.0,292.0,108.0,3.0,26.0,447.0,325.0,122.0,2.0,2.18,-17.04,0.52,2019,phi,October,13,2019/October/13,2019-10-13
7,Sun,October 20,8:20PM ET,boxscore,0,0,3-4,1,Dallas Cowboys,10.0,37.0,16.0,283.0,168.0,115.0,4.0,23.0,402.0,213.0,189.0,1.0,-10.92,-15.32,0.53,2019,phi,October,20,2019/October/20,2019-10-20
8,Sun,October 27,1:00PM ET,boxscore,1,0,4-4,1,Buffalo Bills,31.0,13.0,21.0,371.0,153.0,218.0,1.0,16.0,253.0,155.0,98.0,1.0,10.88,7.91,-5.78,2019,phi,October,27,2019/October/27,2019-10-27
9,Sun,November 3,1:00PM ET,boxscore,1,0,5-4,0,Chicago Bears,22.0,14.0,26.0,373.0,227.0,146.0,0.0,10.0,164.0,102.0,62.0,1.0,10.73,4.78,-2.82,2019,phi,November,3,2019/November/3,2019-11-03
11,Sun,November 17,4:25PM ET,boxscore,0,0,5-5,0,New England Patriots,10.0,17.0,21.0,255.0,174.0,81.0,1.0,19.0,298.0,224.0,74.0,0.0,-9.17,4.83,-0.43,2019,phi,November,17,2019/November/17,2019-11-17
12,Sun,November 24,1:00PM ET,boxscore,0,0,5-6,0,Seattle Seahawks,9.0,17.0,23.0,344.0,238.0,106.0,5.0,14.0,348.0,174.0,174.0,2.0,-17.25,4.38,0.2,2019,phi,November,24,2019/November/24,2019-11-24
13,Sun,December 1,1:00PM ET,boxscore,0,0,5-7,1,Miami Dolphins,31.0,37.0,23.0,386.0,294.0,92.0,1.0,26.0,409.0,351.0,58.0,1.0,11.33,-16.93,0.08,2019,phi,December,1,2019/December/1,2019-12-01
14,Mon,December 9,8:15PM ET,boxscore,1,1,6-7,0,New York Giants,23.0,17.0,27.0,418.0,300.0,118.0,1.0,11.0,255.0,182.0,73.0,0.0,3.0,4.47,-0.47,2019,phi,December,9,2019/December/9,2019-12-09
15,Sun,December 15,1:00PM ET,boxscore,1,0,7-7,1,Washington Redskins,37.0,27.0,27.0,415.0,258.0,157.0,1.0,19.0,352.0,251.0,101.0,1.0,19.99,-5.52,-3.89,2019,phi,December,15,2019/December/15,2019-12-15
16,Sun,December 22,4:25PM ET,boxscore,1,0,8-7,0,Dallas Cowboys,17.0,9.0,23.0,431.0,313.0,118.0,0.0,16.0,311.0,257.0,54.0,1.0,8.73,6.26,-3.16,2019,phi,December,22,2019/December/22,2019-12-22
17,Sun,December 29,4:25PM ET,boxscore,1,0,9-7,1,New York Giants,34.0,17.0,25.0,400.0,279.0,121.0,0.0,19.0,397.0,275.0,122.0,2.0,6.3,6.61,-0.16,2019,phi,December,29,2019/December/29,2019-12-29
Wild Card,Sun,January 5,4:40PM ET,boxscore,0,0,9-8,0,Seattle Seahawks,9.0,17.0,20.0,282.0,162.0,120.0,0.0,16.0,382.0,318.0,64.0,0.0,-1.96,-10.59,3.79,2019,phi,January,5,2019/January/5,2019-01-05
1,Sun,September 13,1:00PM ET,boxscore,0,0,0-1,1,Washington Football Team,17.0,27.0,19.0,265.0,208.0,57.0,3.0,18.0,239.0,159.0,80.0,0.0,-16.45,6.28,1.28,2020,phi,September,13,2020/September/13,2020-09-13
2,Sun,September 20,1:00PM ET,boxscore,0,0,0-2,0,Los Angeles Rams,19.0,37.0,25.0,363.0,242.0,121.0,3.0,30.0,449.0,258.0,191.0,1.0,-0.85,-27.57,8.25,2020,phi,September,20,2020/September/20,2020-09-20
3,Sun,September 27,1:00PM ET,boxscore,0,1,0-2-1,0,Cincinnati Bengals,23.0,23.0,27.0,378.0,206.0,172.0,2.0,24.0,304.0,256.0,48.0,0.0,1.65,0.48,-1.44,2020,phi,September,27,2020/September/27,2020-09-27
4,Sun,October 4,8:20PM ET,boxscore,1,0,1-2-1,1,San Francisco 49ers,25.0,20.0,18.0,267.0,174.0,93.0,1.0,25.0,417.0,301.0,116.0,3.0,0.66,-0.02,3.75,2020,phi,October,4,2020/October/4,2020-10-04
5,Sun,October 11,1:00PM ET,boxscore,0,0,1-3-1,1,Pittsburgh Steelers,29.0,38.0,20.0,336.0,242.0,94.0,2.0,25.0,367.0,231.0,136.0,1.0,14.47,-20.16,-3.43,2020,phi,October,11,2020/October/11,2020-10-11
6,Sun,October 18,1:00PM ET,boxscore,0,0,1-4-1,0,Baltimore Ravens,28.0,30.0,19.0,364.0,170.0,194.0,1.0,17.0,355.0,173.0,182.0,0.0,1.83,0.7,-9.68,2020,phi,October,18,2020/October/18,2020-10-18
7,Thu,October 22,8:20PM ET,boxscore,1,0,2-4-1,0,New York Giants,22.0,21.0,27.0,442.0,346.0,96.0,1.0,17.0,325.0,165.0,160.0,3.0,2.8,1.65,-1.27,2020,phi,October,22,2020/October/22,2020-10-22
