Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
1,Sun,September 9,1:00PM ET,boxscore,0,1,0-0-1,1,Cleveland Browns,21.0,21.0,25.0,472.0,313.0,159.0,6.0,22.0,327.0,150.0,177.0,1.0,-12.04,11.02,1.51,2018,pit,September,9,2018/September/9,2018-09-09
2,Sun,September 16,1:00PM ET,boxscore,0,0,0-1-1,0,Kansas City Chiefs,37.0,42.0,33.0,475.0,442.0,33.0,0.0,24.0,449.0,322.0,127.0,1.0,26.79,-27.25,-10.45,2018,pit,September,16,2018/September/16,2018-09-16
3,Mon,September 24,8:15PM ET,boxscore,1,0,1-1-1,1,Tampa Bay Buccaneers,30.0,27.0,22.0,413.0,335.0,78.0,1.0,28.0,455.0,392.0,63.0,4.0,9.86,-3.18,-2.73,2018,pit,September,24,2018/September/24,2018-09-24
4,Sun,September 30,8:20PM ET,boxscore,0,0,1-2-1,0,Baltimore Ravens,14.0,26.0,14.0,284.0,265.0,19.0,2.0,24.0,451.0,355.0,96.0,1.0,-10.05,-7.71,2.06,2018,pit,September,30,2018/September/30,2018-09-30
5,Sun,October 7,1:00PM ET,boxscore,1,0,2-2-1,0,Atlanta Falcons,41.0,17.0,22.0,381.0,250.0,131.0,1.0,22.0,324.0,262.0,62.0,1.0,20.96,1.13,0.44,2018,pit,October,7,2018/October/7,2018-10-07
6,Sun,October 14,1:00PM ET,boxscore,1,0,3-2-1,1,Cincinnati Bengals,28.0,21.0,26.0,481.0,369.0,112.0,0.0,19.0,275.0,213.0,62.0,0.0,21.96,-8.56,-7.33,2018,pit,October,14,2018/October/14,2018-10-14
8,Sun,October 28,1:00PM ET,boxscore,1,0,4-2-1,0,Cleveland Browns,33.0,18.0,25.0,421.0,253.0,168.0,2.0,17.0,237.0,163.0,74.0,1.0,12.48,0.68,-3.07,2018,pit,October,28,2018/October/28,2018-10-28
9,Sun,November 4,1:00PM ET,boxscore,1,0,5-2-1,1,Baltimore Ravens,23.0,16.0,27.0,395.0,282.0,113.0,0.0,18.0,265.0,204.0,61.0,0.0,17.75,-7.37,-4.01,2018,pit,November,4,2018/November/4,2018-11-04
10,Thu,November 8,8:20PM ET,boxscore,1,0,6-2-1,0,Carolina Panthers,52.0,21.0,25.0,457.0,319.0,138.0,0.0,18.0,242.0,147.0,95.0,2.0,31.73,-1.09,3.55,2018,pit,November,8,2018/November/8,2018-11-08
11,Sun,November 18,1:00PM ET,boxscore,1,0,7-2-1,1,Jacksonville Jaguars,20.0,16.0,19.0,323.0,297.0,26.0,3.0,15.0,243.0,64.0,179.0,1.0,-2.86,12.45,-3.53,2018,pit,November,18,2018/November/18,2018-11-18
12,Sun,November 25,4:25PM ET,boxscore,0,0,7-3-1,1,Denver Broncos,17.0,24.0,25.0,527.0,452.0,75.0,4.0,17.0,308.0,184.0,124.0,0.0,0.71,-4.75,-0.64,2018,pit,November,25,2018/November/25,2018-11-25
13,Sun,December 2,8:20PM ET,boxscore,0,0,7-4-1,0,Los Angeles Chargers,30.0,33.0,23.0,336.0,271.0,65.0,1.0,22.0,371.0,286.0,85.0,0.0,14.79,-16.37,-0.62,2018,pit,December,2,2018/December/2,2018-12-02
14,Sun,December 9,4:25PM ET,boxscore,0,0,7-5-1,1,Oakland Raiders,21.0,24.0,24.0,340.0,300.0,40.0,1.0,20.0,354.0,299.0,55.0,1.0,12.58,-9.01,-5.63,2018,pit,December,9,2018/December/9,2018-12-09
15,Sun,December 16,4:25PM ET,boxscore,1,0,8-5-1,0,New England Patriots,17.0,10.0,24.0,376.0,218.0,158.0,2.0,18.0,368.0,272.0,96.0,1.0,10.75,-1.66,-3.18,2018,pit,December,16,2018/December/16,2018-12-16
16,Sun,December 23,4:25PM ET,boxscore,0,0,8-6-1,1,New Orleans Saints,28.0,31.0,26.0,429.0,364.0,65.0,2.0,24.0,370.0,313.0,57.0,1.0,14.44,-18.48,0.77,2018,pit,December,23,2018/December/23,2018-12-23
17,Sun,December 30,4:25PM ET,boxscore,1,0,9-6-1,0,Cincinnati Bengals,16.0,13.0,18.0,343.0,278.0,65.0,1.0,9.0,196.0,71.0,125.0,0.0,-6.63,10.88,0.17,2018,pit,December,30,2018/December/30,2018-12-30
1,Sun,September 8,8:20PM ET,boxscore,0,0,0-1,1,New England Patriots,3.0,33.0,15.0,308.0,276.0,32.0,1.0,24.0,465.0,366.0,99.0,0.0,-9.5,-18.24,0.8,2019,pit,September,8,2019/September/8,2019-09-08
2,Sun,September 15,1:00PM ET,boxscore,0,0,0-2,0,Seattle Seahawks,26.0,28.0,17.0,261.0,180.0,81.0,1.0,25.0,425.0,274.0,151.0,2.0,0.23,-5.07,-1.28,2019,pit,September,15,2019/September/15,2019-09-15
3,Sun,September 22,4:25PM ET,boxscore,0,0,0-3,1,San Francisco 49ers,20.0,24.0,11.0,239.0,160.0,79.0,2.0,26.0,436.0,268.0,168.0,5.0,-10.2,3.72,-0.12,2019,pit,September,22,2019/September/22,2019-09-22
4,Mon,September 30,8:15PM ET,boxscore,1,0,1-3,0,Cincinnati Bengals,27.0,3.0,20.0,326.0,260.0,66.0,1.0,16.0,175.0,102.0,73.0,2.0,6.93,16.54,-0.04,2019,pit,September,30,2019/September/30,2019-09-30
5,Sun,October 6,1:00PM ET,boxscore,0,1,1-4,0,Baltimore Ravens,23.0,26.0,18.0,269.0,192.0,77.0,2.0,22.0,277.0,139.0,138.0,3.0,-1.8,4.12,-5.32,2019,pit,October,6,2019/October/6,2019-10-06
6,Sun,October 13,8:20PM ET,boxscore,1,0,2-4,1,Los Angeles Chargers,24.0,17.0,18.0,256.0,132.0,124.0,1.0,23.0,348.0,316.0,32.0,3.0,5.45,2.12,4.54,2019,pit,October,13,2019/October/13,2019-10-13
8,Mon,October 28,8:15PM ET,boxscore,1,0,3-4,0,Miami Dolphins,27.0,14.0,21.0,394.0,236.0,158.0,1.0,16.0,230.0,170.0,60.0,4.0,5.58,12.16,-3.84,2019,pit,October,28,2019/October/28,2019-10-28
