Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp
1,Mon,10:20PM ET,0,0,0-1,0,Los Angeles Rams,13.0,33.0,20.0,395.0,300.0,95.0,3.0,23.0,365.0,225.0,140.0,0.0,-6.75,-16.1,5.9,2018,rai,September,10,2018-09-10
2,Sun,4:25PM ET,0,0,0-2,1,Denver Broncos,19.0,20.0,21.0,373.0,281.0,92.0,0.0,20.0,385.0,217.0,168.0,1.0,9.02,-11.81,0.41,2018,rai,September,16,2018-09-16
3,Sun,1:00PM ET,0,0,0-3,1,Miami Dolphins,20.0,28.0,25.0,434.0,325.0,109.0,2.0,13.0,373.0,332.0,41.0,0.0,9.08,-13.07,-7.77,2018,rai,September,23,2018-09-23
4,Sun,4:05PM ET,1,1,1-3,0,Cleveland Browns,45.0,42.0,27.0,565.0,426.0,139.0,2.0,21.0,487.0,279.0,208.0,4.0,7.23,-1.25,-2.16,2018,rai,September,30,2018-09-30
5,Sun,4:05PM ET,0,0,1-4,1,Los Angeles Chargers,10.0,26.0,14.0,289.0,248.0,41.0,2.0,19.0,412.0,333.0,79.0,0.0,-2.22,-17.22,-0.93,2018,rai,October,7,2018-10-07
6,Sun,1:00PM ET,0,0,1-5,0,Seattle Seahawks,3.0,27.0,15.0,185.0,106.0,79.0,2.0,19.0,369.0,214.0,155.0,1.0,-12.31,-12.0,-1.97,2018,rai,October,14,2018-10-14
8,Sun,4:05PM ET,0,0,1-6,0,Indianapolis Colts,28.0,42.0,19.0,347.0,244.0,103.0,1.0,28.0,461.0,239.0,222.0,0.0,12.71,-29.44,2.04,2018,rai,October,28,2018-10-28
9,Thu,8:20PM ET,0,0,1-7,1,San Francisco 49ers,3.0,34.0,14.0,242.0,140.0,102.0,0.0,18.0,405.0,262.0,143.0,0.0,-9.22,-15.9,-3.46,2018,rai,November,1,2018-11-01
10,Sun,4:05PM ET,0,0,1-8,0,Los Angeles Chargers,6.0,20.0,16.0,317.0,203.0,114.0,1.0,16.0,335.0,222.0,113.0,1.0,-13.18,-9.0,7.33,2018,rai,November,11,2018-11-11
11,Sun,4:05PM ET,1,0,2-8,1,Arizona Cardinals,23.0,21.0,19.0,325.0,173.0,152.0,0.0,13.0,282.0,128.0,154.0,2.0,0.79,6.58,-4.96,2018,rai,November,18,2018-11-18
12,Sun,1:00PM ET,0,0,2-9,1,Baltimore Ravens,17.0,34.0,13.0,249.0,182.0,67.0,1.0,23.0,416.0,174.0,242.0,2.0,-8.83,-11.19,-2.03,2018,rai,November,25,2018-11-25
13,Sun,4:05PM ET,0,0,2-10,0,Kansas City Chiefs,33.0,40.0,28.0,442.0,271.0,171.0,3.0,25.0,469.0,295.0,174.0,1.0,14.5,-20.87,0.05,2018,rai,December,2,2018-12-02
14,Sun,4:25PM ET,1,0,3-10,0,Pittsburgh Steelers,24.0,21.0,20.0,354.0,299.0,55.0,1.0,24.0,340.0,300.0,40.0,1.0,9.01,-12.58,5.63,2018,rai,December,9,2018-12-09
15,Sun,1:00PM ET,0,0,3-11,1,Cincinnati Bengals,16.0,30.0,13.0,297.0,229.0,68.0,2.0,18.0,294.0,123.0,171.0,1.0,-11.09,-3.31,-0.58,2018,rai,December,16,2018-12-16
16,Mon,8:15PM ET,1,0,4-11,0,Denver Broncos,27.0,14.0,16.0,273.0,159.0,114.0,0.0,19.0,300.0,200.0,100.0,2.0,2.72,-1.32,12.49,2018,rai,December,24,2018-12-24
17,Sun,4:25PM ET,0,0,4-12,1,Kansas City Chiefs,3.0,35.0,20.0,292.0,165.0,127.0,4.0,18.0,409.0,310.0,99.0,1.0,-22.66,-17.34,9.26,2018,rai,December,30,2018-12-30
1,Mon,10:20PM ET,1,0,1-0,0,Denver Broncos,24.0,16.0,19.0,357.0,259.0,98.0,0.0,18.0,344.0,249.0,95.0,0.0,16.92,-8.29,-1.51,2019,rai,September,9,2019-09-09
2,Sun,4:05PM ET,0,0,1-1,0,Kansas City Chiefs,10.0,28.0,19.0,307.0,178.0,129.0,2.0,24.0,467.0,436.0,31.0,1.0,-2.14,-18.12,2.97,2019,rai,September,15,2019-09-15
3,Sun,1:00PM ET,0,0,1-2,1,Minnesota Vikings,14.0,34.0,17.0,302.0,214.0,88.0,1.0,23.0,385.0,174.0,211.0,0.0,1.77,-20.43,-0.15,2019,rai,September,22,2019-09-22
4,Sun,1:00PM ET,1,0,2-2,1,Indianapolis Colts,31.0,24.0,21.0,377.0,189.0,188.0,1.0,22.0,346.0,265.0,81.0,2.0,8.99,-1.6,0.78,2019,rai,September,29,2019-09-29
5,Sun,1:00PM ET,1,0,3-2,0,Chicago Bears,24.0,21.0,25.0,398.0,229.0,169.0,2.0,15.0,236.0,194.0,42.0,2.0,2.24,3.03,0.43,2019,rai,October,6,2019-10-06
7,Sun,1:00PM ET,0,0,3-3,1,Green Bay Packers,24.0,42.0,21.0,484.0,329.0,155.0,2.0,22.0,481.0,421.0,60.0,0.0,11.8,-33.09,5.36,2019,rai,October,20,2019-10-20
8,Sun,4:25PM ET,0,0,3-4,1,Houston Texans,24.0,27.0,15.0,378.0,285.0,93.0,0.0,29.0,388.0,258.0,130.0,0.0,11.28,-14.69,1.22,2019,rai,October,27,2019-10-27
9,Sun,4:05PM ET,1,0,4-4,0,Detroit Lions,31.0,24.0,25.0,450.0,279.0,171.0,0.0,26.0,473.0,383.0,90.0,2.0,16.79,-13.92,4.07,2019,rai,November,3,2019-11-03
10,Thu,8:20PM ET,1,0,5-4,0,Los Angeles Chargers,26.0,24.0,18.0,278.0,200.0,78.0,0.0,26.0,315.0,169.0,146.0,3.0,5.96,-0.55,-1.54,2019,rai,November,7,2019-11-07
11,Sun,4:25PM ET,1,0,6-4,0,Cincinnati Bengals,17.0,10.0,20.0,386.0,273.0,113.0,2.0,16.0,246.0,73.0,173.0,2.0,3.46,9.64,-3.29,2019,rai,November,17,2019-11-17
12,Sun,1:00PM ET,0,0,6-5,1,New York Jets,3.0,34.0,10.0,208.0,140.0,68.0,2.0,21.0,401.0,313.0,88.0,1.0,-19.86,-12.75,2.36,2019,rai,November,24,2019-11-24
13,Sun,4:25PM ET,0,0,6-6,1,Kansas City Chiefs,9.0,40.0,19.0,332.0,210.0,122.0,3.0,22.0,259.0,163.0,96.0,0.0,-3.44,-14.17,-11.19,2019,rai,December,1,2019-12-01
14,Sun,4:25PM ET,0,0,6-7,0,Tennessee Titans,21.0,42.0,22.0,355.0,258.0,97.0,1.0,26.0,552.0,391.0,161.0,1.0,2.19,-29.61,5.43,2019,rai,December,8,2019-12-08
15,Sun,4:05PM ET,0,0,6-8,0,Jacksonville Jaguars,16.0,20.0,27.0,364.0,236.0,128.0,0.0,17.0,262.0,185.0,77.0,0.0,11.24,-6.63,-6.93,2019,rai,December,15,2019-12-15
16,Sun,4:05PM ET,1,0,7-8,1,Los Angeles Chargers,24.0,17.0,19.0,366.0,267.0,99.0,0.0,21.0,284.0,265.0,19.0,0.0,12.67,-6.73,2.6,2019,rai,December,22,2019-12-22
17,Sun,4:25PM ET,0,0,7-9,1,Denver Broncos,15.0,16.0,18.0,477.0,380.0,97.0,1.0,16.0,238.0,168.0,70.0,1.0,-0.3,8.2,-10.2,2019,rai,December,29,2019-12-29
1,Sun,1:00PM ET,1,0,1-0,1,Carolina Panthers,34.0,30.0,23.0,372.0,239.0,133.0,0.0,22.0,388.0,259.0,129.0,0.0,19.49,-16.44,-0.04,2020,rai,September,13,2020-09-13
2,Mon,8:15PM ET,1,0,2-0,0,New Orleans Saints,34.0,24.0,28.0,377.0,261.0,116.0,1.0,26.0,424.0,312.0,112.0,1.0,22.48,-13.97,-0.31,2020,rai,September,21,2020-09-21
3,Sun,1:00PM ET,0,0,2-1,1,New England Patriots,20.0,36.0,22.0,375.0,249.0,126.0,3.0,25.0,406.0,156.0,250.0,1.0,0.71,-11.03,-5.81,2020,rai,September,27,2020-09-27
