Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp
1,Sun,1:00PM ET,1,0,1-0,0,Buffalo Bills,47.0,3.0,26.0,369.0,252.0,117.0,1.0,10.0,153.0,70.0,83.0,2.0,7.23,28.71,2.33,2018,rav,September,9,2018-09-09
2,Thu,8:20PM ET,0,0,1-1,1,Cincinnati Bengals,23.0,34.0,28.0,425.0,359.0,66.0,3.0,24.0,373.0,265.0,108.0,0.0,2.72,-12.8,1.12,2018,rav,September,13,2018-09-13
3,Sun,1:00PM ET,1,0,2-1,0,Denver Broncos,27.0,14.0,20.0,342.0,265.0,77.0,0.0,18.0,293.0,173.0,120.0,1.0,8.96,7.96,-5.82,2018,rav,September,23,2018-09-23
4,Sun,8:20PM ET,1,0,3-1,1,Pittsburgh Steelers,26.0,14.0,24.0,451.0,355.0,96.0,1.0,14.0,284.0,265.0,19.0,2.0,7.71,10.05,-2.06,2018,rav,September,30,2018-09-30
5,Sun,1:00PM ET,0,1,3-2,1,Cleveland Browns,9.0,12.0,25.0,410.0,294.0,116.0,2.0,20.0,416.0,304.0,112.0,1.0,-11.13,7.48,2.05,2018,rav,October,7,2018-10-07
6,Sun,4:25PM ET,1,0,4-2,1,Tennessee Titans,21.0,0.0,23.0,361.0,238.0,123.0,1.0,7.0,106.0,51.0,55.0,0.0,12.84,15.17,-2.21,2018,rav,October,14,2018-10-14
7,Sun,4:05PM ET,0,0,4-3,0,New Orleans Saints,23.0,24.0,25.0,351.0,274.0,77.0,0.0,26.0,339.0,205.0,134.0,1.0,16.64,-12.99,-7.63,2018,rav,October,21,2018-10-21
8,Sun,1:00PM ET,0,0,4-4,1,Carolina Panthers,21.0,36.0,20.0,325.0,224.0,101.0,3.0,22.0,386.0,232.0,154.0,0.0,1.24,-18.22,7.88,2018,rav,October,28,2018-10-28
9,Sun,1:00PM ET,0,0,4-5,0,Pittsburgh Steelers,16.0,23.0,18.0,265.0,204.0,61.0,0.0,27.0,395.0,282.0,113.0,0.0,7.37,-17.75,4.01,2018,rav,November,4,2018-11-04
11,Sun,1:00PM ET,1,0,5-5,0,Cincinnati Bengals,24.0,21.0,23.0,403.0,136.0,267.0,1.0,15.0,255.0,207.0,48.0,0.0,2.66,0.01,-5.08,2018,rav,November,18,2018-11-18
12,Sun,1:00PM ET,1,0,6-5,0,Oakland Raiders,34.0,17.0,23.0,416.0,174.0,242.0,2.0,13.0,249.0,182.0,67.0,1.0,11.19,8.83,2.03,2018,rav,November,25,2018-11-25
13,Sun,1:00PM ET,1,0,7-5,1,Atlanta Falcons,26.0,16.0,25.0,366.0,159.0,207.0,1.0,16.0,131.0,97.0,34.0,1.0,-1.63,13.31,-1.11,2018,rav,December,2,2018-12-02
14,Sun,1:00PM ET,0,1,7-6,1,Kansas City Chiefs,24.0,27.0,24.0,321.0,127.0,194.0,1.0,30.0,442.0,348.0,94.0,1.0,4.92,-17.44,9.52,2018,rav,December,9,2018-12-09
15,Sun,1:00PM ET,1,0,8-6,0,Tampa Bay Buccaneers,20.0,12.0,24.0,370.0,128.0,242.0,2.0,12.0,241.0,156.0,85.0,1.0,6.86,6.0,-2.23,2018,rav,December,16,2018-12-16
16,Sat,8:20PM ET,1,0,9-6,1,Los Angeles Chargers,22.0,10.0,15.0,361.0,202.0,159.0,1.0,14.0,198.0,147.0,51.0,3.0,-3.87,21.26,-1.7,2018,rav,December,22,2018-12-22
17,Sun,4:25PM ET,1,0,10-6,0,Cleveland Browns,26.0,24.0,24.0,463.0,167.0,296.0,1.0,18.0,426.0,376.0,50.0,3.0,7.31,-9.49,2.95,2018,rav,December,30,2018-12-30
Wild Card,Sun,1:05PM ET,0,0,10-7,0,Los Angeles Chargers,17.0,23.0,11.0,229.0,139.0,90.0,3.0,14.0,243.0,154.0,89.0,1.0,-14.46,9.17,2.32,2018,rav,January,6,2018-01-06
1,Sun,1:00PM ET,1,0,1-0,1,Miami Dolphins,59.0,10.0,31.0,643.0,378.0,265.0,0.0,12.0,200.0,179.0,21.0,3.0,42.69,9.29,0.99,2019,rav,September,8,2019-09-08
2,Sun,1:00PM ET,1,0,2-0,0,Arizona Cardinals,23.0,17.0,26.0,440.0,258.0,182.0,0.0,15.0,349.0,329.0,20.0,0.0,11.6,-4.48,4.18,2019,rav,September,15,2019-09-15
3,Sun,1:00PM ET,0,0,2-1,1,Kansas City Chiefs,28.0,33.0,29.0,452.0,249.0,203.0,0.0,27.0,503.0,363.0,140.0,0.0,14.5,-25.98,4.79,2019,rav,September,22,2019-09-22
