Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
1,Sun,September 9,1:00PM ET,boxscore,0,0,0-1,1,Minnesota Vikings,16.0,24.0,20.0,327.0,237.0,90.0,4.0,19.0,343.0,227.0,116.0,1.0,-12.02,2.96,1.7,2018,sfo,September,9,2018/September/9,2018-09-09
2,Sun,September 16,4:05PM ET,boxscore,1,0,1-1,0,Detroit Lions,30.0,27.0,23.0,346.0,156.0,190.0,0.0,25.0,427.0,329.0,98.0,1.0,10.3,-8.22,4.49,2018,sfo,September,16,2018/September/16,2018-09-16
3,Sun,September 23,1:00PM ET,boxscore,0,0,1-2,1,Kansas City Chiefs,27.0,38.0,26.0,406.0,228.0,178.0,0.0,31.0,384.0,307.0,77.0,0.0,19.16,-29.69,-1.56,2018,sfo,September,23,2018/September/23,2018-09-23
4,Sun,September 30,4:25PM ET,boxscore,0,0,1-3,1,Los Angeles Chargers,27.0,29.0,22.0,364.0,288.0,76.0,2.0,21.0,368.0,242.0,126.0,1.0,-2.39,-3.06,0.5,2018,sfo,September,30,2018/September/30,2018-09-30
5,Sun,October 7,4:25PM ET,boxscore,0,0,1-4,0,Arizona Cardinals,18.0,28.0,33.0,447.0,300.0,147.0,5.0,10.0,220.0,164.0,56.0,0.0,-10.35,3.94,-4.12,2018,sfo,October,7,2018/October/7,2018-10-07
6,Mon,October 15,8:15PM ET,boxscore,0,0,1-5,1,Green Bay Packers,30.0,33.0,18.0,401.0,227.0,174.0,3.0,26.0,521.0,405.0,116.0,0.0,11.1,-16.33,2.23,2018,sfo,October,15,2018/October/15,2018-10-15
7,Sun,October 21,4:25PM ET,boxscore,0,0,1-6,0,Los Angeles Rams,10.0,39.0,16.0,228.0,121.0,107.0,4.0,20.0,339.0,193.0,146.0,0.0,-19.69,-10.86,5.98,2018,sfo,October,21,2018/October/21,2018-10-21
8,Sun,October 28,4:25PM ET,boxscore,0,0,1-7,1,Arizona Cardinals,15.0,18.0,16.0,267.0,160.0,107.0,0.0,20.0,321.0,233.0,88.0,2.0,-3.16,-6.06,2.98,2018,sfo,October,28,2018/October/28,2018-10-28
9,Thu,November 1,8:20PM ET,boxscore,1,0,2-7,0,Oakland Raiders,34.0,3.0,18.0,405.0,262.0,143.0,0.0,14.0,242.0,140.0,102.0,0.0,15.9,9.22,3.46,2018,sfo,November,1,2018/November/1,2018-11-01
10,Mon,November 12,8:15PM ET,boxscore,0,0,2-8,0,New York Giants,23.0,27.0,24.0,374.0,250.0,124.0,2.0,17.0,277.0,180.0,97.0,0.0,6.78,-8.85,-0.26,2018,sfo,November,12,2018/November/12,2018-11-12
