Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
1,Sun,September 9,4:25PM ET,boxscore,1,0,1-0,1,Arizona Cardinals,24.0,6.0,30.0,429.0,247.0,182.0,1.0,14.0,213.0,145.0,68.0,2.0,16.72,9.94,-7.08,2018,was,September,9,2018/September/9,2018-09-09
2,Sun,September 16,1:00PM ET,boxscore,0,0,1-1,0,Indianapolis Colts,9.0,21.0,20.0,334.0,269.0,65.0,1.0,17.0,281.0,177.0,104.0,2.0,-4.9,-3.83,-4.64,2018,was,September,16,2018/September/16,2018-09-16
3,Sun,September 23,1:00PM ET,boxscore,1,0,2-1,0,Green Bay Packers,31.0,17.0,20.0,386.0,220.0,166.0,1.0,19.0,340.0,240.0,100.0,1.0,12.37,3.32,-0.92,2018,was,September,23,2018/September/23,2018-09-23
5,Mon,October 8,8:15PM ET,boxscore,0,0,2-2,1,New Orleans Saints,19.0,43.0,18.0,283.0,244.0,39.0,2.0,27.0,447.0,349.0,98.0,1.0,-6.22,-25.98,6.15,2018,was,October,8,2018/October/8,2018-10-08
6,Sun,October 14,1:00PM ET,boxscore,1,0,3-2,0,Carolina Panthers,23.0,17.0,18.0,288.0,156.0,132.0,0.0,22.0,350.0,269.0,81.0,3.0,1.15,-7.02,11.87,2018,was,October,14,2018/October/14,2018-10-14
7,Sun,October 21,4:25PM ET,boxscore,1,0,4-2,0,Dallas Cowboys,20.0,17.0,15.0,305.0,175.0,130.0,0.0,17.0,323.0,250.0,73.0,2.0,0.89,1.71,0.27,2018,was,October,21,2018/October/21,2018-10-21
8,Sun,October 28,1:00PM ET,boxscore,1,0,5-2,1,New York Giants,20.0,13.0,20.0,360.0,178.0,182.0,1.0,18.0,303.0,266.0,37.0,2.0,-0.19,4.74,3.53,2018,was,October,28,2018/October/28,2018-10-28
9,Sun,November 4,1:00PM ET,boxscore,0,0,5-3,0,Atlanta Falcons,14.0,38.0,20.0,366.0,287.0,79.0,1.0,25.0,491.0,337.0,154.0,1.0,6.19,-30.07,4.39,2018,was,November,4,2018/November/4,2018-11-04
10,Sun,November 11,1:00PM ET,boxscore,1,0,6-3,1,Tampa Bay Buccaneers,16.0,3.0,15.0,286.0,170.0,116.0,0.0,29.0,501.0,398.0,103.0,4.0,1.74,-2.31,10.04,2018,was,November,11,2018/November/11,2018-11-11
11,Sun,November 18,1:00PM ET,boxscore,0,0,6-4,0,Houston Texans,21.0,23.0,23.0,278.0,154.0,124.0,2.0,19.0,320.0,181.0,139.0,3.0,-6.12,3.27,1.26,2018,was,November,18,2018/November/18,2018-11-18
12,Thu,November 22,4:30PM ET,boxscore,0,0,6-5,1,Dallas Cowboys,23.0,31.0,18.0,331.0,251.0,80.0,3.0,20.0,404.0,258.0,146.0,0.0,-0.72,-10.45,1.62,2018,was,November,22,2018/November/22,2018-11-22
13,Mon,December 3,8:15PM ET,boxscore,0,0,6-6,1,Philadelphia Eagles,13.0,28.0,10.0,235.0,131.0,104.0,1.0,28.0,436.0,306.0,130.0,1.0,-7.51,-11.31,4.67,2018,was,December,3,2018/December/3,2018-12-03
14,Sun,December 9,1:00PM ET,boxscore,0,0,6-7,0,New York Giants,16.0,40.0,12.0,288.0,204.0,84.0,3.0,19.0,402.0,175.0,227.0,1.0,-19.48,-10.27,9.84,2018,was,December,9,2018/December/9,2018-12-09
15,Sun,December 16,1:00PM ET,boxscore,1,0,7-7,1,Jacksonville Jaguars,16.0,13.0,16.0,245.0,136.0,109.0,0.0,11.0,192.0,20.0,172.0,2.0,-2.63,14.66,-7.76,2018,was,December,16,2018/December/16,2018-12-16
16,Sat,December 22,4:30PM ET,boxscore,0,0,7-8,1,Tennessee Titans,16.0,25.0,17.0,292.0,131.0,161.0,2.0,20.0,291.0,192.0,99.0,0.0,-1.2,-10.02,7.22,2018,was,December,22,2018/December/22,2018-12-22
17,Sun,December 30,4:25PM ET,boxscore,0,0,7-9,0,Philadelphia Eagles,0.0,24.0,8.0,89.0,68.0,21.0,1.0,25.0,360.0,231.0,129.0,1.0,-20.41,-12.25,7.8,2018,was,December,30,2018/December/30,2018-12-30
1,Sun,September 8,1:00PM ET,boxscore,0,0,0-1,1,Philadelphia Eagles,27.0,32.0,15.0,398.0,370.0,28.0,0.0,22.0,436.0,313.0,123.0,0.0,12.08,-17.68,-0.64,2019,was,September,8,2019/September/8,2019-09-08
2,Sun,September 15,1:00PM ET,boxscore,0,0,0-2,0,Dallas Cowboys,21.0,31.0,19.0,255.0,208.0,47.0,0.0,25.0,474.0,261.0,213.0,1.0,7.06,-23.5,3.71,2019,was,September,15,2019/September/15,2019-09-15
3,Mon,September 23,8:15PM ET,boxscore,0,0,0-3,0,Chicago Bears,15.0,31.0,25.0,356.0,287.0,69.0,5.0,21.0,298.0,208.0,90.0,1.0,-11.86,-9.23,3.52,2019,was,September,23,2019/September/23,2019-09-23
4,Sun,September 29,1:00PM ET,boxscore,0,0,0-4,1,New York Giants,3.0,24.0,8.0,176.0,121.0,55.0,4.0,24.0,389.0,225.0,164.0,4.0,-25.74,-0.43,4.64,2019,was,September,29,2019/September/29,2019-09-29
5,Sun,October 6,1:00PM ET,boxscore,0,0,0-5,0,New England Patriots,7.0,33.0,11.0,223.0,78.0,145.0,2.0,23.0,442.0,312.0,130.0,1.0,-20.78,-9.23,6.54,2019,was,October,6,2019/October/6,2019-10-06
6,Sun,October 13,1:00PM ET,boxscore,1,0,1-5,1,Miami Dolphins,17.0,16.0,13.0,311.0,166.0,145.0,0.0,21.0,271.0,187.0,84.0,2.0,1.22,9.38,-5.99,2019,was,October,13,2019/October/13,2019-10-13
7,Sun,October 20,1:00PM ET,boxscore,0,0,1-6,0,San Francisco 49ers,0.0,9.0,10.0,154.0,50.0,104.0,1.0,17.0,283.0,146.0,137.0,1.0,-14.12,1.99,0.61,2019,was,October,20,2019/October/20,2019-10-20
8,Thu,October 24,8:20PM ET,boxscore,0,0,1-7,1,Minnesota Vikings,9.0,19.0,14.0,216.0,131.0,85.0,2.0,22.0,434.0,273.0,161.0,1.0,-5.06,-6.29,2.48,2019,was,October,24,2019/October/24,2019-10-24
9,Sun,November 3,1:00PM ET,boxscore,0,0,1-8,1,Buffalo Bills,9.0,24.0,12.0,243.0,116.0,127.0,0.0,18.0,268.0,146.0,122.0,0.0,-6.04,-5.68,-4.24,2019,was,November,3,2019/November/3,2019-11-03
11,Sun,November 17,1:00PM ET,boxscore,0,0,1-9,0,New York Jets,17.0,34.0,13.0,225.0,171.0,54.0,1.0,23.0,400.0,285.0,115.0,2.0,-18.32,-10.08,9.2,2019,was,November,17,2019/November/17,2019-11-17
12,Sun,November 24,1:00PM ET,boxscore,1,0,2-9,0,Detroit Lions,19.0,16.0,13.0,230.0,144.0,86.0,2.0,21.0,364.0,189.0,175.0,4.0,-13.57,8.85,10.88,2019,was,November,24,2019/November/24,2019-11-24
13,Sun,December 1,1:00PM ET,boxscore,1,0,3-9,1,Carolina Panthers,29.0,21.0,20.0,362.0,114.0,248.0,0.0,22.0,278.0,213.0,65.0,2.0,2.59,4.35,0.75,2019,was,December,1,2019/December/1,2019-12-01
14,Sun,December 8,1:00PM ET,boxscore,0,0,3-10,1,Green Bay Packers,15.0,20.0,18.0,262.0,141.0,121.0,1.0,18.0,341.0,167.0,174.0,1.0,-1.04,-5.07,-0.91,2019,was,December,8,2019/December/8,2019-12-08
15,Sun,December 15,1:00PM ET,boxscore,0,0,3-11,0,Philadelphia Eagles,27.0,37.0,19.0,352.0,251.0,101.0,1.0,27.0,415.0,258.0,157.0,1.0,5.52,-19.99,3.89,2019,was,December,15,2019/December/15,2019-12-15
16,Sun,December 22,1:00PM ET,boxscore,0,1,3-12,0,New York Giants,35.0,41.0,25.0,361.0,281.0,80.0,0.0,28.0,552.0,346.0,206.0,0.0,18.07,-32.47,7.97,2019,was,December,22,2019/December/22,2019-12-22
